pnl,duration,entry_ts,exit_ts,direction
-3.5,28.0,1708383805.0,1708383945.0,long
-5.0,1.0,1708383945.0,1708383950.0,short
-11.0,5.0,1708383950.0,1708383975.0,long
-5.0,1.0,1708383975.0,1708383980.0,short
-48.0,80.0,1708383980.0,1708384380.0,long
-5.0,1.0,1708384380.0,1708384385.0,short
2.0,86.0,1708384385.0,1708384815.0,long
-36.5,257.0,1708384820.0,1708386105.0,long
-5.0,1.0,1708386105.0,1708386110.0,short
3.0,48.0,1708386110.0,1708386350.0,long
-5.0,1.0,1708386350.0,1708386355.0,short
-9.0,172.0,1708386355.0,1708387215.0,long
-17.0,57.0,1708387225.0,1708387510.0,long
-5.0,1.0,1708387510.0,1708387515.0,short
-13.0,32.0,1708387515.0,1708387675.0,long
12.5,39.0,1708387695.0,1708387890.0,long
-5.0,3.0,1708387890.0,1708387905.0,short
-29.0,262.0,1708387905.0,1708389215.0,long
-5.0,1.0,1708389215.0,1708389220.0,short
-4.5,449.0,1708389225.0,1708391470.0,long
-5.0,4.0,1708391470.0,1708391490.0,short
31.0,129.0,1708391490.0,1708392135.0,long
-5.0,7.0,1708392135.0,1708392170.0,short
-8.0,22.0,1708392170.0,1708392280.0,long
-5.0,1.0,1708392280.0,1708392285.0,short
-86.5,293.0,1708392285.0,1708393750.0,long
-5.0,3.0,1708393750.0,1708393765.0,short
-5.0,9.0,1708393765.0,1708393810.0,long
-5.0,1.0,1708393810.0,1708393815.0,short
-53.5,202.0,1708393815.0,1708394825.0,long
-5.0,6.0,1708394825.0,1708394855.0,short
5.5,443.0,1708394855.0,1708397070.0,long
-17.5,184.0,1708397075.0,1708397995.0,long
-4.5,4.0,1708397995.0,1708398015.0,short
-3.0,82.0,1708398015.0,1708398425.0,long
-1.0,351.0,1708398430.0,1708400185.0,long
-18.5,166.0,1708400195.0,1708401025.0,long
-5.0,8.0,1708401025.0,1708401065.0,short
0.5,65.0,1708401065.0,1708401390.0,long
-5.0,1.0,1708401390.0,1708401395.0,short
-12.0,389.0,1708401395.0,1708403340.0,long
0.5,350.0,1708403355.0,1708405105.0,long
-5.5,324.0,1708405110.0,1708406730.0,long
13.5,564.0,1708406745.0,1708409565.0,long
14.5,116.0,1708409575.0,1708410155.0,long
7.0,277.0,1708410160.0,1708411545.0,long
-5.0,1.0,1708411560.0,1708411565.0,long
-9.0,43.0,1708411570.0,1708411785.0,long
1.5,94.0,1708411790.0,1708412260.0,long
-5.0,2.0,1708412260.0,1708412270.0,short
-12.5,129.0,1708412270.0,1708412915.0,long
-5.0,2.0,1708412915.0,1708412925.0,short
-0.5,17.0,1708412925.0,1708413010.0,long
0.0,10.0,1708413015.0,1708413065.0,long
-5.0,3.0,1708413065.0,1708413080.0,short
14.5,614.0,1708413080.0,1708416150.0,long
-36.0,166.0,1708416155.0,1708416985.0,long
-29.5,585.0,1708416990.0,1708419915.0,long
-5.0,3.0,1708419915.0,1708419930.0,short
3.0,230.0,1708419930.0,1708421080.0,long
-32.0,240.0,1708421105.0,1708422305.0,long
-73.5,648.0,1708422330.0,1708425570.0,long
-5.0,3.0,1708425570.0,1708425585.0,short
1.0,527.0,1708425585.0,1708428220.0,long
-5.0,3.0,1708428220.0,1708428235.0,short
-5.0,76.0,1708428235.0,1708428615.0,long
3.0,42.0,1708428630.0,1708428840.0,long
21.5,282.0,1708428845.0,1708430255.0,long
-8.0,54.0,1708430260.0,1708430530.0,long
-5.0,3.0,1708430535.0,1708430550.0,long
48.5,385.0,1708430560.0,1708432485.0,long
-11.0,316.0,1708432490.0,1708434070.0,long
-25.0,284.0,1708434080.0,1708435500.0,long
3.0,168.0,1708435505.0,1708436345.0,long
13.0,130.0,1708436350.0,1708437000.0,long
-11.5,48.0,1708437005.0,1708437245.0,long
8.0,7.0,1708437270.0,1708437305.0,long
-38.0,79.0,1708437315.0,1708437710.0,long
-5.0,1.0,1708437710.0,1708437715.0,short
7.5,134.0,1708437715.0,1708438385.0,long
-4.5,92.0,1708438390.0,1708438850.0,long
-68.5,214.0,1708438855.0,1708439925.0,long
-5.0,6.0,1708439950.0,1708439980.0,long
-13.5,4.0,1708439980.0,1708440000.0,short
-104.0,44.0,1708440000.0,1708440220.0,long
-10.0,151.0,1708440225.0,1708440980.0,long
-68.0,271.0,1708441020.0,1708442375.0,long
-84.5,167.0,1708442385.0,1708443220.0,long
10.5,29.0,1708443240.0,1708443385.0,long
74.0,223.0,1708443390.0,1708444505.0,long
9.5,229.0,1708444510.0,1708445655.0,long
19.0,42.0,1708445665.0,1708445875.0,long
-17.0,21.0,1708445885.0,1708445990.0,long
-4.5,86.0,1708446000.0,1708446430.0,long
-5.0,1.0,1708446430.0,1708446435.0,short
-70.5,101.0,1708446435.0,1708446940.0,long
-10.0,4.0,1708446945.0,1708446965.0,long
-128.5,635.0,1708446980.0,1708450155.0,long
70.5,396.0,1708450165.0,1708452145.0,long
-15.0,15.0,1708452160.0,1708452235.0,long
6.0,79.0,1708452240.0,1708452635.0,long
-12.0,30.0,1708452640.0,1708452790.0,long
-24.5,319.0,1708452795.0,1708454390.0,long
24.5,22.0,1708454395.0,1708454505.0,long
29.0,86.0,1708454510.0,1708454940.0,long
17.0,165.0,1708454945.0,1708455770.0,long
-18.0,17.0,1708455780.0,1708455865.0,long
19.0,134.0,1708455875.0,1708456545.0,long
-21.0,38.0,1708456555.0,1708456745.0,long
