pnl,duration,entry_ts,exit_ts,direction
-42.5,112.0,1708383805.0,1708384365.0,long
-5.0,2.0,1708384365.0,1708384375.0,short
-13.5,182.0,1708384375.0,1708385285.0,long
-19.5,95.0,1708385300.0,1708385775.0,long
-5.0,1.0,1708385775.0,1708385780.0,short
-15.5,149.0,1708385780.0,1708386525.0,long
-22.5,222.0,1708386550.0,1708387660.0,long
-16.5,183.0,1708387665.0,1708388580.0,long
-17.5,29.0,1708388595.0,1708388740.0,long
7.5,94.0,1708388745.0,1708389215.0,long
-5.0,1.0,1708389215.0,1708389220.0,short
15.5,536.0,1708389220.0,1708391900.0,long
-5.0,1.0,1708391900.0,1708391905.0,short
-13.5,223.0,1708391905.0,1708393020.0,long
-5.0,3.0,1708393020.0,1708393035.0,short
-69.0,217.0,1708393035.0,1708394120.0,long
-53.5,342.0,1708394125.0,1708395835.0,long
-5.0,1.0,1708395835.0,1708395840.0,short
2.5,217.0,1708395840.0,1708396925.0,long
-5.0,3.0,1708396925.0,1708396940.0,short
-5.0,3.0,1708396940.0,1708396955.0,long
-5.0,1.0,1708396955.0,1708396960.0,short
-11.5,280.0,1708396960.0,1708398360.0,long
-5.0,1.0,1708398360.0,1708398365.0,short
-12.0,272.0,1708398365.0,1708399725.0,long
16.5,573.0,1708399730.0,1708402595.0,long
-5.0,1.0,1708402595.0,1708402600.0,short
-24.0,393.0,1708402600.0,1708404565.0,long
-5.0,2.0,1708404565.0,1708404575.0,short
0.5,824.0,1708404575.0,1708408695.0,long
-5.0,3.0,1708408695.0,1708408710.0,short
32.0,321.0,1708408710.0,1708410315.0,long
-5.0,1.0,1708410315.0,1708410320.0,short
5.5,65.0,1708410320.0,1708410645.0,long
-8.0,3.0,1708410645.0,1708410660.0,short
-10.5,93.0,1708410660.0,1708411125.0,long
-5.0,2.0,1708411125.0,1708411135.0,short
-4.5,79.0,1708411135.0,1708411530.0,long
-5.0,3.0,1708411530.0,1708411545.0,short
-20.0,85.0,1708411545.0,1708411970.0,long
-10.5,13.0,1708411970.0,1708412035.0,short
-1.5,11.0,1708412035.0,1708412090.0,long
-3.0,5.0,1708412090.0,1708412115.0,short
-5.0,83.0,1708412115.0,1708412530.0,long
12.5,328.0,1708412545.0,1708414185.0,long
-5.0,2.0,1708414185.0,1708414195.0,short
-1.5,375.0,1708414195.0,1708416070.0,long
-5.0,1.0,1708416070.0,1708416075.0,short
-146.0,280.0,1708416075.0,1708417475.0,long
-5.0,1.0,1708417475.0,1708417480.0,short
102.0,483.0,1708417480.0,1708419895.0,long
9.5,1.0,1708419895.0,1708419900.0,short
-0.5,16.0,1708419900.0,1708419980.0,long
-5.0,4.0,1708419980.0,1708420000.0,short
-6.5,205.0,1708420000.0,1708421025.0,long
-10.0,3.0,1708421025.0,1708421040.0,short
-68.0,180.0,1708421040.0,1708421940.0,long
6.0,93.0,1708421945.0,1708422410.0,long
-5.0,1.0,1708422410.0,1708422415.0,short
-32.5,198.0,1708422415.0,1708423405.0,long
-5.0,1.0,1708423405.0,1708423410.0,short
-35.5,41.0,1708423410.0,1708423615.0,long
-7.0,10.0,1708423615.0,1708423665.0,short
-17.5,294.0,1708423665.0,1708425135.0,long
-5.0,2.0,1708425135.0,1708425145.0,short
1.0,29.0,1708425155.0,1708425300.0,long
-5.0,1.0,1708425300.0,1708425305.0,short
-15.5,502.0,1708425305.0,1708427815.0,long
-14.0,3.0,1708427815.0,1708427830.0,short
57.5,1317.0,1708427830.0,1708434415.0,long
-26.5,1.0,1708434415.0,1708434420.0,short
-17.0,385.0,1708434420.0,1708436345.0,long
-3.5,314.0,1708436355.0,1708437925.0,long
-5.0,1.0,1708437925.0,1708437930.0,short
-189.5,503.0,1708437930.0,1708440445.0,long
-5.0,1.0,1708440445.0,1708440450.0,short
-29.0,89.0,1708440450.0,1708440895.0,long
0.0,24.0,1708440920.0,1708441040.0,long
-5.0,2.0,1708441040.0,1708441050.0,short
-5.0,1.0,1708441055.0,1708441060.0,long
-21.5,4.0,1708441060.0,1708441080.0,short
-5.0,1.0,1708441085.0,1708441090.0,long
-5.0,3.0,1708441090.0,1708441105.0,short
-5.0,3.0,1708441105.0,1708441120.0,long
-5.0,1.0,1708441125.0,1708441130.0,long
-5.0,1.0,1708441130.0,1708441135.0,short
1.5,1.0,1708441135.0,1708441140.0,long
-5.0,1.0,1708441145.0,1708441150.0,long
-5.0,1.0,1708441150.0,1708441155.0,short
-5.0,1.0,1708441155.0,1708441160.0,long
-5.0,1.0,1708441160.0,1708441165.0,short
-5.0,1.0,1708441175.0,1708441180.0,long
-5.0,1.0,1708441180.0,1708441185.0,short
-5.0,2.0,1708441185.0,1708441195.0,long
-114.5,468.0,1708441200.0,1708443540.0,long
-5.0,1.0,1708443540.0,1708443545.0,short
81.0,184.0,1708443545.0,1708444465.0,long
-5.0,1.0,1708444465.0,1708444470.0,short
-26.5,555.0,1708444470.0,1708447245.0,long
-5.0,2.0,1708447245.0,1708447255.0,short
-74.0,231.0,1708447255.0,1708448410.0,long
-5.0,3.0,1708448410.0,1708448425.0,short
-5.0,1.0,1708448495.0,1708448500.0,short
-5.0,1.0,1708448590.0,1708448595.0,short
-5.0,1.0,1708448605.0,1708448610.0,short
-5.0,1.0,1708448645.0,1708448650.0,short
-38.5,326.0,1708448665.0,1708450295.0,long
-5.0,3.0,1708450295.0,1708450310.0,short
176.5,2325.0,1708450310.0,1708461935.0,long
-5.0,3.0,1708461935.0,1708461950.0,short
-5.0,1.0,1708461950.0,1708461955.0,long
-31.0,3.0,1708461955.0,1708461970.0,short
-5.0,3.0,1708461970.0,1708461985.0,long
-5.0,1.0,1708461985.0,1708461990.0,short
-5.0,1.0,1708461990.0,1708461995.0,long
-5.0,1.0,1708462010.0,1708462015.0,long
-7.0,3.0,1708462015.0,1708462030.0,short
-5.0,2.0,1708462030.0,1708462040.0,long
-5.0,1.0,1708462045.0,1708462050.0,short
-5.0,2.0,1708462050.0,1708462060.0,long
-5.0,1.0,1708462065.0,1708462070.0,long
-0.5,3.0,1708462075.0,1708462090.0,long
-5.0,1.0,1708462090.0,1708462095.0,short
-5.0,1.0,1708462095.0,1708462100.0,long
-5.0,6.0,1708462100.0,1708462130.0,short
6.5,1.0,1708462135.0,1708462140.0,short
-5.0,4.0,1708462140.0,1708462160.0,long
-5.0,2.0,1708462165.0,1708462175.0,long
-5.0,2.0,1708462180.0,1708462190.0,short
-4.5,3.0,1708462190.0,1708462205.0,long
-5.0,2.0,1708462205.0,1708462215.0,short
-5.0,2.0,1708462215.0,1708462225.0,long
-5.0,1.0,1708462240.0,1708462245.0,short
6.5,9.0,1708462245.0,1708462290.0,long
-5.0,1.0,1708462295.0,1708462300.0,short
-13.0,1.0,1708462315.0,1708462320.0,long
-5.0,1.0,1708462320.0,1708462325.0,short
-5.0,1.0,1708462335.0,1708462340.0,short
-5.0,1.0,1708462350.0,1708462355.0,long
-5.0,4.0,1708462355.0,1708462375.0,short
-5.0,1.0,1708462380.0,1708462385.0,long
-5.0,3.0,1708462385.0,1708462400.0,short
-5.0,3.0,1708462400.0,1708462415.0,long
-5.0,1.0,1708462420.0,1708462425.0,short
-7.0,1.0,1708462435.0,1708462440.0,long
-5.0,4.0,1708462455.0,1708462475.0,long
-5.0,1.0,1708462485.0,1708462490.0,short
-5.0,2.0,1708462505.0,1708462515.0,short
-5.0,2.0,1708462520.0,1708462530.0,long
-5.0,1.0,1708462530.0,1708462535.0,short
-5.0,1.0,1708462540.0,1708462545.0,long
-15.0,6.0,1708462555.0,1708462585.0,long
-17.0,7.0,1708462590.0,1708462625.0,short
-5.0,3.0,1708462630.0,1708462645.0,short
-5.0,1.0,1708462650.0,1708462655.0,short
-5.0,3.0,1708462655.0,1708462670.0,long
-5.0,1.0,1708462685.0,1708462690.0,long
-5.0,5.0,1708462690.0,1708462715.0,short
11.0,6.0,1708462720.0,1708462750.0,long
-5.0,4.0,1708462760.0,1708462780.0,short
-5.0,1.0,1708462780.0,1708462785.0,long
-36.0,1.0,1708462795.0,1708462800.0,short
-36.0,643.0,1708462885.0,1708466100.0,long
