1m_z_se,1m_variance_ratio,1m_velocity,1m_p_at_center,1m_reversion_prob,1m_bar_range,1m_wick_ratio,5m_z_se,5m_velocity,5m_wick_ratio,15m_z_se,15m_velocity,1h_z_se,bars_held,pnl,actual_pnl,pattern
-1.403119683265686,0.3556249439716339,-14.0,0.307915061712265,0.9423995614051819,83.0,0.3253012001514435,-1.3494187593460083,-20.75,0.36153846979141235,0.9366624355316162,-63.0,-1.4218472242355347,111,414.0,92.0,BASE_NMP.0
0.7917553782463074,0.13592317700386047,-3.0,0.5927205681800842,0.9750542640686035,39.0,0.7179487347602844,-1.0971251726150513,1.0,0.9324324131011963,0.913323700428009,-5.75,-1.4218472242355347,90,327.5,-10.0,BASE_NMP.0
2.001893997192383,0.21198861300945282,7.25,0.11877093464136124,0.8659877181053162,42.0,0.2857142984867096,0.4213581383228302,5.75,0.7124999761581421,-1.4700084924697876,1.75,-2.082057476043701,1,25.5,3.5,BASE_NMP.0
1.5261095762252808,0.6578914523124695,8.25,0.2583715617656708,0.932222306728363,52.0,0.36538460850715637,0.04974469169974327,-4.5,0.8306451439857483,-0.5248751044273376,0.75,-2.8706939220428467,103,825.5,291.0,BASE_NMP.0
0.9868188500404358,0.6857844591140747,-0.5,0.5018097758293152,0.9668462872505188,28.0,0.9285714030265808,-0.9712861180305481,-11.75,0.478723406791687,-1.8267507553100586,-17.25,-0.5330334305763245,50,65.0,3.5,BASE_NMP.0
-1.6966372728347778,0.2882526218891144,-1.75,0.198705792427063,0.9144961833953857,18.0,0.5,0.2273544818162918,2.0,0.8275862336158752,0.6429014801979065,3.5,-1.2596839666366577,405,183.0,4.0,BASE_NMP.0
2.3687028884887695,0.9749338030815125,14.0,0.060797493904829025,0.7494174242019653,91.0,0.3956044018268585,2.776226758956909,32.5,0.19374999403953552,3.1939196586608887,81.75,2.6926429271698,9,112.0,5.5,BASE_NMP.0
0.5901541113853455,1.249792218208313,2.25,0.6746999621391296,0.9823044538497925,13.0,0.38461539149284363,2.8002216815948486,13.75,0.1147540956735611,-0.08248726278543472,20.25,0.3327375650405884,103,118.0,63.5,BASE_NMP.0
0.23558661341667175,0.6856807470321655,-4.0,0.7684767246246338,0.993281364440918,45.0,0.6222222447395325,-1.6051549911499023,0.25,1.0,-0.5302132368087769,6.25,-2.0369644165039062,122,349.5,80.5,BASE_NMP.0
-0.05434802174568176,0.5231449007987976,2.0,0.7859960198402405,0.9984636306762695,23.0,0.6521739363670349,-0.7089409232139587,7.25,0.4363636374473572,-0.6401605606079102,-1.25,-2.0369644165039062,93,275.0,6.5,BASE_NMP.0
-1.5203100442886353,0.34933361411094666,1.25,0.26059025526046753,0.932745099067688,34.0,0.8823529481887817,0.1679682433605194,3.25,0.7692307829856873,-1.4943807125091553,-28.25,-2.9125685691833496,32,161.0,10.5,BASE_NMP.0
2.0445504188537598,0.06848612427711487,7.75,0.11013315618038177,0.8566524386405945,42.0,0.261904776096344,0.8963091373443604,8.25,0.37735849618911743,-1.0621212720870972,7.5,-3.1443872451782227,5,21.0,4.5,BASE_NMP.0
-2.421825647354126,0.09126157313585281,-4.25,0.05500718578696251,0.7229592204093933,23.0,0.1304347813129425,1.1124801635742188,-10.5,0.3787878751754761,-1.0621212720870972,7.5,-3.1443872451782227,0,5.5,5.5,BASE_NMP.0
-2.127717971801758,0.21598190069198608,-3.25,0.09486431628465652,0.8359159231185913,25.0,0.4399999976158142,1.1124801635742188,-10.5,0.3787878751754761,-1.0621212720870972,7.5,-3.1443872451782227,0,0.0,0.0,BASE_NMP.0
