strategy,condition,direction,horizon,n_trades,wr,avg_pnl,total_pnl,sharpe,median_pnl
z_se < -4 → LONG,z_se < -4,LONG,3,113431,50.77976919889624,0.011941180100677946,1354.5,0.00038272106781643084,0.5
z_se < -4 → LONG,z_se < -4,LONG,5,113431,51.13152489178443,-0.029665611693452408,-3365.0,-0.0007336860883742417,0.5
z_se < -4 → LONG,z_se < -4,LONG,10,113431,51.57584787227477,0.06298101929807548,7144.0,0.0011088020128287583,1.0
z_se < -4 → LONG,z_se < -4,LONG,15,113431,51.99107827666158,0.20907423896465693,23715.5,0.003011927299885275,2.0
z_se < -4 → LONG,z_se < -4,LONG,20,113431,52.21941091941357,0.3649090636598461,41392.0,0.004565801879992441,2.0
z_se < -3 → LONG,z_se < -3,LONG,3,122199,50.74673278832069,0.032295681634055926,3946.5,0.0010455875169754331,0.5
z_se < -3 → LONG,z_se < -3,LONG,5,122199,51.14035303071219,0.0098650561788558,1205.5,0.0002464718647683329,0.5
z_se < -3 → LONG,z_se < -3,LONG,10,122199,51.61253365412155,0.1262448956210771,15427.0,0.002242386649055717,1.0
z_se < -3 → LONG,z_se < -3,LONG,15,122199,51.98078544014272,0.28221589374708467,34486.5,0.004091534580525727,2.0
z_se < -3 → LONG,z_se < -3,LONG,20,122199,52.22955998003257,0.4246352261475135,51890.0,0.005319705895977148,2.0
z_se < -2 → LONG,z_se < -2,LONG,3,130659,50.72823150337903,0.04644915390443827,6069.0,0.0015125989290867186,0.5
z_se < -2 → LONG,z_se < -2,LONG,5,130659,51.094834645910346,0.04257647770149779,5563.0,0.0010714083421465995,0.5
z_se < -2 → LONG,z_se < -2,LONG,10,130659,51.54256499743607,0.13006375374065315,16994.0,0.002321266142533471,1.0
z_se < -2 → LONG,z_se < -2,LONG,15,130659,51.912994895108646,0.29911066210517456,39081.5,0.004354113222694781,1.5
z_se < -2 → LONG,z_se < -2,LONG,20,130659,52.146426958724625,0.40080667998377456,52369.0,0.005040856480662314,2.0
z_se > 2 → SHORT,z_se > 2,SHORT,3,149101,48.69450909115297,-0.10128034017209811,-15101.0,-0.003522911174915475,0.0
z_se > 2 → SHORT,z_se > 2,SHORT,5,149099,49.02849784371458,-0.21083977759743527,-31436.0,-0.005607824701814383,0.0
z_se > 2 → SHORT,z_se > 2,SHORT,10,149094,49.29440487209412,-0.4696231907387286,-70018.0,-0.008819629530137034,0.0
z_se > 2 → SHORT,z_se > 2,SHORT,15,149089,49.34904654266914,-0.6436490955067108,-95961.0,-0.009848472229082141,0.0
