**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,entry_ts,entry_price,exit_ts,exit_price,direction,pnl_pts,pnl_usd,mfe_pts,mae_pts,leg_min,exit_reason
2025_01_02,1735776300,21228.5,1735776570,21238.5,-1,-10.0,-23.0,5.0,10.75,4.5,sl
2025_01_02,1735778040,21171.25,1735778165,21161.25,1,-10.0,-23.0,3.75,10.5,2.0833333333333335,sl
2025_01_02,1735789620,21298.25,1735789855,21308.25,-1,-10.0,-23.0,3.0,11.0,3.9166666666666665,sl
2025_01_02,1735792620,21320.5,1735793640,21327.5,1,7.0,11.0,14.25,2.75,17.0,trail
2025_01_02,1735803240,21364.25,1735803425,21374.25,-1,-10.0,-23.0,0.0,10.25,3.0833333333333335,sl
2025_01_02,1735804980,21396.0,1735805025,21386.0,1,-10.0,-23.0,2.5,14.0,0.75,sl
2025_01_02,1735806240,21385.0,1735806355,21366.75,-1,18.25,33.5,27.75,3.5,1.9166666666666667,trail
2025_01_02,1735807380,21368.0,1735807430,21358.0,1,-10.0,-23.0,0.0,10.5,0.8333333333333334,sl
2025_01_02,1735810740,21368.25,1735810940,21378.25,-1,-10.0,-23.0,6.0,11.0,3.3333333333333335,sl
2025_01_02,1735812000,21406.25,1735812095,21396.25,1,-10.0,-23.0,3.25,10.75,1.5833333333333333,sl
2025_01_02,1735812780,21374.25,1735812850,21367.5,-1,6.75,10.5,13.75,0.25,1.1666666666666667,trail
2025_01_02,1735814100,21393.5,1735814310,21395.0,1,1.5,0.0,10.0,-0.0,3.5,trail
2025_01_02,1735815180,21372.0,1735815280,21382.0,-1,-10.0,-23.0,3.75,10.0,1.6666666666666667,sl
2025_01_02,1735816620,21404.0,1735817455,21394.0,1,-10.0,-23.0,3.0,13.5,13.916666666666666,sl
2025_01_02,1735821780,21453.5,1735822025,21446.25,-1,7.25,11.5,12.5,1.0,4.083333333333333,trail
2025_01_02,1735824900,21442.75,1735825010,21432.75,1,-10.0,-23.0,1.25,14.25,1.8333333333333333,sl
2025_01_02,1735825860,21420.0,1735826080,21430.0,-1,-10.0,-23.0,4.25,11.75,3.6666666666666665,sl
2025_01_02,1735827360,21387.0,1735827395,21377.0,1,-10.0,-23.0,0.0,10.0,0.5833333333333334,sl
2025_01_02,1735827780,21359.75,1735828010,21354.5,-1,5.25,7.5,11.25,9.0,3.8333333333333335,trail
2025_01_02,1735828980,21216.0,1735829000,21213.5,1,-2.5,-8.0,13.0,3.0,0.3333333333333333,trail
2025_01_02,1735831080,21392.75,1735831090,21402.75,-1,-10.0,-23.0,0.5,11.75,0.16666666666666666,sl
2025_01_02,1735831620,21307.25,1735831645,21297.25,1,-10.0,-23.0,3.75,10.25,0.4166666666666667,sl
2025_01_02,1735831740,21274.75,1735831750,21284.75,-1,-10.0,-23.0,0.0,10.0,0.16666666666666666,sl
2025_01_02,1735831980,21270.5,1735832005,21260.5,1,-10.0,-23.0,1.75,13.0,0.4166666666666667,sl
2025_01_02,1735832520,21221.75,1735832550,21231.75,-1,-10.0,-23.0,9.0,12.0,0.5,sl
2025_01_02,1735832940,21268.75,1735833000,21289.0,1,20.25,37.5,25.5,4.0,1.0,trail
2025_01_02,1735833240,21280.75,1735833250,21290.75,-1,-10.0,-23.0,0.0,13.5,0.16666666666666666,sl
2025_01_02,1735833300,21311.5,1735833325,21301.5,1,-10.0,-23.0,0.0,19.0,0.4166666666666667,sl
2025_01_02,1735833540,21270.0,1735833595,21280.0,-1,-10.0,-23.0,8.5,11.25,0.9166666666666666,sl
2025_01_02,1735834320,21240.5,1735834345,21230.5,1,-10.0,-23.0,2.75,11.25,0.4166666666666667,sl
2025_01_02,1735834920,21237.75,1735834980,21233.0,-1,4.75,6.5,10.75,9.5,1.0,trail
2025_01_02,1735835040,21273.25,1735835080,21286.0,1,12.75,22.5,19.0,-0.0,0.6666666666666666,trail
2025_01_02,1735836900,21304.75,1735836950,21314.75,-1,-10.0,-23.0,0.0,12.25,0.8333333333333334,sl
2025_01_02,1735837500,21333.5,1735837510,21323.5,1,-10.0,-23.0,0.0,12.75,0.16666666666666666,sl
2025_01_02,1735837680,21288.5,1735837755,21298.5,-1,-10.0,-23.0,4.0,10.0,1.25,sl
2025_01_02,1735838040,21335.75,1735838090,21325.75,1,-10.0,-23.0,3.75,10.25,0.8333333333333334,sl
2025_01_02,1735838220,21301.25,1735838240,21311.25,-1,-10.0,-23.0,0.0,10.5,0.3333333333333333,sl
2025_01_02,1735840320,21054.75,1735840370,21053.25,1,-1.5,-6.0,11.0,6.75,0.8333333333333334,trail
2025_01_02,1735840920,21031.5,1735840935,21041.5,-1,-10.0,-23.0,8.25,13.75,0.25,sl
2025_01_02,1735841280,21063.75,1735841380,21075.75,1,12.0,21.0,23.0,6.0,1.6666666666666667,trail
2025_01_02,1735841520,21034.25,1735841545,21028.75,-1,5.5,8.0,10.75,5.0,0.4166666666666667,trail
2025_01_02,1735842060,21062.75,1735842070,21052.75,1,-10.0,-23.0,0.0,12.25,0.16666666666666666,sl
2025_01_02,1735842660,21029.0,1735842720,21003.25,-1,25.75,48.5,31.5,-0.0,1.0,trail
2025_01_02,1735843020,21040.5,1735843105,21030.5,1,-10.0,-23.0,7.25,10.25,1.4166666666666667,sl
2025_01_02,1735843260,21003.25,1735843280,21013.25,-1,-10.0,-23.0,0.0,18.0,0.3333333333333333,sl
2025_01_02,1735843440,21049.25,1735843460,21051.25,1,2.0,1.0,11.5,0.5,0.3333333333333333,trail
2025_01_02,1735843740,21014.5,1735843790,21024.5,-1,-10.0,-23.0,1.75,13.75,0.8333333333333334,sl
2025_01_02,1735844340,21047.5,1735844440,21037.5,1,-10.0,-23.0,5.5,10.0,1.6666666666666667,sl
2025_01_02,1735845300,21070.0,1735845415,21065.5,-1,4.5,6.0,10.25,7.0,1.9166666666666667,trail
2025_01_02,1735845780,21102.0,1735845840,21092.0,1,-10.0,-23.0,5.25,13.0,1.0,sl
2025_01_02,1735846560,21075.75,1735846645,21085.75,-1,-10.0,-23.0,4.5,17.0,1.4166666666666667,sl
2025_01_02,1735846860,21099.25,1735846900,21089.25,1,-10.0,-23.0,2.0,11.75,0.6666666666666666,sl
2025_01_02,1735847220,21064.5,1735847225,21074.5,-1,-10.0,-23.0,0.0,28.0,0.08333333333333333,sl
2025_01_02,1735847340,21131.75,1735847365,21121.75,1,-10.0,-23.0,5.75,13.75,0.4166666666666667,sl
2025_01_02,1735847820,21094.5,1735847900,21084.25,-1,10.25,17.5,16.5,-0.0,1.3333333333333333,trail
2025_01_02,1735848180,21100.0,1735848200,21105.25,1,5.25,7.5,12.5,-0.0,0.3333333333333333,trail
2025_01_03,1735862940,21190.25,1735863280,21201.25,1,11.0,19.0,17.5,1.5,5.666666666666667,trail
2025_01_03,1735868760,21209.75,1735869045,21219.75,-1,-10.0,-23.0,0.0,10.25,4.75,sl
2025_01_03,1735870560,21238.25,1735871315,21243.5,1,5.25,7.5,11.5,1.0,12.583333333333334,trail
2025_01_03,1735880340,21228.0,1735880710,21221.5,-1,6.5,10.0,12.75,-0.0,6.166666666666667,trail
2025_01_03,1735885565,21240.5,1735886170,21250.0,1,9.5,16.0,15.0,2.0,10.083333333333334,trail
2025_01_03,1735888140,21222.25,1735888380,21219.25,-1,3.0,3.0,11.25,2.0,4.0,trail
2025_01_03,1735890420,21245.25,1735891245,21262.5,1,17.25,31.5,22.25,2.5,13.75,trail
2025_01_03,1735892880,21232.25,1735893275,21223.5,-1,8.75,14.5,18.75,3.25,6.583333333333333,trail
2025_01_03,1735895160,21249.5,1735895245,21255.25,1,5.75,8.5,10.75,-0.0,1.4166666666666667,trail
2025_01_03,1735898580,21256.5,1735899275,21266.5,-1,-10.0,-23.0,3.5,10.25,11.583333333333334,sl
2025_01_03,1735908840,21239.75,1735909615,21258.25,1,18.5,34.0,24.5,2.0,12.916666666666666,trail
2025_01_03,1735912320,21239.0,1735912805,21233.5,-1,5.5,8.0,11.25,5.0,8.083333333333334,trail
2025_01_03,1735913460,21254.0,1735914140,21284.0,1,30.0,57.0,35.25,4.0,11.333333333333334,trail
2025_01_03,1735915680,21377.0,1735915725,21352.5,-1,24.5,46.0,29.75,6.25,0.75,trail
