strategy,condition,direction,horizon,n_trades,wr,avg_pnl,total_pnl,sharpe,median_pnl
z_se < -4 → LONG,z_se < -4,LONG,3,28884,50.463924664173945,0.18169228638692703,5248.0,0.005738938603923622,0.5
z_se < -4 → LONG,z_se < -4,LONG,5,28884,50.83090984628168,0.21572496884088077,6231.0,0.005275540811755156,0.5
z_se < -4 → LONG,z_se < -4,LONG,10,28884,50.68203849882288,-0.12332086968563911,-3562.0,-0.002126565499402661,1.0
z_se < -4 → LONG,z_se < -4,LONG,15,28884,50.63356875778978,-0.7327239994460601,-21164.0,-0.010257052719352927,1.0
z_se < -4 → LONG,z_se < -4,LONG,20,28880,50.612880886426595,-1.1121883656509695,-32120.0,-0.013454493736949751,1.0
z_se < -3 → LONG,z_se < -3,LONG,3,31015,50.27567306142189,0.13769143962598743,4270.5,0.004328864859067428,0.5
z_se < -3 → LONG,z_se < -3,LONG,5,31015,50.69482508463646,0.17647912300499757,5473.5,0.0043102861339524325,0.5
z_se < -3 → LONG,z_se < -3,LONG,10,31015,50.59809769466387,-0.20051587941318716,-6219.0,-0.003461091122808738,0.5
z_se < -3 → LONG,z_se < -3,LONG,15,31015,50.49814605835886,-0.7935031436401742,-24610.5,-0.011121661193559727,0.5
z_se < -3 → LONG,z_se < -3,LONG,20,31011,50.45951436587017,-1.2306439650446617,-38163.5,-0.014933354661498982,1.0
z_se < -2 → LONG,z_se < -2,LONG,3,32968,50.23962630429507,0.07787854889589906,2567.5,0.0024499083240202323,0.5
z_se < -2 → LONG,z_se < -2,LONG,5,32968,50.58238291676778,0.0727675321523902,2399.0,0.001780077727589026,0.5
z_se < -2 → LONG,z_se < -2,LONG,10,32968,50.594515894200434,-0.2690942732346518,-8871.5,-0.004654852189106796,0.5
z_se < -2 → LONG,z_se < -2,LONG,15,32968,50.43375394321766,-0.8180508371754428,-26969.5,-0.011528176372701626,0.5
z_se < -2 → LONG,z_se < -2,LONG,20,32964,50.43987380172309,-1.3136451886906928,-43303.0,-0.015989434009679147,1.0
z_se > 2 → SHORT,z_se > 2,SHORT,3,34940,50.04865483686319,0.2784630795649685,9729.5,0.009818167062030552,0.5
z_se > 2 → SHORT,z_se > 2,SHORT,5,34938,50.58961589100692,0.3554439292460931,12418.5,0.009878029078623169,0.5
z_se > 2 → SHORT,z_se > 2,SHORT,10,34933,50.788652563478664,0.5213837918300747,18213.5,0.010413209786622345,1.0
z_se > 2 → SHORT,z_se > 2,SHORT,15,34932,50.57540364136036,0.3652381770296576,12758.5,0.005989836505854432,0.5
z_se > 2 → SHORT,z_se > 2,SHORT,20,34932,49.945608611015686,0.061676972403526854,2154.5,0.0008881654174478194,0.0
z_se > 3 → SHORT,z_se > 3,SHORT,3,32845,50.1689754909423,0.3446947785050997,11321.5,0.0121493495850424,0.5
z_se > 3 → SHORT,z_se > 3,SHORT,5,32843,50.75663002770759,0.4647717930761502,15264.5,0.012918464772635571,0.5
z_se > 3 → SHORT,z_se > 3,SHORT,10,32838,50.947073512394184,0.7009562092697484,23018.0,0.01400901977453511,1.0
z_se > 3 → SHORT,z_se > 3,SHORT,15,32838,50.60600523783422,0.5448261160850234,17891.0,0.008950822785072584,0.5
z_se > 3 → SHORT,z_se > 3,SHORT,20,32838,49.942140203422866,0.22294293196906023,7321.0,0.003219620992512763,0.0
z_se > 4 → SHORT,z_se > 4,SHORT,3,30517,50.32932463872596,0.38904545007700625,11872.5,0.01363245372300414,0.5
z_se > 4 → SHORT,z_se > 4,SHORT,5,30515,50.935605439947565,0.5466655743077176,16681.5,0.015112501229616665,0.5
z_se > 4 → SHORT,z_se > 4,SHORT,10,30510,51.009505080301544,0.8555063913470993,26101.5,0.017032217386757427,1.0
z_se > 4 → SHORT,z_se > 4,SHORT,15,30510,50.530973451327434,0.6590298262864634,20107.0,0.010757489092296582,0.5
z_se > 4 → SHORT,z_se > 4,SHORT,20,30510,49.92789249426418,0.3428548017043592,10460.5,0.004935995007683295,0.0
vr > 0.3 → LONG,vr > 0.3,LONG,3,53554,49.434215931583076,0.0069742689621690255,373.5,0.00022927268885448827,0.0
vr < 0.3 → LONG,vr < 0.3,LONG,3,22777,49.00118540633095,-0.3261184528252184,-7428.0,-0.011439148972662537,0.0
vr > 0.3 → SHORT,vr > 0.3,SHORT,3,53554,49.29230309594055,-0.0069742689621690255,-373.5,-0.00022927268885448827,0.0
vr < 0.3 → SHORT,vr < 0.3,SHORT,3,22777,49.6465732976248,0.3261184528252184,7428.0,0.011439148972662537,0.0
vr > 0.3 → LONG,vr > 0.3,LONG,5,53552,49.53876605915745,0.060744696743352256,3253.0,0.0015653957754215378,0.0
vr < 0.3 → LONG,vr < 0.3,LONG,5,22777,49.08460288887913,-0.655529701014181,-14931.0,-0.0175919546965817,-0.5
vr > 0.3 → SHORT,vr > 0.3,SHORT,5,53552,49.5182252763669,-0.060744696743352256,-3253.0,-0.0015653957754215378,0.0
vr < 0.3 → SHORT,vr < 0.3,SHORT,5,22777,50.04609913509241,0.655529701014181,14931.0,0.0175919546965817,0.5
