direction,entry_price,exit_price,entry_bar,exit_bar,bars_held,entry_ts,exit_ts,pnl_ticks,pnl,result,exit_reason,entry_p,exit_p,peak_mfe_ticks,day
LONG,24790.75,24773.5,21,23,2,1772436000.0,1772436120.0,-69.0,-34.5,LOSS,dynamic_sl,0.727812305555659,0.595810807612984,12.0,2026-03-02
LONG,24777.75,24758.75,24,28,4,1772436180.0,1772436420.0,-76.0,-38.0,LOSS,dynamic_sl,0.6608197353717605,0.3726771544771533,25.0,2026-03-02
SHORT,24753.75,24771.5,31,45,14,1772436600.0,1772437440.0,-71.0,-35.5,LOSS,dynamic_sl,0.292045384683531,0.6432384974261098,153.0,2026-03-02
SHORT,24758.25,24767.0,48,71,23,1772437620.0,1772439000.0,-35.0,-17.5,LOSS,dynamic_sl,0.3274542171996172,0.7261858511670749,141.0,2026-03-02
LONG,24767.0,24732.0,71,76,5,1772439000.0,1772439300.0,-140.0,-70.0,LOSS,dynamic_sl,0.7261858511670749,0.19191463857772437,33.0,2026-03-02
SHORT,24732.0,24753.5,76,105,29,1772439300.0,1772441040.0,-86.0,-43.0,LOSS,dynamic_sl,0.19191463857772437,0.7283988028266776,78.0,2026-03-02
LONG,24753.5,24859.75,105,168,63,1772441040.0,1772444820.0,425.0,212.5,WIN,conviction_collapse,0.7283988028266776,0.24642939175161144,591.0,2026-03-02
SHORT,24859.75,24535.75,168,578,410,1772444820.0,1772469420.0,1296.0,648.0,WIN,conviction_collapse,0.24642939175161144,0.7299758337426494,1531.0,2026-03-02
LONG,24535.75,24622.0,578,655,77,1772469420.0,1772474040.0,345.0,172.5,WIN,conviction_collapse,0.7299758337426494,0.2961503152876212,477.0,2026-03-02
SHORT,24622.0,24638.75,655,661,6,1772474040.0,1772474400.0,-67.0,-33.5,LOSS,dynamic_sl,0.2961503152876212,0.6900651111125237,12.0,2026-03-02
LONG,24638.75,24636.75,661,676,15,1772474400.0,1772475300.0,-8.0,-4.0,LOSS,conviction_collapse,0.6900651111125237,0.2875572311000176,183.0,2026-03-02
SHORT,24636.75,24650.0,676,680,4,1772475300.0,1772475540.0,-53.0,-26.5,LOSS,dynamic_sl,0.2875572311000176,0.5608056071860562,8.0,2026-03-02
LONG,24665.0,24640.5,682,686,4,1772475660.0,1772475900.0,-98.0,-49.0,LOSS,dynamic_sl,0.7670908547695272,0.27105677649316295,33.0,2026-03-02
SHORT,24640.5,24661.5,686,691,5,1772475900.0,1772476200.0,-84.0,-42.0,LOSS,dynamic_sl,0.27105677649316295,0.6768558480079048,10.0,2026-03-02
LONG,24661.5,24650.75,691,716,25,1772476200.0,1772477700.0,-43.0,-21.5,LOSS,conviction_collapse,0.6768558480079048,0.1637193807958622,94.0,2026-03-02
SHORT,24650.75,24669.5,716,746,30,1772477700.0,1772479500.0,-75.0,-37.5,LOSS,dynamic_sl,0.1637193807958622,0.742146256642075,64.0,2026-03-02
LONG,24669.5,24656.25,746,750,4,1772479500.0,1772479740.0,-53.0,-26.5,LOSS,conviction_collapse,0.742146256642075,0.2989769912125814,8.0,2026-03-02
SHORT,24656.25,24672.0,750,752,2,1772479740.0,1772479860.0,-63.0,-31.5,LOSS,conviction_collapse,0.2989769912125814,0.7035221745396737,6.0,2026-03-02
LONG,24672.0,24676.25,752,787,35,1772479860.0,1772481960.0,17.0,8.5,WIN,conviction_collapse,0.7035221745396737,0.2538814018548227,229.0,2026-03-02
SHORT,24676.25,24653.5,787,849,62,1772481960.0,1772485680.0,91.0,45.5,WIN,conviction_collapse,0.2538814018548227,0.7265337197086862,268.0,2026-03-02
LONG,24653.5,24657.5,849,885,36,1772485680.0,1772487840.0,16.0,8.0,WIN,conviction_collapse,0.7265337197086862,0.17602773919492543,345.0,2026-03-02
SHORT,24657.5,24682.75,885,931,46,1772487840.0,1772490600.0,-101.0,-50.5,LOSS,dynamic_sl,0.17602773919492543,0.9012588850361183,252.0,2026-03-02
LONG,24682.75,24848.75,931,993,62,1772490600.0,1772494320.0,664.0,332.0,WIN,conviction_collapse,0.9012588850361183,0.1348649986472788,1060.0,2026-03-02
SHORT,24848.75,24868.0,993,995,2,1772494320.0,1772494440.0,-77.0,-38.5,LOSS,dynamic_sl,0.1348649986472788,0.4545569155051371,22.0,2026-03-02
SHORT,24869.25,24902.25,997,999,2,1772494560.0,1772494680.0,-132.0,-66.0,LOSS,dynamic_sl,0.3425789543707276,0.7200932608155036,16.0,2026-03-02
LONG,24902.25,24889.25,999,1015,16,1772494680.0,1772495640.0,-52.0,-26.0,LOSS,dynamic_sl,0.7200932608155036,0.2818617648933932,222.0,2026-03-02
SHORT,24889.25,24925.0,1015,1017,2,1772495640.0,1772495760.0,-143.0,-71.5,LOSS,dynamic_sl,0.2818617648933932,0.6950441557749605,48.0,2026-03-02
LONG,24925.0,24905.75,1017,1021,4,1772495760.0,1772496000.0,-77.0,-38.5,LOSS,end_of_day,0.6950441557749605,0.3482502129452317,31.0,2026-03-02
SHORT,24905.75,24967.0,1021,1031,10,1772496000.0,1772496600.0,-245.0,-122.5,LOSS,dynamic_sl,0.3482502129452317,0.8958548851185699,0.0,2026-03-03
LONG,24967.0,24939.5,1031,1038,7,1772496600.0,1772497020.0,-110.0,-55.0,LOSS,dynamic_sl,0.8958548851185699,0.6008364466077198,84.0,2026-03-03
LONG,24953.75,24931.75,1039,1040,1,1772497080.0,1772497140.0,-88.0,-44.0,LOSS,dynamic_sl,0.7748016274395477,0.5441810671228493,0.0,2026-03-03
SHORT,24908.0,24913.0,1046,1056,10,1772497500.0,1772498100.0,-20.0,-10.0,LOSS,conviction_collapse,0.20912241966276593,0.7078116218494018,223.0,2026-03-03
LONG,24913.0,25030.25,1056,1119,63,1772498100.0,1772501880.0,469.0,234.5,WIN,conviction_collapse,0.7078116218494018,0.26965139542349487,654.0,2026-03-03
