tier,n_trades,n_days,actual_total,actual_per_day,actual_per_trade,optimal_total,optimal_per_day,capture_pct,n_counter,pct_counter,counter_wr,if_flipped_peak,if_flipped_peak_per_day,if_flipped_at_exit,if_flipped_at_exit_per_day,avg_regret
RIDE_AGAINST,39721,342,-3837.0,-11.219298245614034,-0.0965987764658493,12059410.0,35261.43274853801,-0.03181747697441251,19511,49.120112786687145,40.577110348008816,6085646.0,17794.2865497076,290740.5,850.1184210526316,303.69947886508396
FADE_CALM,24039,348,-5481.5,-15.751436781609195,-0.22802529223345397,7335188.5,21078.12787356322,-0.07472882257899711,11875,49.39889346478638,38.357894736842105,3764687.0,10818.066091954022,326835.5,939.1824712643678,305.36503182328715
MTF_BREAKOUT,5961,315,1369.0,4.346031746031746,0.22965945311189398,2018707.0,6408.59365079365,0.06781568598117509,2989,50.14259352457642,39.41117430578789,1020699.0,3240.3142857142857,36106.0,114.62222222222222,338.42274786109715
KILL_SHOT,4411,322,-604.5,-1.8773291925465838,-0.13704375425073678,1243394.5,3861.473602484472,-0.04861691120557474,2221,50.35139424166856,44.61954074741107,652201.5,2025.47049689441,27012.5,83.88975155279503,282.0219904783496
FADE_AGAINST,4532,300,1461.0,4.87,0.3223742277140335,1214884.5,4049.615,0.12025834554642849,2074,45.763459841129745,37.60848601735776,587026.0,1956.7533333333333,56857.5,189.525,267.74569726390115
FREIGHT_TRAIN,34,11,670.0,60.90909090909091,19.705882352941178,41269.0,3751.7272727272725,1.6234946327752064,17,50.0,35.294117647058826,20306.0,1846.0,4199.0,381.72727272727275,1194.0882352941176
CASCADE,1270,290,1700.0,5.862068965517241,1.3385826771653544,356051.0,1227.7620689655173,0.47745968976354514,661,52.047244094488185,39.334341906202724,190282.5,656.1465517241379,14309.5,49.34310344827586,279.0165354330709
MTF_EXHAUSTION,233,160,1375.5,8.596875,5.9034334763948495,94941.0,593.38125,1.448794514487945,111,47.63948497854077,36.03603603603604,41573.0,259.83125,3743.5,23.396875,401.568669527897
