trade_id,day,time,dir,pnl,exit,held,peak,strategy,strategy_id,half_life,equity_after,nn_p_profit,nn_expected_pnl,nn_confidence,nn_dir_conf,nn_dur_conf,entry_z_1m,entry_dmi_1m,entry_vr_1m,exit_z_1m,exit_dmi_1m,exit_vr_1m
92,2026_01_06,06:06,short,-15.5,max_hold,3,0.0,short_1,"('short', 1)",1.0,566.5,0.801803263596126,8.687467582702636,0.3006876010245562,0.4984530508518219,0.181387260556221,1.1883123,-0.26833838,0.5167679,1.7229538,15.748503,1.0524485
93,2026_01_06,06:09,short,-1.5,envelope_decay,2,2.0,short_1,"('short', 1)",1.0,565.0,0.8240289967311056,13.031551368713378,0.3218690220027059,0.5784429311752319,0.17910093069076538,1.9281878,20.48625,1.18884,0.92863125,17.971947,1.1161628
94,2026_01_06,06:13,short,1.0,max_hold,3,2.5,short_1,"('short', 1)",1.0,566.0,0.790346223115921,8.191129364013673,0.3039815136910324,0.5071311593055725,0.182210773229599,0.15341234,19.842434,1.0502828,-1.288695,15.548182,0.35401592
95,2026_01_06,06:17,short,0.0,max_hold,3,0.5,short_1,"('short', 1)",1.0,566.0,0.7833369337906271,7.047350631713867,0.3005311002034618,0.4938570261001587,0.1828847974538803,-1.3180063,14.938625,0.3093958,-1.6436733,14.065815,0.16774435
96,2026_01_06,06:21,short,5.5,max_hold,3,7.5,short_1,"('short', 1)",1.0,571.5,0.7988993227481842,9.551758460998535,0.3059659912792977,0.5155925750732422,0.18156814575195312,-0.04226192,17.574528,0.27895048,-0.9875019,12.135166,0.26597056
97,2026_01_06,06:25,short,-6.5,max_hold,3,0.0,short_1,"('short', 1)",1.0,565.0,0.8146695583570198,11.520738136291504,0.31223476115226695,0.5411080718040466,0.18016834557056427,0.3299592,19.59185,0.30954504,1.0780894,24.665253,0.45366222
98,2026_01_06,06:28,short,-0.5,envelope_decay,2,3.0,short_1,"('short', 1)",1.0,564.5,0.7789590299129486,7.492889419555664,0.29676671701276497,0.48164308071136475,0.18285425007343292,-0.645065,19.009048,0.42353112,-0.7049518,12.291565,0.35082176
99,2026_01_06,06:32,short,-13.0,max_hold,3,0.0,short_1,"('short', 1)",1.0,551.5,0.7724428860914139,6.93234422302246,0.2954532059417616,0.47649723291397095,0.18319644033908844,-1.0590407,12.2323,0.3305355,1.1702398,22.463833,0.25205952
100,2026_01_06,06:36,short,2.5,max_hold,3,3.0,short_1,"('short', 1)",1.0,554.0,0.8218898594379425,15.640974311828613,0.3250646906371281,0.5929861068725586,0.1781948208808899,2.2645051,25.153006,0.39605024,0.16191639,23.562979,0.51577234
101,2026_01_06,06:40,long,5.0,max_hold,3,9.0,long_1,"('long', 1)",1.0,559.0,0.7919017811616261,8.929869588216146,0.2962819921612285,0.48120439052581787,0.18242356181144714,-1.0450888,14.562832,0.46504986,-0.7246208,13.742211,0.28430733
