day,entry_ts,entry_price,exit_ts,exit_price,direction,pnl_pts,pnl_usd,mfe_pts,mae_pts,peak_close_pts,leg_min,exit_reason
2025_01_02,1735776301,21226.5,1735776840,21215.0,-1,11.5,21.0,23.5,12.75,21.0,8.983333333333333,trail
2025_01_02,1735778043,21172.5,1735779000,21226.5,1,54.0,106.0,67.25,11.75,62.0,15.95,trail
2025_01_02,1735789621,21298.25,1735790079,21313.25,-1,-15.0,-32.0,3.0,15.25,0.0,7.633333333333334,sl
2025_01_02,1735792621,21319.75,1735793821,21325.75,1,6.0,10.0,15.75,2.0,12.25,20.0,trail
2025_01_02,1735803244,21364.25,1735804261,21361.25,-1,3.0,4.0,18.0,11.25,12.5,16.95,trail
2025_01_02,1735804981,21392.25,1735805460,21403.5,1,11.25,20.5,17.25,11.25,15.75,7.983333333333333,trail
2025_01_02,1735806241,21383.75,1735806660,21362.0,-1,21.75,41.5,39.0,4.75,36.75,6.983333333333333,trail
2025_01_02,1735807382,21367.0,1735807447,21352.0,1,-15.0,-32.0,1.0,15.0,0.0,1.0833333333333333,sl
2025_01_02,1735810741,21371.0,1735810966,21386.0,-1,-15.0,-32.0,9.75,15.25,1.0,3.75,sl
2025_01_02,1735812001,21405.25,1735812353,21390.25,1,-15.0,-32.0,5.0,15.0,2.25,5.866666666666666,sl
2025_01_02,1735812781,21375.0,1735812960,21375.25,-1,-0.25,-2.5,14.5,1.5,10.5,2.9833333333333334,trail
2025_01_02,1735814102,21393.75,1735815124,21378.75,1,-15.0,-32.0,10.25,16.0,7.25,17.033333333333335,sl
2025_01_02,1735815182,21372.5,1735815331,21387.5,-1,-15.0,-32.0,4.25,15.5,0.0,2.4833333333333334,sl
2025_01_02,1735816625,21403.25,1735817629,21388.25,1,-15.0,-32.0,4.75,15.25,4.75,16.733333333333334,sl
2025_01_02,1735821781,21453.25,1735822380,21424.5,-1,28.75,55.5,39.0,1.25,35.75,9.983333333333333,trail
2025_01_02,1735824901,21439.25,1735825200,21448.0,1,8.75,15.5,17.75,11.75,15.75,4.983333333333333,trail
2025_01_02,1735825861,21420.0,1735826700,21365.25,-1,54.75,107.5,83.25,11.75,69.0,13.983333333333333,trail
2025_01_02,1735827361,21388.75,1735827465,21373.75,1,-15.0,-32.0,0.25,16.25,0.0,1.7333333333333334,sl
2025_01_02,1735827781,21358.5,1735828260,21341.25,-1,17.25,32.5,37.75,10.25,21.5,7.983333333333333,trail
2025_01_02,1735828981,21209.5,1735829018,21194.5,1,-15.0,-32.0,19.5,17.5,0.0,0.6166666666666667,sl
2025_01_02,1735831081,21395.0,1735831560,21295.75,-1,99.25,196.5,139.5,9.5,128.75,7.983333333333333,trail
