**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

log_time_utc,session_date,mean_range_5d,threshold_pts,trade_today,enable_filter
2026-04-27T07:58:04.4301334Z,2026-02-13,561.4500,350.0000,false,true
2026-04-27T07:58:04.4321351Z,2026-02-15,448.4500,350.0000,false,true
2026-04-27T07:58:04.4341376Z,2026-02-16,448.4500,350.0000,false,true
2026-04-27T07:58:04.4361389Z,2026-02-17,404.3500,350.0000,false,true
2026-04-27T07:58:04.4466404Z,2026-02-18,442.8500,350.0000,false,true
2026-04-27T07:58:04.4491437Z,2026-02-19,447.1000,350.0000,false,true
2026-04-27T07:58:04.4524001Z,2026-02-20,368.0000,350.0000,false,true
2026-04-27T07:58:04.4554026Z,2026-02-22,376.9500,350.0000,false,true
2026-04-27T07:58:04.4564035Z,2026-02-23,376.9500,350.0000,false,true
2026-04-27T07:58:04.4594058Z,2026-02-24,406.3500,350.0000,false,true
2026-04-27T07:58:04.4624098Z,2026-02-25,398.2000,350.0000,false,true
2026-04-27T07:58:04.4654116Z,2026-02-26,413.4000,350.0000,false,true
2026-04-27T07:58:04.4684145Z,2026-02-27,465.8000,350.0000,false,true
2026-04-27T07:58:04.4707628Z,2026-03-01,437.4000,350.0000,false,true
2026-04-27T07:58:04.4736816Z,2026-03-02,437.4000,350.0000,false,true
2026-04-27T07:58:04.4776869Z,2026-03-03,484.0500,350.0000,false,true
2026-04-27T07:58:04.4846936Z,2026-03-04,534.1500,350.0000,false,true
2026-04-27T07:58:04.4900775Z,2026-03-05,577.0500,350.0000,false,true
2026-04-27T07:58:04.4953665Z,2026-03-06,557.7500,350.0000,false,true
2026-04-27T07:58:04.5000246Z,2026-03-08,602.1500,350.0000,false,true
2026-04-27T07:58:04.5042482Z,2026-03-09,602.1500,350.0000,false,true
2026-04-27T07:58:04.5109423Z,2026-03-10,691.0000,350.0000,false,true
2026-04-27T07:58:04.5159469Z,2026-03-11,637.6000,350.0000,false,true
2026-04-27T07:58:04.5228403Z,2026-03-12,555.8500,350.0000,false,true
2026-04-27T07:58:04.5288464Z,2026-03-13,549.0500,350.0000,false,true
2026-04-27T07:58:04.5358527Z,2026-03-15,535.7500,350.0000,false,true
2026-04-27T07:58:04.5458615Z,2026-03-16,535.7500,350.0000,false,true
2026-04-27T07:58:04.5788909Z,2026-03-17,429.7000,350.0000,false,true
2026-04-27T07:58:04.6086804Z,2026-03-18,429.7000,350.0000,false,true
2026-04-27T07:58:04.6408955Z,2026-03-19,497.0500,350.0000,false,true
2026-04-27T07:58:04.6749387Z,2026-03-20,490.0000,350.0000,false,true
2026-04-27T07:58:04.6949576Z,2026-03-22,533.2000,350.0000,false,true
2026-04-27T07:58:04.7074697Z,2026-03-23,533.2000,350.0000,false,true
2026-04-27T07:58:04.7354946Z,2026-03-24,622.8000,350.0000,false,true
2026-04-27T07:58:04.7585153Z,2026-03-25,628.3000,350.0000,false,true
2026-04-27T07:58:04.7955495Z,2026-03-26,549.5000,350.0000,false,true
2026-04-27T07:58:04.8210746Z,2026-03-27,601.1500,350.0000,false,true
2026-04-27T07:58:04.8360879Z,2026-03-29,612.1000,350.0000,false,true
2026-04-27T07:58:04.8473575Z,2026-03-30,612.1000,350.0000,false,true
2026-04-27T07:58:04.8791994Z,2026-03-31,525.1000,350.0000,false,true
2026-04-27T07:58:04.9049996Z,2026-04-01,645.2000,350.0000,false,true
2026-04-27T07:58:04.9284782Z,2026-04-02,688.4000,350.0000,false,true
2026-04-27T07:58:04.9580733Z,2026-04-03,676.8000,350.0000,false,true
2026-04-27T07:58:04.9661161Z,2026-04-05,557.8000,350.0000,false,true
2026-04-27T07:58:04.9758753Z,2026-04-06,557.8000,350.0000,false,true
2026-04-27T07:58:05.0014128Z,2026-04-07,541.0500,350.0000,false,true
2026-04-27T07:58:05.0318330Z,2026-04-08,440.3500,350.0000,false,true
2026-04-27T07:58:05.0560190Z,2026-04-09,526.0500,350.0000,false,true
2026-04-27T07:58:05.0847699Z,2026-04-10,469.8500,350.0000,false,true
2026-04-27T07:58:05.0997834Z,2026-04-12,479.9500,350.0000,false,true
2026-04-27T07:58:05.1082988Z,2026-04-13,479.9500,350.0000,false,true
2026-04-27T07:58:05.1328236Z,2026-04-14,520.7000,350.0000,false,true
2026-04-27T07:58:05.1584544Z,2026-04-15,507.8500,350.0000,false,true
2026-04-27T07:58:05.1873978Z,2026-04-16,416.9500,350.0000,false,true
2026-04-27T07:58:05.2101838Z,2026-04-17,410.3000,350.0000,false,true
2026-04-27T07:58:05.2243889Z,2026-04-19,458.2000,350.0000,false,true
2026-04-27T07:58:05.2358385Z,2026-04-20,458.2000,350.0000,false,true
2026-04-27T07:58:05.2598600Z,2026-04-21,381.3000,350.0000,false,true
2026-04-27T07:58:05.2848822Z,2026-04-22,362.2000,350.0000,false,true
2026-04-27T07:58:05.3154129Z,2026-04-23,355.6500,350.0000,false,true
2026-04-27T07:58:05.3384337Z,2026-04-24,393.4500,350.0000,false,true
2026-04-27T08:15:39.5461580Z,2026-03-29,612.1000,350.0000,false,true
2026-04-27T08:15:39.5589443Z,2026-03-30,612.1000,350.0000,false,true
2026-04-27T08:15:39.5892137Z,2026-03-31,525.1000,350.0000,false,true
2026-04-27T08:15:39.6216413Z,2026-04-01,645.2000,350.0000,false,true
2026-04-27T08:15:39.6582578Z,2026-04-02,688.4000,350.0000,false,true
2026-04-27T08:15:39.6864143Z,2026-04-03,676.8000,350.0000,false,true
2026-04-27T08:15:39.6925300Z,2026-04-05,557.8000,350.0000,false,true
2026-04-27T08:15:39.7031204Z,2026-04-06,557.8000,350.0000,false,true
2026-04-27T08:15:39.7373183Z,2026-04-07,541.0500,350.0000,false,true
2026-04-27T08:15:39.7639804Z,2026-04-08,440.3500,350.0000,false,true
2026-04-27T08:15:39.7938815Z,2026-04-09,526.0500,350.0000,false,true
2026-04-27T08:15:39.8183307Z,2026-04-10,469.8500,350.0000,false,true
2026-04-27T08:15:39.8346321Z,2026-04-12,479.9500,350.0000,false,true
2026-04-27T08:15:39.8463570Z,2026-04-13,479.9500,350.0000,false,true
2026-04-27T08:15:39.8703558Z,2026-04-14,520.7000,350.0000,false,true
2026-04-27T08:15:39.9046562Z,2026-04-15,507.8500,350.0000,false,true
2026-04-27T08:15:39.9432938Z,2026-04-16,416.9500,350.0000,false,true
2026-04-27T08:15:39.9809136Z,2026-04-17,410.3000,350.0000,false,true
2026-04-27T08:15:40.0057914Z,2026-04-19,458.2000,350.0000,false,true
2026-04-27T08:15:40.0166415Z,2026-04-20,458.2000,350.0000,false,true
2026-04-27T08:15:40.0481975Z,2026-04-21,381.3000,350.0000,false,true
2026-04-27T08:15:40.0862872Z,2026-04-22,362.2000,350.0000,false,true
2026-04-27T08:15:40.1186010Z,2026-04-23,355.6500,350.0000,false,true
2026-04-27T08:15:40.1509592Z,2026-04-24,393.4500,350.0000,false,true
