**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

log_time_utc,session_date,mean_range_5d,threshold_pts,trade_today,enable_filter
2026-04-27T07:58:04.2365456Z,2026-01-11,308.0500,350.0000,true,true
2026-04-27T07:58:04.2387658Z,2026-01-12,308.0500,350.0000,true,true
2026-04-27T07:58:04.2894958Z,2026-01-13,321.7000,350.0000,true,true
2026-04-27T07:58:04.3113027Z,2026-01-14,308.1500,350.0000,true,true
2026-04-27T07:58:04.3408058Z,2026-01-15,355.6500,350.0000,false,true
2026-04-27T07:58:04.3428073Z,2026-01-16,376.8000,350.0000,false,true
2026-04-27T07:58:04.3448094Z,2026-01-18,363.0000,350.0000,false,true
2026-04-27T07:58:04.3458103Z,2026-01-19,363.0000,350.0000,false,true
2026-04-27T07:58:04.3478120Z,2026-01-20,361.7500,350.0000,false,true
2026-04-27T07:58:04.3508144Z,2026-01-21,380.6000,350.0000,false,true
2026-04-27T07:58:04.3543234Z,2026-01-22,405.5500,350.0000,false,true
2026-04-27T07:58:04.3563275Z,2026-01-23,380.1500,350.0000,false,true
2026-04-27T07:58:04.3574943Z,2026-01-25,380.8000,350.0000,false,true
2026-04-27T07:58:04.3586202Z,2026-01-26,380.8000,350.0000,false,true
2026-04-27T07:58:04.3607790Z,2026-01-27,407.7000,350.0000,false,true
2026-04-27T07:58:04.3627809Z,2026-01-28,395.7500,350.0000,false,true
2026-04-27T07:58:04.3647827Z,2026-01-29,340.1000,350.0000,true,true
2026-04-27T07:58:04.3960806Z,2026-01-30,440.6000,350.0000,false,true
2026-04-27T07:58:04.3973200Z,2026-02-01,469.7000,350.0000,false,true
2026-04-27T07:58:04.3995636Z,2026-02-02,469.7000,350.0000,false,true
2026-04-27T07:58:04.4025661Z,2026-02-03,522.4500,350.0000,false,true
2026-04-27T07:58:04.4060731Z,2026-02-04,629.5000,350.0000,false,true
2026-04-27T07:58:04.4100766Z,2026-02-05,706.0500,350.0000,false,true
2026-04-27T07:58:04.4134507Z,2026-02-06,706.6500,350.0000,false,true
2026-04-27T07:58:04.4167569Z,2026-02-08,813.5000,350.0000,false,true
2026-04-27T07:58:04.4177571Z,2026-02-09,813.5000,350.0000,false,true
2026-04-27T07:58:04.4207599Z,2026-02-10,752.3000,350.0000,false,true
2026-04-27T07:58:04.4237627Z,2026-02-11,639.6000,350.0000,false,true
2026-04-27T07:58:04.4257644Z,2026-02-12,574.1000,350.0000,false,true
