tier,regime,n,mfe_mode,mfe_mean,mfe_p25,mfe_p50,mfe_p75,mfe_p90,pnl_mode,pnl_mean,capture
CASCADE,ALL,1142,2.4785714285714286,12.806042031523642,1.0,6.5,18.0,32.0,4.7954545454545325,-1.1405429071803852,-0.08906287394440836
CASCADE,UP_SMOOTH,207,2.402173913043478,11.181159420289855,1.0,6.0,14.25,30.5,-0.17352941176470438,0.3333333333333333,0.029812054439403757
CASCADE,UP_CHOPPY,113,2.4785714285714286,16.75221238938053,1.0,8.5,23.0,35.9,2.8190298507462614,1.261061946902655,0.07527733755942947
CASCADE,DOWN_SMOOTH,126,2.4464285714285716,15.047619047619047,2.0,9.0,19.875,34.25,8.722014925373145,2.638888888888889,0.1753691983122363
CASCADE,DOWN_CHOPPY,77,2.4107142857142856,11.902597402597403,1.5,7.5,15.0,33.40000000000002,2.5,-3.292207792207792,-0.2765957446808511
CASCADE,FLAT_SMOOTH,163,2.4523809523809526,9.06441717791411,0.0,3.5,9.5,25.80000000000001,0.3981958762886677,-3.021472392638037,-0.3333333333333333
CASCADE,FLAT_CHOPPY,456,2.4655172413793105,13.43640350877193,1.0,8.0,18.625,32.75,6.379151291512898,-2.4133771929824563,-0.17961481965072632
FADE_AGAINST,ALL,3190,2.4910714285714284,17.45219435736677,0.5,8.5,22.0,45.0,5.0,1.7432601880877743,0.0998877363150568
FADE_AGAINST,UP_SMOOTH,607,2.485294117647059,14.505766062602966,0.75,7.0,19.0,36.5,2.189772727272782,-0.4942339373970346,-0.034071550255536626
FADE_AGAINST,UP_CHOPPY,364,2.4910714285714284,16.958791208791208,0.5,7.5,19.125,38.849999999999994,5.0,-1.8516483516483517,-0.10918516118580918
FADE_AGAINST,DOWN_SMOOTH,447,2.4841772151898733,18.700223713646533,0.5,9.0,22.0,39.80000000000007,7.5,0.36017897091722595,0.019260677114487378
FADE_AGAINST,DOWN_CHOPPY,221,2.4761904761904763,19.506787330316744,1.5,11.0,31.5,52.0,-0.09401709401709013,4.65158371040724,0.23845975411737416
FADE_AGAINST,FLAT_SMOOTH,387,2.435483870967742,13.391472868217054,0.5,7.0,17.0,33.5,-3.361263736263737,2.8087855297157622,0.20974433188615532
FADE_AGAINST,FLAT_CHOPPY,1164,2.489130434782609,19.623711340206185,0.875,10.25,26.5,54.35000000000002,6.3506289308176065,3.65893470790378,0.18645477628929166
FADE_CALM,ALL,5906,2.490740740740741,9.287334913647138,0.5,5.0,12.0,23.0,2.0,0.3018963765662039,0.032506244188802394
FADE_CALM,UP_SMOOTH,1041,2.4785714285714286,8.62536023054755,0.5,4.5,11.5,21.0,1.0766666666666538,-1.1138328530259367,-0.1291346475108587
FADE_CALM,UP_CHOPPY,512,2.472826086956522,9.8818359375,1.0,5.5,13.0,22.950000000000017,1.3730769230769226,1.0830078125,0.10959580986263465
