day,pnl,n_trades,n_winners,n_losers,n_trail,n_pivot,n_eod,n_long,n_short,sum_mfe_usd,avg_leg_min,best_trade,worst_trade,pivot_pnl,trail_pnl,pivot_share,trail_share,long_share,is_loss_day,split,dow
2025_11_10,-398.0,22,8,14,12,10,0,10,12,810.0,27.61287878787879,102.0,-90.5,-637.0,239.0,0.45454545454545453,0.5454545454545454,0.45454545454545453,True,IS,Monday
2025_11_11,195.5,20,14,6,15,4,1,12,8,1024.0,23.08083333333333,78.5,-83.0,-263.0,477.5,0.2,0.75,0.6,False,IS,Tuesday
2025_11_12,32.0,20,13,7,14,6,0,6,14,949.5,12.326666666666664,173.5,-83.5,-420.0,452.0,0.3,0.7,0.3,False,IS,Wednesday
2025_11_13,258.0,36,20,16,24,12,0,12,24,2175.5,9.284722222222221,198.5,-78.0,-732.5,990.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,False,IS,Thursday
2025_11_14,177.5,58,32,26,40,18,0,31,27,3571.5,8.186781609195402,171.0,-102.0,-1276.5,1454.0,0.3103448275862069,0.6896551724137931,0.5344827586206896,False,IS,Friday
2025_11_17,586.5,34,23,11,26,8,0,10,24,2266.0,9.860784313725489,389.5,-124.0,-622.5,1209.0,0.23529411764705882,0.7647058823529411,0.29411764705882354,False,IS,Monday
2025_11_18,-1909.5,87,31,56,46,41,0,48,39,4087.0,4.878544061302682,189.0,-126.5,-3091.0,1181.5,0.47126436781609193,0.5287356321839081,0.5517241379310345,True,IS,Tuesday
2025_11_19,402.5,48,34,14,37,11,0,29,19,2814.0,7.376041666666667,157.5,-121.5,-861.5,1264.0,0.22916666666666666,0.7708333333333334,0.6041666666666666,False,IS,Wednesday
2025_11_20,-65.0,62,36,25,45,17,0,19,43,4158.5,7.7387096774193544,312.5,-165.5,-1586.5,1521.5,0.27419354838709675,0.7258064516129032,0.3064516129032258,True,IS,Thursday
2025_11_21,110.0,92,50,41,62,30,0,50,42,6378.5,5.948550724637681,225.5,-143.0,-2377.5,2487.5,0.32608695652173914,0.6739130434782609,0.5434782608695652,False,IS,Friday
2025_11_24,288.5,37,23,14,28,9,0,17,20,1865.5,11.036936936936938,282.5,-134.0,-690.5,979.0,0.24324324324324326,0.7567567567567568,0.4594594594594595,False,IS,Monday
2025_11_25,-310.5,36,18,18,20,16,0,17,19,1784.0,15.592129629629628,192.5,-90.5,-1093.5,783.0,0.4444444444444444,0.5555555555555556,0.4722222222222222,True,IS,Tuesday
2025_11_26,31.0,26,17,9,18,8,0,14,12,1236.5,13.20897435897436,62.0,-73.0,-481.5,512.5,0.3076923076923077,0.6923076923076923,0.5384615384615384,False,IS,Wednesday
2025_11_27,-159.0,3,0,3,0,2,1,1,2,30.0,308.2944444444444,-38.5,-62.0,-120.5,0.0,0.6666666666666666,0.0,0.3333333333333333,True,IS,Thursday
2025_11_28,-8.0,12,7,5,8,4,0,7,5,560.0,69.73472222222222,85.0,-66.0,-232.0,224.0,0.3333333333333333,0.6666666666666666,0.5833333333333334,True,IS,Friday
2025_12_01,104.5,25,15,10,19,6,0,12,13,1171.0,12.411999999999999,116.5,-75.0,-354.5,459.0,0.24,0.76,0.48,False,IS,Monday
2025_12_02,557.0,26,20,6,21,5,0,16,10,1621.0,15.901923076923076,157.0,-126.5,-425.0,982.0,0.19230769230769232,0.8076923076923077,0.6153846153846154,False,IS,Tuesday
