day,pnl,n_trades,n_winners,n_losers,n_trail,n_pivot,n_eod,n_long,n_short,sum_mfe_usd,avg_leg_min,best_trade,worst_trade,pivot_pnl,trail_pnl,pivot_share,trail_share,long_share,is_loss_day,split,dow
2025_01_02,-221.5,29,15,14,16,13,0,19,10,1499.0,9.428735632183908,107.5,-80.5,-839.0,617.5,0.4482758620689655,0.5517241379310345,0.6551724137931034,True,IS,Thursday
2025_01_03,339.0,25,18,7,21,4,0,13,12,1306.5,10.892000000000001,152.0,-69.5,-248.0,587.0,0.16,0.84,0.52,False,IS,Friday
2025_01_06,-258.0,16,9,7,9,7,0,7,9,713.5,29.736458333333328,60.5,-130.0,-511.5,253.5,0.4375,0.5625,0.4375,True,IS,Monday
2025_01_07,689.0,28,20,8,21,7,0,11,17,1975.5,18.011904761904763,242.0,-87.0,-430.5,1119.5,0.25,0.75,0.39285714285714285,False,IS,Tuesday
2025_01_08,-136.0,33,21,10,24,9,0,13,20,1688.0,10.06969696969697,101.0,-110.5,-699.0,563.0,0.2727272727272727,0.7272727272727273,0.3939393939393939,True,IS,Wednesday
2025_01_09,-75.0,12,6,6,6,5,1,6,6,412.0,74.3013888888889,75.0,-70.0,-270.0,196.5,0.4166666666666667,0.5,0.5,True,IS,Thursday
2025_01_10,539.5,24,19,5,21,3,0,8,16,1465.0,12.815972222222221,108.0,-71.0,-182.5,722.0,0.125,0.875,0.3333333333333333,False,IS,Friday
2025_01_13,19.0,36,23,13,25,11,0,21,15,1715.0,14.120833333333332,83.0,-88.0,-706.0,725.0,0.3055555555555556,0.6944444444444444,0.5833333333333334,False,IS,Monday
2025_01_14,498.5,27,20,7,21,6,0,12,15,1736.0,17.12962962962963,343.0,-66.5,-352.0,850.5,0.2222222222222222,0.7777777777777778,0.4444444444444444,False,IS,Tuesday
2025_01_15,-362.0,18,10,8,10,8,0,11,7,955.0,20.871296296296297,176.0,-407.0,-921.0,559.0,0.4444444444444444,0.5555555555555556,0.6111111111111112,True,IS,Wednesday
2025_01_16,103.5,22,16,6,17,5,0,8,14,1091.0,9.306818181818182,88.0,-111.0,-394.5,498.0,0.22727272727272727,0.7727272727272727,0.36363636363636365,False,IS,Thursday
2025_01_17,87.0,15,12,3,12,3,0,9,6,635.5,21.44222222222222,40.5,-73.5,-191.5,278.5,0.2,0.8,0.6,False,IS,Friday
2025_01_20,2.5,13,8,5,8,5,0,8,5,603.0,50.05128205128205,82.5,-62.5,-297.0,299.5,0.38461538461538464,0.6153846153846154,0.6153846153846154,False,IS,Monday
2025_01_21,-589.5,26,15,11,17,9,0,14,12,1039.5,11.905128205128204,37.5,-174.5,-857.0,267.5,0.34615384615384615,0.6538461538461539,0.5384615384615384,True,IS,Tuesday
2025_01_22,-202.0,10,5,5,5,5,0,5,5,294.0,58.28333333333334,47.5,-101.5,-360.5,158.5,0.5,0.5,0.5,True,IS,Wednesday
2025_01_23,-84.0,14,8,6,9,5,0,7,7,447.0,50.90714285714285,46.5,-67.0,-276.0,192.0,0.35714285714285715,0.6428571428571429,0.5,True,IS,Thursday
2025_01_24,-143.0,16,9,7,11,5,0,8,8,488.0,32.296875,39.0,-63.0,-280.0,137.0,0.3125,0.6875,0.5,True,IS,Friday
2025_01_27,442.5,55,34,21,36,19,0,29,26,3473.0,9.782121212121211,339.0,-90.0,-1289.0,1731.5,0.34545454545454546,0.6545454545454545,0.5272727272727272,False,IS,Monday
2025_01_28,49.0,37,23,14,27,10,0,18,19,1742.0,12.578378378378378,131.5,-113.0,-731.5,780.5,0.2702702702702703,0.7297297297297297,0.4864864864864865,False,IS,Tuesday
2025_01_29,-661.0,32,14,18,16,16,0,14,18,1382.0,13.169791666666667,131.5,-155.5,-1208.0,547.0,0.5,0.5,0.4375,True,IS,Wednesday
2025_01_30,-10.5,24,16,8,18,6,0,11,13,1124.5,12.31875,131.5,-121.5,-465.5,455.0,0.25,0.75,0.4583333333333333,True,IS,Thursday
2025_01_31,154.0,18,10,8,15,3,0,8,10,1000.5,15.372222222222222,99.0,-69.5,-177.0,331.0,0.16666666666666666,0.8333333333333334,0.4444444444444444,False,IS,Friday
2025_02_03,-590.0,58,30,27,40,18,0,30,28,2802.5,8.395689655172413,219.0,-116.5,-1366.5,776.5,0.3103448275862069,0.6896551724137931,0.5172413793103449,True,IS,Monday
2025_02_04,168.0,26,18,8,19,7,0,13,13,1382.5,17.88974358974359,243.5,-80.0,-425.0,593.0,0.2692307692307692,0.7307692307692307,0.5,False,IS,Tuesday
2025_02_05,-42.0,12,8,4,10,2,0,9,3,453.5,9.813888888888888,76.5,-147.5,-217.5,175.5,0.16666666666666666,0.8333333333333334,0.75,True,IS,Wednesday
2025_02_06,82.5,19,14,5,14,5,0,10,9,906.5,16.45,126.5,-120.0,-400.5,483.0,0.2631578947368421,0.7368421052631579,0.5263157894736842,False,IS,Thursday
2025_02_07,-232.5,29,14,15,19,10,0,12,17,1897.5,26.60229885057471,272.5,-248.5,-700.5,468.0,0.3448275862068966,0.6551724137931034,0.41379310344827586,True,IS,Friday
2025_02_10,-116.5,13,8,5,9,4,0,7,6,435.0,31.216666666666665,27.0,-76.0,-233.0,116.5,0.3076923076923077,0.6923076923076923,0.5384615384615384,True,IS,Monday
2025_02_11,164.5,13,9,4,9,4,0,8,5,668.0,33.97692307692308,138.0,-69.0,-248.5,413.0,0.3076923076923077,0.6923076923076923,0.6153846153846154,False,IS,Tuesday
2025_02_12,547.5,16,14,2,14,2,0,7,9,1131.5,18.119791666666668,185.0,-70.5,-125.5,673.0,0.125,0.875,0.4375,False,IS,Wednesday
2025_02_13,-86.0,17,8,9,10,7,0,8,9,942.0,27.73725490196078,103.0,-84.5,-454.0,368.0,0.4117647058823529,0.5882352941176471,0.47058823529411764,True,IS,Thursday
2025_02_14,-30.5,15,11,4,11,4,0,8,7,491.0,29.382222222222218,47.0,-67.0,-240.0,209.5,0.26666666666666666,0.7333333333333333,0.5333333333333333,True,IS,Friday
2025_02_17,28.0,5,4,1,4,1,0,3,2,146.5,59.96333333333333,36.0,-46.5,-46.5,74.5,0.2,0.8,0.6,False,IS,Monday
2025_02_18,-45.0,13,8,5,9,4,0,5,8,475.5,22.069230769230767,50.0,-69.0,-259.0,214.0,0.3076923076923077,0.6923076923076923,0.38461538461538464,True,IS,Tuesday
2025_02_19,-126.5,17,12,5,12,5,0,9,8,531.5,33.92843137254902,50.0,-78.5,-341.0,214.5,0.29411764705882354,0.7058823529411765,0.5294117647058824,True,IS,Wednesday
2025_02_20,-143.5,18,9,9,10,8,0,6,12,746.5,20.645370370370372,188.5,-80.0,-511.0,367.5,0.4444444444444444,0.5555555555555556,0.3333333333333333,True,IS,Thursday
2025_02_21,14.0,19,12,7,12,7,0,6,13,1018.5,20.983333333333334,152.0,-92.0,-479.0,493.0,0.3684210526315789,0.631578947368421,0.3157894736842105,False,IS,Friday
2025_02_24,-190.0,25,16,9,16,9,0,10,15,923.0,20.346,65.0,-75.5,-583.5,393.5,0.36,0.64,0.4,True,IS,Monday
2025_02_25,-306.5,35,20,15,21,14,0,17,18,1529.5,17.01190476190476,85.0,-108.0,-1004.0,697.5,0.4,0.6,0.4857142857142857,True,IS,Tuesday
2025_02_26,-470.5,29,14,15,15,14,0,12,17,1258.5,12.153448275862068,101.0,-97.0,-979.0,508.5,0.4827586206896552,0.5172413793103449,0.41379310344827586,True,IS,Wednesday
2025_02_27,542.5,30,20,9,22,8,0,12,18,2048.5,11.150555555555554,239.0,-98.5,-553.5,1096.0,0.26666666666666666,0.7333333333333333,0.4,False,IS,Thursday
2025_02_28,472.5,52,32,19,36,16,0,25,27,3245.0,10.080128205128204,158.0,-90.5,-1118.5,1591.0,0.3076923076923077,0.6923076923076923,0.4807692307692308,False,IS,Friday
2025_03_03,-199.5,45,23,22,27,18,0,14,31,2627.5,9.538148148148148,161.5,-94.0,-1276.0,1076.5,0.4,0.6,0.3111111111111111,True,IS,Monday
2025_03_04,-1115.0,69,31,38,40,29,0,35,34,3348.0,8.113043478260868,143.0,-97.5,-2096.5,981.5,0.42028985507246375,0.5797101449275363,0.5072463768115942,True,IS,Tuesday
2025_03_05,12.0,73,42,31,52,21,0,33,40,4397.0,7.8999999999999995,165.0,-98.0,-1497.5,1509.5,0.2876712328767123,0.7123287671232876,0.4520547945205479,False,IS,Wednesday
2025_03_06,421.5,57,36,20,48,9,0,28,29,3214.5,7.6497076023391815,167.5,-113.5,-651.5,1073.0,0.15789473684210525,0.8421052631578947,0.49122807017543857,False,IS,Thursday
2025_03_07,-773.0,62,29,33,34,28,0,29,33,3487.0,9.370967741935484,251.5,-240.5,-1975.0,1202.0,0.45161290322580644,0.5483870967741935,0.46774193548387094,True,IS,Friday
2025_03_10,-191.5,65,37,28,40,25,0,31,34,3580.0,7.85974358974359,129.5,-99.5,-1654.5,1463.0,0.38461538461538464,0.6153846153846154,0.47692307692307695,True,IS,Monday
2025_03_11,403.0,70,42,28,49,21,0,39,31,4592.5,7.583333333333332,164.0,-139.5,-1628.5,2031.5,0.3,0.7,0.5571428571428572,False,IS,Tuesday
2025_03_12,-667.0,60,28,32,35,25,0,29,31,3439.5,9.24611111111111,243.0,-120.5,-1911.0,1244.0,0.4166666666666667,0.5833333333333334,0.48333333333333334,True,IS,Wednesday
2025_03_13,-750.0,61,33,28,39,22,0,29,32,2703.5,6.67103825136612,146.5,-137.0,-1758.5,1008.5,0.36065573770491804,0.639344262295082,0.47540983606557374,True,IS,Thursday
2025_03_14,251.5,34,24,10,27,7,0,16,18,1738.0,12.805882352941175,139.0,-73.5,-435.0,686.5,0.20588235294117646,0.7941176470588235,0.47058823529411764,False,IS,Friday
2025_03_17,290.5,15,12,3,13,2,0,13,2,953.0,19.11111111111111,149.0,-103.5,-177.5,468.0,0.13333333333333333,0.8666666666666667,0.8666666666666667,False,IS,Monday
2025_03_18,237.5,19,16,3,16,3,0,8,11,939.0,14.025438596491226,60.0,-70.5,-195.0,432.5,0.15789473684210525,0.8421052631578947,0.42105263157894735,False,IS,Tuesday
2025_03_19,-281.5,22,14,8,14,8,0,14,8,987.5,25.33712121212121,66.0,-181.5,-644.0,362.5,0.36363636363636365,0.6363636363636364,0.6363636363636364,True,IS,Wednesday
2025_03_20,4.0,31,19,12,22,8,1,14,17,1554.0,15.918817204301076,89.0,-88.5,-569.0,602.5,0.25806451612903225,0.7096774193548387,0.45161290322580644,False,IS,Thursday
2025_03_21,165.5,10,9,1,9,1,0,6,4,457.0,30.28,74.5,-58.0,-58.0,223.5,0.1,0.9,0.6,False,IS,Friday
2025_04_01,91.5,39,23,16,27,12,0,22,17,2054.5,12.495299145299144,171.0,-102.0,-822.0,913.5,0.3076923076923077,0.6923076923076923,0.5641025641025641,False,IS,Tuesday
2025_04_02,490.0,43,24,19,28,15,0,22,21,3378.0,12.337209302325581,696.0,-340.5,-1040.0,1530.0,0.3488372093023256,0.6511627906976745,0.5116279069767442,False,IS,Wednesday
2025_04_03,-435.5,60,33,27,41,19,0,32,28,3075.5,7.379166666666666,109.5,-131.0,-1369.0,933.5,0.31666666666666665,0.6833333333333333,0.5333333333333333,True,IS,Thursday
2025_04_04,-443.0,104,47,57,66,38,0,43,61,8520.0,5.386217948717948,569.0,-242.5,-3399.5,2956.5,0.36538461538461536,0.6346153846153846,0.41346153846153844,True,IS,Friday
2025_04_07,1752.0,190,86,104,115,75,0,105,85,23426.5,3.7675438596491224,1334.5,-342.0,-7309.5,9061.5,0.39473684210526316,0.6052631578947368,0.5526315789473685,False,IS,Monday
2025_04_08,-495.5,96,48,48,62,34,0,43,53,6372.5,5.8914930555555545,278.0,-165.5,-2927.0,2431.5,0.3541666666666667,0.6458333333333334,0.4479166666666667,True,IS,Tuesday
2025_04_09,1286.5,138,75,63,94,44,0,80,58,17234.0,4.019565217391305,884.0,-937.0,-5843.5,7130.0,0.3188405797101449,0.6811594202898551,0.5797101449275363,False,IS,Wednesday
2025_04_10,-1218.5,135,60,75,78,57,0,60,75,11229.0,5.33679012345679,457.0,-305.0,-5426.0,4207.5,0.4222222222222222,0.5777777777777777,0.4444444444444444,True,IS,Thursday
2025_04_11,-1735.5,138,57,81,81,56,1,76,62,8829.5,4.228502415458937,320.0,-157.0,-4188.5,2465.0,0.4057971014492754,0.5869565217391305,0.5507246376811594,True,IS,Friday
2025_04_14,20.0,49,31,17,34,15,0,16,33,3154.5,7.713265306122449,299.0,-121.5,-1257.0,1277.0,0.30612244897959184,0.6938775510204082,0.32653061224489793,False,IS,Monday
2025_04_15,-382.0,63,36,27,42,21,0,33,30,2898.5,9.133068783068783,174.5,-93.5,-1470.0,1088.0,0.3333333333333333,0.6666666666666666,0.5238095238095238,True,IS,Tuesday
2025_04_16,932.0,40,28,12,29,11,0,15,25,2974.5,11.683333333333334,255.5,-89.5,-698.5,1630.5,0.275,0.725,0.375,False,IS,Wednesday
2025_04_17,-429.5,44,24,20,27,17,0,19,25,2232.5,9.048484848484849,74.0,-88.5,-1138.5,709.0,0.38636363636363635,0.6136363636363636,0.4318181818181818,True,IS,Thursday
2025_04_21,278.5,27,18,9,20,6,1,15,12,1367.5,17.45925925925926,126.5,-80.0,-380.5,681.0,0.2222222222222222,0.7407407407407407,0.5555555555555556,False,IS,Monday
2025_04_22,-154.0,32,18,14,20,12,0,14,18,1643.0,15.2296875,165.0,-142.0,-900.5,746.5,0.375,0.625,0.4375,True,IS,Tuesday
2025_04_23,209.5,50,30,20,37,13,0,20,30,3074.5,8.519,119.5,-257.5,-911.0,1120.5,0.26,0.74,0.4,False,IS,Wednesday
2025_04_24,72.0,31,21,10,22,9,0,20,11,1446.0,12.176344086021505,139.0,-88.0,-614.0,686.0,0.2903225806451613,0.7096774193548387,0.6451612903225806,False,IS,Thursday
2025_04_25,-399.0,53,29,24,32,21,0,25,28,2341.0,9.303773584905661,147.5,-92.5,-1408.0,1009.0,0.39622641509433965,0.6037735849056604,0.4716981132075472,True,IS,Friday
2025_04_28,313.5,23,16,7,19,4,0,5,18,1251.0,11.81086956521739,144.0,-77.5,-269.5,583.0,0.17391304347826086,0.8260869565217391,0.21739130434782608,False,IS,Monday
2025_04_29,429.5,34,25,9,27,7,0,17,17,1857.0,14.628921568627451,98.0,-104.0,-509.5,939.0,0.20588235294117646,0.7941176470588235,0.5,False,IS,Tuesday
2025_04_30,-283.5,40,23,17,27,13,0,17,23,2156.0,11.407083333333333,273.0,-144.5,-1130.0,846.5,0.325,0.675,0.425,True,IS,Wednesday
2025_05_01,-405.0,33,17,16,18,15,0,18,15,1644.5,16.01313131313131,96.0,-124.0,-1020.0,615.0,0.45454545454545453,0.5454545454545454,0.5454545454545454,True,IS,Thursday
2025_05_02,-432.0,39,18,21,24,15,0,18,21,1496.5,12.7508547008547,151.0,-78.5,-961.0,529.0,0.38461538461538464,0.6153846153846154,0.46153846153846156,True,IS,Friday
2025_05_05,-87.5,15,9,6,11,4,0,10,5,608.5,20.25111111111111,83.5,-65.5,-250.0,162.5,0.26666666666666666,0.7333333333333333,0.6666666666666666,True,IS,Monday
2025_05_06,62.0,30,21,9,21,9,0,18,12,1385.5,14.47722222222222,103.0,-90.5,-592.5,654.5,0.3,0.7,0.6,False,IS,Tuesday
2025_05_07,535.0,43,25,17,29,14,0,23,20,2858.0,10.234496124031008,193.0,-121.5,-993.5,1528.5,0.32558139534883723,0.6744186046511628,0.5348837209302325,False,IS,Wednesday
2025_05_08,65.0,20,13,7,14,6,0,7,13,959.5,16.380833333333335,93.0,-90.5,-431.5,496.5,0.3,0.7,0.35,False,IS,Thursday
2025_05_09,-87.0,29,17,12,20,9,0,13,16,1275.0,12.604022988505747,61.5,-76.5,-546.0,459.0,0.3103448275862069,0.6896551724137931,0.4482758620689655,True,IS,Friday
2025_05_12,-116.0,36,22,14,24,12,0,16,20,1633.0,16.92685185185185,148.5,-129.5,-814.0,698.0,0.3333333333333333,0.6666666666666666,0.4444444444444444,True,IS,Monday
2025_05_13,-161.5,18,10,8,12,6,0,10,8,612.0,19.7,59.5,-75.0,-399.5,238.0,0.3333333333333333,0.6666666666666666,0.5555555555555556,True,IS,Tuesday
2025_05_14,-242.0,22,11,11,13,9,0,10,12,956.5,18.25681818181818,102.0,-91.0,-632.0,390.0,0.4090909090909091,0.5909090909090909,0.45454545454545453,True,IS,Wednesday
