**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

close_time_utc,day,entry_time_utc,exit_time_utc,direction,entry_price,exit_price,qty,pnl_points,pnl_usd,held_minutes,entry_reason,exit_reason
2026-04-25T20:19:06.3473693Z,2026-02-24,2026-02-24 01:24:00,2026-02-24 05:36:00,long,25039.2500,25063.5000,1,24.2500,48.50,252.00,LongAtLowPivot,FlipExitLong
2026-04-25T20:19:06.3483754Z,2026-02-24,2026-02-24 05:36:00,2026-02-24 07:08:00,short,25063.5000,25074.0000,0,-10.5000,0.00,92.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3493839Z,2026-02-24,2026-02-24 07:08:00,2026-02-24 07:49:00,long,25074.0000,25049.7500,0,-24.2500,0.00,41.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3493839Z,2026-02-24,2026-02-24 07:49:00,2026-02-24 08:25:00,short,25049.7500,25032.2500,0,17.5000,0.00,36.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3504569Z,2026-02-24,2026-02-24 08:25:00,2026-02-24 08:37:00,long,25032.2500,24996.5000,0,-35.7500,0.00,12.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3504569Z,2026-02-24,2026-02-24 08:37:00,2026-02-24 08:59:00,short,24996.5000,25009.7500,0,-13.2500,0.00,22.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3515599Z,2026-02-24,2026-02-24 08:59:00,2026-02-24 09:35:00,long,25009.7500,25027.0000,0,17.2500,0.00,36.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3515599Z,2026-02-24,2026-02-24 09:35:00,2026-02-24 09:47:00,short,25027.0000,25044.5000,0,-17.5000,0.00,12.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3526002Z,2026-02-24,2026-02-24 09:47:00,2026-02-24 10:45:00,long,25044.5000,25059.7500,0,15.2500,0.00,58.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3526002Z,2026-02-24,2026-02-24 10:45:00,2026-02-24 12:02:00,short,25059.7500,25074.7500,0,-15.0000,0.00,77.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3536246Z,2026-02-24,2026-02-24 12:02:00,2026-02-24 12:11:00,long,25074.7500,25090.5000,0,15.7500,0.00,9.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3536246Z,2026-02-24,2026-02-24 12:11:00,2026-02-24 13:04:00,short,25090.5000,25040.2500,0,50.2500,0.00,53.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3546523Z,2026-02-24,2026-02-24 13:04:00,2026-02-24 14:13:00,long,25040.2500,25076.5000,0,36.2500,0.00,69.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3546523Z,2026-02-24,2026-02-24 14:13:00,2026-02-24 14:40:00,short,25076.5000,25016.7500,0,59.7500,0.00,27.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3589730Z,2026-02-24,2026-02-24 14:40:00,2026-02-24 14:55:00,long,25016.7500,25138.0000,0,121.2500,0.00,15.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3589730Z,2026-02-24,2026-02-24 14:55:00,2026-02-24 15:03:00,short,25138.0000,25070.2500,0,67.7500,0.00,8.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3589730Z,2026-02-24,2026-02-24 15:03:00,2026-02-24 15:15:00,long,25070.2500,25078.0000,0,7.7500,0.00,12.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3599742Z,2026-02-24,2026-02-24 15:15:00,2026-02-24 15:21:00,short,25078.0000,25118.2500,0,-40.2500,0.00,6.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3599742Z,2026-02-24,2026-02-24 15:21:00,2026-02-24 15:37:00,long,25118.2500,25208.2500,0,90.0000,0.00,16.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3609751Z,2026-02-24,2026-02-24 15:37:00,2026-02-24 15:45:00,short,25208.2500,25243.2500,0,-35.0000,0.00,8.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3609751Z,2026-02-24,2026-02-24 15:45:00,2026-02-24 15:56:00,long,25243.2500,25207.0000,0,-36.2500,0.00,11.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3609751Z,2026-02-24,2026-02-24 15:56:00,2026-02-24 16:04:00,short,25207.0000,25237.0000,0,-30.0000,0.00,8.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3619759Z,2026-02-24,2026-02-24 16:04:00,2026-02-24 16:22:00,long,25237.0000,25219.2500,0,-17.7500,0.00,18.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3619759Z,2026-02-24,2026-02-24 16:22:00,2026-02-24 16:42:00,short,25219.2500,25212.5000,0,6.7500,0.00,20.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3619759Z,2026-02-24,2026-02-24 16:42:00,2026-02-24 17:45:00,long,25212.5000,25259.2500,0,46.7500,0.00,63.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3631592Z,2026-02-24,2026-02-24 17:45:00,2026-02-24 18:04:00,short,25259.2500,25295.2500,0,-36.0000,0.00,19.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3631592Z,2026-02-24,2026-02-24 18:04:00,2026-02-24 18:15:00,long,25295.2500,25262.2500,0,-33.0000,0.00,11.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3641977Z,2026-02-24,2026-02-24 18:15:00,2026-02-24 18:39:00,short,25262.2500,25264.7500,0,-2.5000,0.00,24.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3641977Z,2026-02-24,2026-02-24 18:39:00,2026-02-24 19:12:00,long,25264.7500,25229.7500,0,-35.0000,0.00,33.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3641977Z,2026-02-24,2026-02-24 19:12:00,2026-02-24 19:43:00,short,25229.7500,25248.0000,0,-18.2500,0.00,31.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.3652103Z,2026-02-24,2026-02-24 19:43:00,2026-02-24 20:08:00,long,25248.0000,25231.7500,0,-16.2500,0.00,25.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.3652103Z,2026-02-24,2026-02-24 20:08:00,2026-02-24 20:56:00,short,25231.7500,25266.2500,0,-34.5000,0.00,48.00,FlipExitLong,EodExitShort
