close_time_utc,day,entry_time_utc,exit_time_utc,direction,entry_price,exit_price,qty,pnl_points,pnl_usd,held_minutes,entry_reason,exit_reason
2026-04-25T20:32:15.5008963Z,2026-02-24,2026-02-24 01:24:00,2026-02-24 01:47:00,long,25039.0000,25045.2500,1,6.2500,12.50,23.00,LongAtLowPivot,TrailStopLong
2026-04-25T20:32:15.5008963Z,2026-02-24,2026-02-24 01:47:00,2026-02-24 07:08:00,short,25045.2500,25074.0000,1,-28.7500,-57.50,321.00,ShortAtHighPivot,FlipExitShort
2026-04-25T20:32:15.5018970Z,2026-02-24,2026-02-24 07:08:00,2026-02-24 07:49:00,long,25074.0000,25050.0000,1,-24.0000,-48.00,41.00,LongAtLowPivot,FlipExitLong
2026-04-25T20:32:15.5018970Z,2026-02-24,2026-02-24 07:49:00,2026-02-24 08:05:00,short,25050.0000,25014.0000,1,36.0000,72.00,16.00,ShortAtHighPivot,TrailStopShort
2026-04-25T20:32:15.5030675Z,2026-02-24,2026-02-24 08:05:00,2026-02-24 08:37:00,long,25014.0000,24996.7500,1,-17.2500,-34.50,32.00,LongAtLowPivot,FlipExitLong
2026-04-25T20:32:15.5030675Z,2026-02-24,2026-02-24 08:37:00,2026-02-24 08:53:00,short,24996.7500,24978.2500,1,18.5000,37.00,16.00,ShortAtHighPivot,TrailStopShort
2026-04-25T20:32:15.5041922Z,2026-02-24,2026-02-24 08:53:00,2026-02-24 09:07:00,long,24978.2500,25020.0000,1,41.7500,83.50,14.00,LongAtLowPivot,TrailStopLong
2026-04-25T20:32:15.5041922Z,2026-02-24,2026-02-24 09:07:00,2026-02-24 09:47:00,short,25020.0000,25044.5000,1,-24.5000,-49.00,40.00,ShortAtHighPivot,FlipExitShort
2026-04-25T20:32:15.5052184Z,2026-02-24,2026-02-24 09:47:00,2026-02-24 10:09:00,long,25044.5000,25062.0000,1,17.5000,35.00,22.00,LongAtLowPivot,TrailStopLong
2026-04-25T20:32:15.5052184Z,2026-02-24,2026-02-24 10:09:00,2026-02-24 10:51:00,short,25062.0000,25047.5000,1,14.5000,29.00,42.00,ShortAtHighPivot,TrailStopShort
2026-04-25T20:32:15.5063597Z,2026-02-24,2026-02-24 10:51:00,2026-02-24 12:06:00,long,25047.5000,25088.0000,1,40.5000,81.00,75.00,LongAtLowPivot,TrailStopLong
2026-04-25T20:32:15.5063597Z,2026-02-24,2026-02-24 12:06:00,2026-02-24 12:29:00,short,25088.0000,25059.2500,1,28.7500,57.50,23.00,ShortAtHighPivot,TrailStopShort
2026-04-25T20:32:15.5077254Z,2026-02-24,2026-02-24 12:29:00,2026-02-24 13:28:00,long,25059.2500,25068.5000,1,9.2500,18.50,59.00,LongAtLowPivot,TrailStopLong
2026-04-25T20:32:15.5077254Z,2026-02-24,2026-02-24 13:28:00,2026-02-24 14:40:00,short,25068.5000,25016.5000,1,52.0000,104.00,72.00,ShortAtHighPivot,TrailStopShort
2026-04-25T20:32:15.5077254Z,2026-02-24,2026-02-24 14:40:00,2026-02-24 14:45:00,long,25016.5000,25086.7500,1,70.2500,140.50,5.00,LongAtLowPivot,TrailStopLong
2026-04-25T20:32:15.5087886Z,2026-02-24,2026-02-24 14:45:00,2026-02-24 15:03:00,short,25086.7500,25070.0000,1,16.7500,33.50,18.00,ShortAtHighPivot,TrailStopShort
2026-04-25T20:32:15.5087886Z,2026-02-24,2026-02-24 15:03:00,2026-02-24 15:09:00,long,25070.0000,25079.0000,1,9.0000,18.00,6.00,LongAtLowPivot,TrailStopLong
2026-04-25T20:32:15.5087886Z,2026-02-24,2026-02-24 15:09:00,2026-02-24 15:21:00,short,25079.0000,25118.0000,1,-39.0000,-78.00,12.00,ShortAtHighPivot,FlipExitShort
2026-04-25T20:32:15.5098811Z,2026-02-24,2026-02-24 15:21:00,2026-02-24 15:36:00,long,25118.0000,25226.7500,1,108.7500,217.50,15.00,LongAtLowPivot,TrailStopLong
2026-04-25T20:32:15.5098811Z,2026-02-24,2026-02-24 15:36:00,2026-02-24 15:38:00,short,25226.7500,25223.2500,1,3.5000,7.00,2.00,ShortAtHighPivot,TrailStopShort
2026-04-25T20:32:15.5108984Z,2026-02-24,2026-02-24 15:38:00,2026-02-24 15:46:00,long,25223.2500,25231.0000,1,7.7500,15.50,8.00,LongAtLowPivot,TrailStopLong
2026-04-25T20:32:15.5108984Z,2026-02-24,2026-02-24 15:46:00,2026-02-24 15:57:00,short,25231.0000,25210.0000,1,21.0000,42.00,11.00,ShortAtHighPivot,TrailStopShort
2026-04-25T20:32:15.5119094Z,2026-02-24,2026-02-24 15:57:00,2026-02-24 16:08:00,long,25210.0000,25230.5000,1,20.5000,41.00,11.00,LongAtLowPivot,TrailStopLong
2026-04-25T20:32:15.5119094Z,2026-02-24,2026-02-24 16:08:00,2026-02-24 16:25:00,short,25230.5000,25228.2500,1,2.2500,4.50,17.00,ShortAtHighPivot,TrailStopShort
2026-04-25T20:32:15.5119094Z,2026-02-24,2026-02-24 16:25:00,2026-02-24 16:54:00,long,25228.2500,25245.0000,1,16.7500,33.50,29.00,LongAtLowPivot,TrailStopLong
2026-04-25T20:32:15.5131419Z,2026-02-24,2026-02-24 16:54:00,2026-02-24 18:04:00,short,25245.0000,25295.0000,1,-50.0000,-100.00,70.00,ShortAtHighPivot,FlipExitShort
