**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,n,n_wins,sum_profits,sum_losses_abs,p_count,total_abs,p_dollar
2025_01_02,56,29,1240.5,1701.5,0.5178571428571429,2942.0,0.4216519374575119
2025_01_03,26,18,615.0,281.0,0.6923076923076923,896.0,0.6863839285714286
2025_01_06,18,10,261.0,554.5,0.5555555555555556,815.5,0.3200490496627836
2025_01_07,33,23,1195.5,543.5,0.696969696969697,1739.0,0.6874640598044853
2025_01_08,47,29,803.0,1063.0,0.6170212765957447,1866.0,0.4303322615219721
2025_01_09,12,6,196.5,271.5,0.5,468.0,0.4198717948717949
2025_01_10,33,24,878.0,500.5,0.7272727272727273,1378.5,0.636924192963366
2025_01_13,43,25,803.0,1052.0,0.5813953488372093,1855.0,0.43288409703504044
2025_01_14,30,23,956.0,371.5,0.7666666666666667,1327.5,0.72015065913371
2025_01_15,22,10,559.0,1120.5,0.45454545454545453,1679.5,0.33283715391485563
2025_01_16,29,20,634.0,539.5,0.6896551724137931,1173.5,0.5402641670217299
2025_01_17,18,14,321.5,275.0,0.7777777777777778,596.5,0.5389773679798826
2025_01_20,15,9,300.5,368.0,0.6,668.5,0.4495138369483919
2025_01_21,34,20,405.0,1073.5,0.5882352941176471,1478.5,0.27392627663172137
2025_01_22,14,9,299.5,360.5,0.6428571428571429,660.0,0.4537878787878788
2025_01_23,14,8,195.0,279.0,0.5714285714285714,474.0,0.41139240506329117
2025_01_24,17,10,168.5,297.0,0.5882352941176471,465.5,0.3619763694951665
2025_01_27,62,37,1979.0,1500.5,0.5967741935483871,3479.5,0.5687598792930019
2025_01_28,40,25,890.0,883.5,0.625,1773.5,0.5018325345362278
2025_01_29,41,16,623.0,1532.0,0.3902439024390244,2155.0,0.28909512761020884
2025_01_30,27,18,608.0,580.5,0.6666666666666666,1188.5,0.5115692048801009
2025_01_31,22,14,482.0,246.5,0.6363636363636364,728.5,0.6616334934797529
2025_02_03,60,30,1045.5,1719.5,0.5,2765.0,0.37811934900542493
2025_02_04,33,22,727.5,643.0,0.6666666666666666,1370.5,0.53082816490332
2025_02_05,17,11,203.5,385.5,0.6470588235294118,589.0,0.3455008488964346
2025_02_06,19,14,483.0,400.5,0.7368421052631579,883.5,0.5466893039049237
2025_02_07,34,17,889.0,1195.5,0.5,2084.5,0.4264811705444951
2025_02_10,14,8,130.5,247.0,0.5714285714285714,377.5,0.3456953642384106
2025_02_11,16,11,436.5,303.0,0.6875,739.5,0.59026369168357
2025_02_12,18,16,735.5,125.5,0.8888888888888888,861.0,0.854239256678281
2025_02_13,21,11,556.0,522.0,0.5238095238095238,1078.0,0.5157699443413729
2025_02_14,15,11,209.5,240.0,0.7333333333333333,449.5,0.4660734149054505
2025_02_17,5,4,74.5,46.5,0.8,121.0,0.6157024793388429
2025_02_18,19,11,233.5,374.0,0.5789473684210527,607.5,0.38436213991769547
2025_02_19,18,13,302.0,341.0,0.7222222222222222,643.0,0.46967340590979784
2025_02_20,24,14,567.5,605.0,0.5833333333333334,1172.5,0.4840085287846482
2025_02_21,26,13,508.0,889.0,0.5,1397.0,0.36363636363636365
2025_02_24,30,19,537.0,738.5,0.6333333333333333,1275.5,0.42101136809094475
2025_02_25,44,26,970.0,1196.5,0.5909090909090909,2166.5,0.4477267482114009
2025_02_26,35,16,616.0,1290.5,0.45714285714285713,1906.5,0.32310516653553634
2025_02_27,35,23,1277.0,708.0,0.6571428571428571,1985.0,0.6433249370277078
2025_02_28,54,33,1636.0,1229.0,0.6111111111111112,2865.0,0.5710296684118674
2025_03_03,61,34,1524.5,1715.0,0.5573770491803278,3239.5,0.47059731440037045
2025_03_04,84,39,1831.0,2662.5,0.4642857142857143,4493.5,0.40747746745298763
2025_03_05,80,45,1804.0,1834.0,0.5625,3638.0,0.4958768554150632
2025_03_06,59,38,1140.0,697.0,0.6440677966101694,1837.0,0.6205770277626566
2025_03_07,71,35,2096.5,2494.5,0.49295774647887325,4591.0,0.4566543236767589
2025_03_10,69,40,1593.0,1816.5,0.5797101449275363,3409.5,0.4672239331280246
2025_03_11,89,53,2963.0,2161.0,0.5955056179775281,5124.0,0.5782591725214676
2025_03_12,61,29,1359.0,2015.5,0.47540983606557374,3374.5,0.40272632982664097
2025_03_13,64,35,1259.5,1993.0,0.546875,3252.5,0.38724058416602614
2025_03_14,38,28,903.0,461.5,0.7368421052631579,1364.5,0.6617808721143276
2025_03_17,26,19,805.5,400.5,0.7307692307692307,1206.0,0.667910447761194
2025_03_18,34,20,495.5,619.5,0.5882352941176471,1115.0,0.4443946188340807
2025_03_19,33,21,616.5,858.5,0.6363636363636364,1475.0,0.41796610169491527
2025_03_20,35,23,719.0,653.5,0.6571428571428571,1372.5,0.5238615664845173
2025_03_21,13,10,403.0,142.5,0.7692307692307693,545.5,0.7387717690192483
2025_04_01,44,25,1046.0,1104.5,0.5681818181818182,2150.5,0.48639851197395956
2025_04_02,45,25,1907.0,1425.0,0.5555555555555556,3332.0,0.5723289315726291
