day,n,n_wins,sum_profits,sum_losses_abs,p_count,total_abs,p_dollar
2025_01_02,56,28,1227.5,1562.5,0.5,2790.0,0.4399641577060932
2025_01_03,26,18,615.0,268.0,0.6923076923076923,883.0,0.6964892412231031
2025_01_06,18,10,261.0,453.0,0.5555555555555556,714.0,0.36554621848739494
2025_01_07,33,22,1169.5,595.5,0.6666666666666666,1765.0,0.6626062322946176
2025_01_08,47,27,725.0,932.0,0.574468085106383,1657.0,0.4375377187688594
2025_01_09,12,6,196.5,261.0,0.5,457.5,0.42950819672131146
2025_01_10,33,24,878.0,433.0,0.7272727272727273,1311.0,0.669717772692601
2025_01_13,43,24,763.0,1033.0,0.5581395348837209,1796.0,0.42483296213808464
2025_01_14,30,23,956.0,367.0,0.7666666666666667,1323.0,0.7226001511715797
2025_01_15,22,10,559.0,631.0,0.45454545454545453,1190.0,0.46974789915966386
2025_01_16,29,19,621.5,515.0,0.6551724137931034,1136.5,0.546854377474703
2025_01_17,18,13,290.5,304.5,0.7222222222222222,595.0,0.48823529411764705
2025_01_20,15,9,300.5,370.5,0.6,671.0,0.44783904619970194
2025_01_21,34,19,373.5,830.0,0.5588235294117647,1203.5,0.3103448275862069
2025_01_22,14,8,266.0,368.0,0.5714285714285714,634.0,0.4195583596214511
2025_01_23,14,8,195.0,277.0,0.5714285714285714,472.0,0.413135593220339
2025_01_24,17,9,161.5,362.5,0.5294117647058824,524.0,0.30820610687022904
2025_01_27,62,32,1625.5,1662.5,0.5161290322580645,3288.0,0.4943734793187348
2025_01_28,40,23,748.0,868.5,0.575,1616.5,0.46272811630064953
2025_01_29,41,15,584.5,1396.0,0.36585365853658536,1980.5,0.2951274930573088
2025_01_30,27,16,547.0,578.5,0.5925925925925926,1125.5,0.48600621945801864
2025_01_31,22,12,329.0,453.5,0.5454545454545454,782.5,0.4204472843450479
2025_02_03,60,27,973.0,1676.5,0.45,2649.5,0.36723910171730517
2025_02_04,33,22,727.5,589.5,0.6666666666666666,1317.0,0.5523917995444191
2025_02_05,17,11,203.5,259.0,0.6470588235294118,462.5,0.44
2025_02_06,19,14,483.0,310.0,0.7368421052631579,793.0,0.6090794451450189
2025_02_07,34,15,835.0,959.5,0.4411764705882353,1794.5,0.4653106714962385
2025_02_10,14,7,118.0,304.0,0.5,422.0,0.2796208530805687
2025_02_11,16,11,437.0,302.0,0.6875,739.0,0.591339648173207
2025_02_12,18,16,735.5,124.0,0.8888888888888888,859.5,0.8557300756253636
2025_02_13,21,9,412.5,656.5,0.42857142857142855,1069.0,0.38587464920486436
2025_02_14,15,11,209.5,231.5,0.7333333333333333,441.0,0.47505668934240364
2025_02_17,5,4,74.5,46.5,0.8,121.0,0.6157024793388429
2025_02_18,19,11,233.5,363.0,0.5789473684210527,596.5,0.3914501257334451
2025_02_19,18,13,302.0,307.0,0.7222222222222222,609.0,0.49589490968801314
2025_02_20,24,12,540.0,665.5,0.5,1205.5,0.44794690999585235
2025_02_21,26,12,494.5,833.5,0.46153846153846156,1328.0,0.3723644578313253
2025_02_24,30,19,537.0,657.5,0.6333333333333333,1194.5,0.44956048555881123
2025_02_25,44,24,914.0,1182.5,0.5454545454545454,2096.5,0.43596470307655616
2025_02_26,35,14,503.0,1248.0,0.4,1751.0,0.2872644203312393
2025_02_27,35,21,1123.5,688.5,0.6,1812.0,0.6200331125827815
2025_02_28,54,30,1407.5,1233.0,0.5555555555555556,2640.5,0.5330429842832797
2025_03_03,61,34,1524.5,1479.5,0.5573770491803278,3004.0,0.5074900133155792
2025_03_04,84,37,1654.5,2403.0,0.44047619047619047,4057.5,0.4077634011090573
2025_03_05,80,43,1728.5,1839.0,0.5375,3567.5,0.48451296426068674
2025_03_06,59,36,1119.0,784.0,0.6101694915254238,1903.0,0.5880189174986863
2025_03_07,71,34,2075.0,2104.0,0.4788732394366197,4179.0,0.4965302703996171
2025_03_10,69,38,1560.0,1797.0,0.5507246376811594,3357.0,0.4647006255585344
2025_03_11,89,48,2525.5,2206.5,0.5393258426966292,4732.0,0.5337066779374472
2025_03_12,61,25,1173.5,1919.5,0.4098360655737705,3093.0,0.379405108309085
2025_03_13,64,35,1259.5,1685.5,0.546875,2945.0,0.4276740237691002
2025_03_14,38,24,636.0,753.0,0.631578947368421,1389.0,0.45788336933045354
2025_03_17,26,18,775.5,394.0,0.6923076923076923,1169.5,0.6631038905515177
2025_03_18,34,19,477.5,635.0,0.5588235294117647,1112.5,0.42921348314606744
2025_03_19,33,21,616.5,685.5,0.6363636363636364,1302.0,0.4735023041474654
2025_03_20,35,21,635.0,704.5,0.6,1339.5,0.4740574841358716
2025_03_21,13,10,403.0,142.5,0.7692307692307693,545.5,0.7387717690192483
2025_04_01,44,25,1046.0,978.0,0.5681818181818182,2024.0,0.516798418972332
2025_04_02,45,23,1741.0,1167.0,0.5111111111111111,2908.0,0.5986932599724897
2025_04_03,86,39,1343.0,2464.5,0.45348837209302323,3807.5,0.35272488509520683
2025_04_04,124,52,3828.5,4068.0,0.41935483870967744,7896.5,0.4848350535047173
2025_04_07,221,68,5633.5,8776.0,0.3076923076923077,14409.5,0.3909573545230577
2025_04_08,119,54,3288.0,3393.0,0.453781512605042,6681.0,0.4921418949259093
2025_04_09,182,81,7144.5,5661.5,0.44505494505494503,12806.0,0.5579025456817117
2025_04_10,149,59,4463.0,5130.0,0.3959731543624161,9593.0,0.46523506723652663
2025_04_11,162,54,2968.5,5404.5,0.3333333333333333,8373.0,0.3545324256538875
2025_04_14,67,33,1352.0,2026.5,0.4925373134328358,3378.5,0.4001775936066302
2025_04_15,66,35,1133.5,1582.0,0.5303030303030303,2715.5,0.41741852329221135
2025_04_16,55,34,1621.5,1160.5,0.6181818181818182,2782.0,0.5828540618260244
2025_04_17,64,30,1115.0,1876.5,0.46875,2991.5,0.37272271435734583
2025_04_21,34,20,889.5,688.0,0.5882352941176471,1577.5,0.5638668779714738
2025_04_22,36,20,863.5,858.0,0.5555555555555556,1721.5,0.5015974440894568
2025_04_23,60,32,1543.0,1549.5,0.5333333333333333,3092.5,0.49894907033144703
2025_04_24,40,26,711.0,809.0,0.65,1520.0,0.4677631578947368
2025_04_25,57,30,1059.0,1453.0,0.5263157894736842,2512.0,0.4215764331210191
2025_04_28,35,23,868.0,528.5,0.6571428571428571,1396.5,0.6215538847117794
2025_04_29,38,25,960.5,694.0,0.6578947368421053,1654.5,0.5805379268661227
2025_04_30,46,25,980.0,1058.0,0.5434782608695652,2038.0,0.48086359175662413
2025_05_01,39,20,720.0,1065.0,0.5128205128205128,1785.0,0.40336134453781514
2025_05_02,41,19,596.5,1008.0,0.4634146341463415,1604.5,0.3717669055780617
2025_05_05,21,10,231.5,413.5,0.47619047619047616,645.0,0.35891472868217056
2025_05_06,37,24,643.5,714.0,0.6486486486486487,1357.5,0.4740331491712707
2025_05_07,47,27,1436.0,940.0,0.574468085106383,2376.0,0.6043771043771043
2025_05_08,31,19,725.0,684.5,0.6129032258064516,1409.5,0.5143667967364314
2025_05_09,31,16,462.5,740.0,0.5161290322580645,1202.5,0.38461538461538464
2025_05_12,40,25,736.0,783.5,0.625,1519.5,0.48436985850608755
2025_05_13,21,11,255.5,459.0,0.5238095238095238,714.5,0.357592722183345
2025_05_14,26,12,419.5,815.5,0.46153846153846156,1235.0,0.3396761133603239
2025_05_15,28,19,343.0,352.5,0.6785714285714286,695.5,0.4931703810208483
2025_05_16,22,13,267.5,558.0,0.5909090909090909,825.5,0.32404603270745
2025_05_19,31,23,638.5,385.0,0.7419354838709677,1023.5,0.6238397655105031
2025_05_20,24,16,486.5,402.0,0.6666666666666666,888.5,0.5475520540236354
2025_05_21,33,15,482.0,921.5,0.45454545454545453,1403.5,0.3434271464196651
2025_05_22,40,19,813.0,1181.0,0.475,1994.0,0.40772316950852555
2025_05_23,57,31,946.5,1410.5,0.543859649122807,2357.0,0.40156979210861266
2025_05_26,11,6,101.0,299.5,0.5454545454545454,400.5,0.25218476903870163
2025_05_27,16,11,294.5,231.5,0.6875,526.0,0.5598859315589354
2025_05_28,16,11,367.5,248.5,0.6875,616.0,0.5965909090909091
2025_05_29,38,22,811.0,759.0,0.5789473684210527,1570.0,0.5165605095541401
2025_05_30,48,24,774.5,1381.5,0.5,2156.0,0.3592300556586271
2025_06_02,26,18,672.5,438.5,0.6923076923076923,1111.0,0.6053105310531053
2025_06_03,17,10,258.0,211.0,0.5882352941176471,469.0,0.5501066098081023
2025_06_04,14,8,224.0,294.0,0.5714285714285714,518.0,0.43243243243243246
2025_06_05,35,17,776.0,828.0,0.4857142857142857,1604.0,0.4837905236907731
2025_06_06,19,12,359.0,385.0,0.631578947368421,744.0,0.4825268817204301
2025_06_09,13,6,147.5,385.5,0.46153846153846156,533.0,0.2767354596622889
2025_06_10,23,15,576.5,481.5,0.6521739130434783,1058.0,0.5448960302457467
2025_06_11,26,13,453.5,661.5,0.5,1115.0,0.4067264573991031
2025_06_12,22,12,307.5,613.5,0.5454545454545454,921.0,0.3338762214983713
2025_06_13,50,24,973.0,1250.0,0.48,2223.0,0.43769680611785877
2025_06_16,13,7,115.0,282.0,0.5384615384615384,397.0,0.28967254408060455
2025_06_17,34,19,380.0,843.0,0.5588235294117647,1223.0,0.3107113654946852
2025_06_18,35,20,729.5,718.0,0.5714285714285714,1447.5,0.5039723661485319
2025_06_19,22,12,336.5,492.5,0.5454545454545454,829.0,0.4059107358262967
2025_06_20,6,4,114.5,105.5,0.6666666666666666,220.0,0.5204545454545455
2025_07_01,25,13,643.0,713.0,0.52,1356.0,0.474188790560472
2025_07_02,12,5,105.5,393.0,0.4166666666666667,498.5,0.21163490471414242
2025_07_03,8,5,79.0,69.0,0.625,148.0,0.5337837837837838
2025_07_04,9,5,79.5,228.5,0.5555555555555556,308.0,0.25811688311688313
2025_07_07,29,13,496.5,724.0,0.4482758620689655,1220.5,0.40680049160180254
2025_07_08,21,15,369.0,302.0,0.7142857142857143,671.0,0.5499254843517138
2025_07_09,16,6,277.5,562.0,0.375,839.5,0.33055390113162597
2025_07_10,17,7,147.0,456.0,0.4117647058823529,603.0,0.24378109452736318
2025_07_11,25,17,467.5,458.0,0.68,925.5,0.5051323608860075
2025_07_14,9,7,228.0,55.0,0.7777777777777778,283.0,0.8056537102473498
2025_07_15,20,14,570.0,365.5,0.7,935.5,0.6092998396579369
2025_07_16,33,14,680.0,1139.5,0.42424242424242425,1819.5,0.37372904644133004
2025_07_17,13,9,173.0,184.5,0.6923076923076923,357.5,0.48391608391608393
2025_07_18,13,4,88.5,546.5,0.3076923076923077,635.0,0.13937007874015747
2025_07_21,6,5,187.0,2.0,0.8333333333333334,189.0,0.9894179894179894
2025_07_22,17,11,275.0,250.0,0.6470588235294118,525.0,0.5238095238095238
2025_07_23,23,11,209.5,583.0,0.4782608695652174,792.5,0.2643533123028391
2025_07_24,16,11,256.5,310.0,0.6875,566.5,0.4527802294792586
2025_07_25,6,4,88.5,111.0,0.6666666666666666,199.5,0.44360902255639095
2025_07_28,11,8,205.5,186.0,0.7272727272727273,391.5,0.524904214559387
2025_07_29,17,9,417.0,338.0,0.5294117647058824,755.0,0.552317880794702
2025_07_30,21,11,188.5,507.5,0.5238095238095238,696.0,0.2708333333333333
