**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

entry_index,exit_index,entry_price,exit_price,direction,pnl_ticks,pnl_dollars,hold_bars,label,entry_type,exit_type,timestamp,F_momentum,F_reversion,z_score,sigma,velocity,hurst,adx,dmi_plus,dmi_minus,dmi_diff,P_center,entropy,coherence,tunnel_prob,term_pid,volume_delta,net_force
15,20,21311.25,21287.0,SHORT,97.0,48.5,5,REAL,HIGH,LOW,1735773300.0,0.0,-0.0,0.0,0.0,0.0,0.5,0.0,36.556842460362084,9.79422017316991,26.762622287192173,1.0,1.0,1.0,1.0,0.0,81.0,0.0
20,30,21287.0,21306.0,LONG,76.0,38.0,10,REAL,LOW,HIGH,1735773600.0,-64.75977020726793,8.498917748916938,-1.2988506440833787,13.08682840114349,-7.5,0.5,0.0,28.89800390198158,20.477502160086953,8.420501741894626,0.3536055322053006,0.6114363192513574,0.6325656166020399,0.9497470381722951,-0.9153804539254289,-113.0,-53.44150758211294
30,38,21306.0,21250.25,SHORT,223.0,111.5,8,REAL,HIGH,LOW,1735774200.0,132.39490498138886,-4.08766233766255,1.711259025425566,4.777374175304649,5.75,0.5,29.636588328835376,30.67329597122012,18.045020206344137,12.628275764875983,0.19410061990243896,0.4540631968284932,0.5579667807767642,0.9127318289880507,1.0227559659865701,110.0,98.95825453046514
38,59,21250.25,21269.5,LONG,77.0,38.5,21,REAL,LOW,HIGH,1735774680.0,-660.9194588322284,11.272727272726115,-2.65007863008437,8.50746626515548,-15.75,0.5,25.406010028860774,16.122540628932658,42.423808230104676,-26.301267601172018,0.03556494036670216,0.14005142904839965,0.5130143083481956,0.5596540602829199,-1.4866094580130185,-357.0,-646.1345667020631
59,78,21269.5,21121.75,SHORT,591.0,295.5,19,REAL,HIGH,LOW,1735775940.0,5.034514979105161,-2.475649350648382,0.7553753781121967,6.554752570398638,1.0,0.5,25.573039297023428,20.06262754741714,21.241046508284278,-1.1784189608671376,0.6086571827828738,0.6762214364477263,0.8452093145085545,0.9764408180741635,0.3837837006825071,33.0,2.04287937189054
78,85,21121.75,21163.75,LONG,168.0,84.0,7,REAL,LOW,HIGH,1735777080.0,358.0093401024759,12.909090909090082,-1.661839308768864,15.535907522434872,6.75,0.5,51.00011303665847,5.251456566792937,55.044644438341095,-49.793187871548156,0.2099917369286286,0.4749398173940433,0.3969954979948291,0.9185238765977155,-0.5697721555708914,824.0,391.46514951559425
85,90,21163.75,21133.0,SHORT,123.0,61.5,5,REAL,HIGH,LOW,1735777500.0,69.14794657829891,-13.43777056277031,1.602059036217033,16.775624691710647,7.25,0.5,56.698956986249996,12.739616715167276,38.100555762556226,-25.36093904738895,0.2304513060476005,0.4999047571057439,0.5977898975898068,0.9249243463813027,0.8896176358160808,160.0,42.014686731221346
90,106,21133.0,21240.0,LONG,428.0,214.0,16,REAL,LOW,HIGH,1735777800.0,-67.78041543667044,-4.438852813853373,0.4815802925733736,18.434528498389785,-5.25,0.5,56.73958919953929,9.340741152756,40.34084745801001,-31.00010630525401,0.7111217454783931,0.6473549296047144,0.7104018837812444,0.9858480936233512,0.1803045515035653,-238.0,-72.50409825625998
106,118,21240.0,21226.5,SHORT,54.0,27.0,12,REAL,HIGH,LOW,1735778760.0,546.2496026227776,-8.073051948053035,1.688970286701268,9.55973235481902,14.0,0.8566270177307901,32.99581253496854,43.46000044951042,15.861138109554776,27.59886233995564,0.2011529542612758,0.46349446704959785,0.8074061835922499,0.9154039649563624,0.9648948033477096,373.0,513.2319610418504
118,126,21226.5,21282.75,LONG,225.0,112.5,8,REAL,LOW,HIGH,1735779480.0,-41.055914521003054,8.842532467531782,-1.7144663855309519,10.315200743691857,-2.75,0.6418660551587522,35.7650556978866,32.25675910150341,19.76744801142126,12.489311090082154,0.1931012747430894,0.45270477049192764,0.6778433467532003,0.912338881643675,-0.8519474441557564,-154.0,-2.1647607827503386
