**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,n_1m_bars,session_range_pts,p90_bar_range_pts,mean_bar_range_pts,median_bar_range_pts,realized_vol_pts,max_1m_move_pts,max_drawdown_pts,ts,dow
2025_01_01,60,76.25,15.150000000000006,9.075,8.125,6.492866724285912,18.0,67.0,1735689600.0,Wednesday
2025_01_02,1380,507.5,26.5,12.497826086956522,9.0,9.319754036597644,56.5,489.75,1735776000.0,Thursday
2025_01_03,1320,406.0,14.275000000000034,7.943560606060606,6.0,6.0499993467089395,63.5,155.25,1735862400.0,Friday
2025_01_05,60,41.0,9.525,6.454166666666667,5.625,3.582215519260279,8.25,31.25,1736035200.0,Sunday
2025_01_06,1380,418.25,15.5,8.009963768115941,6.0,5.803385453520483,57.5,236.75,1736121600.0,Monday
2025_01_07,1380,526.75,20.525000000000034,9.132608695652173,6.25,7.16831274905551,58.25,510.5,1736208000.0,Tuesday
2025_01_08,1380,282.25,23.25,10.726630434782608,6.75,8.4105908994348,57.25,265.25,1736294400.0,Wednesday
2025_01_09,930,135.5,9.75,5.751344086021505,5.0,3.8383816944499083,17.0,123.5,1736380800.0,Thursday
2025_01_10,1320,497.75,23.275000000000034,11.318939393939393,8.0,9.444829180312167,149.5,478.25,1736467200.0,Friday
2025_01_12,60,86.0,17.400000000000002,10.4125,7.75,6.138466178205349,17.5,46.75,1736640000.0,Sunday
2025_01_13,1380,395.25,19.0,10.619202898550725,9.0,7.272715375210635,58.5,336.25,1736726400.0,Monday
2025_01_14,1380,370.5,19.025000000000034,9.473188405797101,7.0,8.091726417807841,154.25,359.75,1736812800.0,Tuesday
2025_01_15,1380,544.0,15.75,7.2,4.75,7.5037980378930245,182.75,155.5,1736899200.0,Wednesday
2025_01_16,1380,395.0,17.0,8.857065217391304,7.0,6.323840037027485,41.75,386.5,1736985600.0,Thursday
2025_01_17,1320,453.25,14.5,7.4996212121212125,5.5,5.64530272377055,47.0,169.0,1737072000.0,Friday
2025_01_19,60,91.5,15.3,9.229166666666666,7.25,6.388498489946375,26.5,80.75,1737244800.0,Sunday
2025_01_20,1140,244.5,12.5,6.501973684210526,5.0,4.646031969690066,45.75,121.25,1737331200.0,Monday
2025_01_21,1380,449.75,17.5,9.37445652173913,7.0,7.499470215154969,64.75,298.0,1737417600.0,Tuesday
2025_01_22,1380,289.75,9.75,5.5097826086956525,4.5,3.849962081605691,39.25,129.75,1737504000.0,Wednesday
2025_01_23,1380,195.75,9.775000000000034,5.553442028985507,4.75,3.929028217996702,28.5,109.0,1737590400.0,Thursday
2025_01_24,1320,234.75,11.5,6.058901515151515,5.0,4.285965305248737,23.25,224.75,1737676800.0,Friday
2025_01_26,60,141.75,20.8,13.404166666666667,10.5,6.81209139681098,23.5,74.25,1737849600.0,Sunday
2025_01_27,1380,909.5,27.0,15.171376811594202,13.5,10.685467019296645,81.0,889.75,1737936000.0,Monday
2025_01_28,1380,465.25,16.025000000000034,9.402173913043478,8.0,6.895676481789295,54.25,256.5,1738022400.0,Tuesday
2025_01_29,1380,329.25,23.5,10.6125,7.0,8.864491955753145,63.0,313.75,1738108800.0,Wednesday
2025_01_30,1380,329.75,19.0,9.105434782608695,6.5,7.377683263871873,82.0,317.75,1738195200.0,Thursday
2025_01_31,1320,434.25,21.25,9.181818181818182,6.25,7.114285158464199,47.75,427.25,1738281600.0,Friday
2025_02_02,60,340.0,43.525000000000006,30.220833333333335,18.875,15.77297028136097,63.5,77.5,1738454400.0,Sunday
2025_02_03,1380,624.5,24.775000000000034,13.889311594202898,11.5,10.226222344308432,83.75,192.0,1738540800.0,Monday
2025_02_04,1380,454.0,16.75,9.891123188405798,8.125,7.083615761529756,47.5,323.0,1738627200.0,Tuesday
2025_02_05,1380,366.5,13.75,7.469746376811594,6.0,5.156678372927142,52.0,179.75,1738713600.0,Wednesday
2025_02_06,1380,176.0,12.775000000000034,6.806521739130435,5.5,5.5030374701272455,68.75,127.5,1738800000.0,Thursday
2025_02_07,1320,414.75,19.5,8.652083333333334,4.625,7.95481242385348,143.75,401.75,1738886400.0,Friday
2025_02_09,60,241.5,19.025,12.366666666666667,9.5,6.694968890581113,29.0,24.75,1739059200.0,Sunday
2025_02_10,1380,251.75,10.0,5.689492753623188,4.75,3.8944601256765483,21.75,108.5,1739145600.0,Monday
