**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

R_pts,n_days_is,n_days_oos,total_legs,legs_per_day,theo_is_per_day_usd,theo_oos_per_day_usd,theo_is_day_wr_pct,theo_oos_day_wr_pct,real_is_per_day_usd,real_oos_per_day_usd,real_is_day_wr_pct,real_oos_day_wr_pct,real_is_trade_wr_pct,real_oos_trade_wr_pct,real_median_trade_usd,confirm_tf_seconds
10.0,277,68,43300,125.5072463768116,2877.2960288808663,3461.051470588235,97.47292418772562,100.0,-331.3184793751382,-632.3112452122588,24.90974729241877,14.705882352941178,33.866085482503934,32.98018442220914,-15.24688795347538,0
20.0,269,68,19618,58.21364985163205,1517.3661710037175,1640.3308823529412,92.56505576208178,92.64705882352942,-199.68583369305324,-355.2345402743008,33.82899628252788,32.35294117647059,34.42106673813991,33.39747701518067,-23.622115423677315,0
30.0,261,64,11164,34.35076923076923,986.0842911877395,1059.1015625,80.07662835249042,92.1875,-132.0137037013833,-224.02291775114156,37.16475095785441,34.375,35.04924953095685,34.30962343096235,-30.800693088363914,0
50.0,242,61,5021,16.57095709570957,527.6838842975206,494.91803278688525,71.07438016528926,85.24590163934425,-108.33795025357772,-219.163008923652,37.60330578512397,32.78688524590164,34.98178032274857,32.76740237691001,-51.59548506286956,0
