day,entry_ts,entry_price,exit_ts,exit_price,direction,pnl_pts,pnl_usd,mfe_pts,mae_pts,peak_close_pts,leg_min,exit_reason
2026_03_20,1773992070,24365.0,1773992692,24385.0,-1,-20.0,-42.0,7.25,20.25,5.25,10.366666666666667,sl
2026_03_20,1773993966,24378.5,1773994680,24389.0,1,10.5,19.0,19.0,-0.0,17.25,11.9,trail
2026_03_20,1773994987,24377.5,1773995469,24356.0,-1,21.5,41.0,37.0,-0.0,32.25,8.033333333333333,trail
2026_03_20,1773995536,24365.0,1773995594,24345.0,1,-20.0,-42.0,7.75,22.5,1.75,0.9666666666666667,sl
2026_03_20,1773997028,24358.0,1773997339,24351.5,-1,6.5,11.0,19.5,2.0,18.25,5.183333333333334,trail
2026_03_20,1774000446,24208.5,1774000869,24202.0,1,-6.5,-15.0,18.0,13.0,10.5,7.05,trail
2026_03_20,1774002329,24134.5,1774002399,24154.5,-1,-20.0,-42.0,0.0,20.5,0.0,1.1666666666666667,sl
2026_03_20,1774009642,24250.5,1774009865,24261.25,1,10.75,19.5,37.5,6.75,31.25,3.716666666666667,trail
2026_03_20,1774012923,24275.5,1774013102,24295.5,-1,-20.0,-42.0,5.25,24.5,5.25,2.9833333333333334,sl
