day,entry_ts,entry_price,exit_ts,exit_price,direction,pnl_pts,pnl_usd,mfe_pts,mae_pts,leg_min,exit_reason
2026_04_22,1776846841,26793.75,1776847320,26789.0,-1,4.75,7.5,13.25,5.0,7.983333333333333,trail
2026_04_22,1776848041,26813.0,1776849060,26840.0,1,27.0,52.0,35.25,1.5,16.983333333333334,trail
2026_04_22,1776851701,26827.0,1776851880,26823.75,-1,3.25,4.5,18.75,1.5,2.9833333333333334,trail
2026_04_22,1776853921,26839.75,1776854515,26829.75,1,-10.0,-22.0,9.5,10.0,9.9,sl
2026_04_22,1776857101,26813.25,1776857411,26823.25,-1,-10.0,-22.0,2.25,10.25,5.166666666666667,sl
2026_04_22,1776859261,26842.0,1776859800,26867.25,1,25.25,48.5,30.25,1.5,8.983333333333333,trail
2026_04_22,1776861061,26861.5,1776861247,26871.5,-1,-10.0,-22.0,3.0,15.5,3.1,sl
2026_04_22,1776864001,26866.5,1776864012,26856.5,1,-10.0,-22.0,6.5,14.25,0.18333333333333332,sl
2026_04_22,1776864781,26838.75,1776865020,26832.0,-1,6.75,11.5,22.75,6.75,3.9833333333333334,trail
2026_04_22,1776865561,26863.25,1776865702,26853.25,1,-10.0,-22.0,13.5,12.0,2.35,sl
2026_04_22,1776865741,26837.25,1776865967,26847.25,-1,-10.0,-22.0,23.25,10.5,3.7666666666666666,sl
2026_04_22,1776866101,26863.75,1776866153,26853.75,1,-10.0,-22.0,0.25,10.0,0.8666666666666667,sl
2026_04_22,1776866761,26858.0,1776866787,26868.0,-1,-10.0,-22.0,4.25,10.25,0.43333333333333335,sl
2026_04_22,1776866881,26901.25,1776866914,26891.25,1,-10.0,-22.0,0.25,10.0,0.55,sl
2026_04_22,1776868561,26950.25,1776868565,26960.25,-1,-10.0,-22.0,2.5,12.25,0.06666666666666667,sl
2026_04_22,1776868681,26983.25,1776868920,26985.75,1,2.5,3.0,22.5,9.0,3.9833333333333334,trail
2026_04_22,1776869041,26964.0,1776869079,26974.0,-1,-10.0,-22.0,0.0,13.25,0.6333333333333333,sl
2026_04_22,1776870541,26978.5,1776870557,26968.5,1,-10.0,-22.0,2.0,10.5,0.26666666666666666,sl
2026_04_22,1776872701,26969.0,1776872766,26979.0,-1,-10.0,-22.0,5.5,10.25,1.0833333333333333,sl
2026_04_22,1776873421,26999.5,1776873480,26989.5,1,-10.0,-22.0,0.75,11.5,0.9833333333333333,sl
2026_04_22,1776875461,26969.75,1776875500,26979.75,-1,-10.0,-22.0,0.25,10.5,0.65,sl
2026_04_22,1776877441,26995.75,1776878040,27019.0,1,23.25,44.5,39.25,6.25,9.983333333333333,trail
2026_04_22,1776881821,27014.75,1776882300,27007.25,-1,7.5,13.0,21.5,6.75,7.983333333333333,trail
2026_04_22,1776883561,27027.75,1776884100,27029.0,1,1.25,0.5,12.0,2.5,8.983333333333333,trail
2026_04_22,1776884461,26992.75,1776884747,27002.75,-1,-10.0,-22.0,13.75,11.25,4.766666666666667,sl
2026_04_22,1776885001,27024.25,1776885780,27043.75,1,19.5,37.0,31.5,9.5,12.983333333333333,trail
2026_04_22,1776889381,27095.25,1776889565,27105.25,-1,-10.0,-22.0,1.0,10.5,3.066666666666667,sl
2026_04_22,1776903481,26910.75,1776903492,26900.75,1,-10.0,-22.0,4.25,17.5,0.18333333333333332,sl
2026_04_22,1776903901,27006.0,1776903917,27016.0,-1,-10.0,-22.0,0.0,11.5,0.26666666666666666,sl
2026_04_22,1776904141,27042.0,1776904320,27048.25,1,6.25,10.5,28.0,4.25,2.9833333333333334,trail
2026_04_22,1776906781,27029.5,1776908400,27011.75,-1,17.75,33.5,26.25,9.5,26.983333333333334,trail
2026_04_22,1776910981,26988.5,1776911004,26978.5,1,-10.0,-22.0,2.25,11.25,0.38333333333333336,sl
2026_04_22,1776911881,26960.75,1776912776,26970.75,-1,-10.0,-22.0,12.5,10.0,14.916666666666666,sl
2026_04_22,1776916381,26906.0,1776916547,26896.0,1,-10.0,-22.0,2.5,13.5,2.7666666666666666,sl
