day,n,n_wins,sum_profits,sum_losses_abs,p_count,total_abs,p_dollar
2025_01_02,56,12,517.5,948.5,0.21428571428571427,1466.0,0.3530013642564802
2025_01_03,26,17,596.0,198.0,0.6538461538461539,794.0,0.7506297229219143
2025_01_06,18,6,137.0,264.0,0.3333333333333333,401.0,0.341645885286783
2025_01_07,33,14,521.0,400.5,0.42424242424242425,921.5,0.5653825284861639
2025_01_08,47,15,366.0,661.5,0.3191489361702128,1027.5,0.3562043795620438
2025_01_09,12,5,178.5,154.0,0.4166666666666667,332.5,0.5368421052631579
2025_01_10,33,12,410.5,462.0,0.36363636363636365,872.5,0.47048710601719196
2025_01_13,43,17,618.0,551.5,0.3953488372093023,1169.5,0.5284309533988885
2025_01_14,30,11,313.0,418.0,0.36666666666666664,731.0,0.42818057455540354
2025_01_15,22,3,170.0,418.0,0.13636363636363635,588.0,0.2891156462585034
2025_01_16,29,10,345.5,400.0,0.3448275862068966,745.5,0.46344735077129445
2025_01_17,18,6,177.5,264.0,0.3333333333333333,441.5,0.40203850509626277
2025_01_20,15,6,219.5,198.0,0.4,417.5,0.525748502994012
2025_01_21,34,10,214.0,509.0,0.29411764705882354,723.0,0.2959889349930844
2025_01_22,14,4,116.0,220.0,0.2857142857142857,336.0,0.34523809523809523
2025_01_23,14,3,66.5,242.0,0.21428571428571427,308.5,0.21555915721231766
2025_01_24,17,5,85.0,243.0,0.29411764705882354,328.0,0.25914634146341464
2025_01_27,62,17,1209.0,977.0,0.27419354838709675,2186.0,0.5530649588289113
2025_01_28,40,17,464.0,479.5,0.425,943.5,0.4917859035506094
2025_01_29,41,11,417.0,624.0,0.2682926829268293,1041.0,0.40057636887608067
2025_01_30,27,10,292.5,350.5,0.37037037037037035,643.0,0.4548989113530327
2025_01_31,22,8,219.5,274.5,0.36363636363636365,494.0,0.444331983805668
2025_02_03,60,9,203.0,1036.5,0.15,1239.5,0.16377571601452198
2025_02_04,33,7,173.5,561.5,0.21212121212121213,735.0,0.23605442176870747
2025_02_05,17,7,146.0,187.0,0.4117647058823529,333.0,0.43843843843843844
2025_02_06,19,7,265.5,264.0,0.3684210526315789,529.5,0.5014164305949008
2025_02_07,34,9,491.0,550.0,0.2647058823529412,1041.0,0.47166186359269935
2025_02_10,14,5,87.0,190.0,0.35714285714285715,277.0,0.3140794223826715
2025_02_11,16,5,153.5,242.0,0.3125,395.5,0.38811630847029077
2025_02_12,18,8,428.0,220.0,0.4444444444444444,648.0,0.6604938271604939
2025_02_13,21,8,371.0,286.0,0.38095238095238093,657.0,0.5646879756468798
2025_02_14,15,9,179.0,132.0,0.6,311.0,0.5755627009646302
2025_02_17,5,3,38.5,44.0,0.6,82.5,0.4666666666666667
2025_02_18,19,6,141.5,264.5,0.3157894736842105,406.0,0.3485221674876847
2025_02_19,18,7,137.5,242.0,0.3888888888888889,379.5,0.36231884057971014
2025_02_20,24,8,409.0,339.5,0.3333333333333333,748.5,0.5464261857047428
2025_02_21,26,5,160.0,462.0,0.19230769230769232,622.0,0.2572347266881029
