Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
4/24/2026 1:29 AM,1,$112.50,$112.50,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$43.50,$203.00,$90.50,n/a,
4/24/2026 2:47 AM,2,$96.50,($16.00),n/a,n/a,$0.00,($16.00),($16.00),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$16.00,$91.00,$107.00,n/a,
4/24/2026 4:36 AM,3,$510.50,$414.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$36.00,$497.50,$83.50,n/a,
4/24/2026 5:15 AM,4,$557.00,$46.50,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$16.50,$117.00,$70.50,n/a,
4/24/2026 5:22 AM,5,$510.00,($47.00),n/a,n/a,$0.00,($47.00),($47.00),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$62.50,$22.50,$69.50,n/a,
4/24/2026 5:59 AM,6,$592.00,$82.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$51.00,$150.50,$68.50,n/a,
4/24/2026 6:26 AM,7,$561.50,($30.50),n/a,n/a,$0.00,($30.50),($30.50),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$32.00,$62.00,$92.50,n/a,
4/24/2026 6:34 AM,8,$557.50,($4.00),n/a,n/a,$0.00,($34.50),($4.00),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$33.00,$90.50,$94.50,n/a,
4/24/2026 6:44 AM,9,$533.00,($24.50),n/a,n/a,$0.00,($59.00),($24.50),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$53.00,$72.00,$96.50,n/a,
4/24/2026 7:00 AM,10,$589.00,$56.00,n/a,n/a,$0.00,($3.00),$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$85.50,$164.00,$108.00,n/a,
4/24/2026 7:19 AM,11,$673.00,$84.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$61.00,$162.50,$78.50,n/a,
4/24/2026 7:37 AM,12,$715.50,$42.50,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$59.00,$123.00,$80.50,n/a,
4/24/2026 7:49 AM,13,$773.00,$57.50,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$49.50,$144.50,$87.00,n/a,
4/24/2026 7:53 AM,14,$697.50,($75.50),n/a,n/a,$0.00,($75.50),($75.50),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$85.50,$13.00,$88.50,n/a,
4/24/2026 9:08 AM,15,$894.50,$197.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$25.00,$287.50,$90.50,n/a,
4/24/2026 9:14 AM,16,$840.00,($54.50),n/a,n/a,$0.00,($54.50),($54.50),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$57.00,$27.00,$81.50,n/a,
4/24/2026 9:16 AM,17,$778.00,($62.00),n/a,n/a,$0.00,($116.50),($62.00),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$67.50,$1.00,$63.00,n/a,
4/24/2026 9:25 AM,18,$719.50,($58.50),n/a,n/a,$0.00,($175.00),($58.50),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$60.00,$1.50,$60.00,n/a,
4/24/2026 9:43 AM,19,$705.00,($14.50),n/a,n/a,$0.00,($189.50),($14.50),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$18.50,$65.50,$80.00,n/a,
4/24/2026 10:01 AM,20,$652.00,($53.00),n/a,n/a,$0.00,($242.50),($53.00),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$59.50,$29.00,$82.00,n/a,
4/24/2026 10:22 AM,21,$576.00,($76.00),n/a,n/a,$0.00,($318.50),($76.00),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$76.00,$9.00,$85.00,n/a,
4/24/2026 10:36 AM,22,$528.00,($48.00),n/a,n/a,$0.00,($366.50),($48.00),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$59.50,$27.00,$75.00,n/a,
4/24/2026 11:06 AM,23,$532.50,$4.50,n/a,n/a,$0.00,($362.00),$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$24.00,$115.50,$111.00,n/a,
4/24/2026 11:41 AM,24,$509.00,($23.50),n/a,n/a,$0.00,($385.50),($23.50),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$39.50,$47.00,$70.50,n/a,
4/24/2026 12:31 PM,25,$509.00,$0.00,n/a,n/a,$0.00,($385.50),$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$54.00,$70.50,$70.50,n/a,
4/24/2026 12:55 PM,26,$461.00,($48.00),n/a,n/a,$0.00,($433.50),($48.00),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$54.50,$30.50,$78.50,n/a,
4/24/2026 1:55 PM,27,$455.50,($5.50),n/a,n/a,$0.00,($439.00),($5.50),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$69.50,$7.00,$12.50,n/a,
