Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Short,1,30597.00,30648.25,6/22/2026 8:40:00 AM,6/22/2026 8:43:00 AM,Short,X_CatastrophicStop,($102.50),($102.50),$0.00,$0.00,$0.00,$0.00,$0.00,$110.50,$12.50,$115.00,4,
2,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Short,1,30669.25,30662.00,6/22/2026 2:00:00 PM,6/22/2026 2:00:00 PM,Short,Exit on session close,$14.50,($88.00),$0.00,$0.00,$0.00,$0.00,$0.00,$6.50,$17.50,$3.00,1,
3,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,30667.75,30619.75,6/22/2026 3:07:00 PM,6/22/2026 3:34:00 PM,Long,X_CatastrophicStop,($96.00),($184.00),$0.00,$0.00,$0.00,$0.00,$0.00,$104.50,$17.50,$113.50,28,
4,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,29712.50,29641.00,6/23/2026 8:41:00 AM,6/23/2026 11:44:00 AM,Long,X_CatastrophicStop,($143.00),($327.00),$0.00,$0.00,$0.00,$0.00,$0.00,$145.00,$406.00,$549.00,184,
5,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Short,1,29617.25,29681.00,6/23/2026 11:50:00 AM,6/23/2026 12:03:00 PM,Short,X_CatastrophicStop,($127.50),($454.50),$0.00,$0.00,$0.00,$0.00,$0.00,$131.00,$80.00,$207.50,14,
6,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Short,1,29729.50,29750.25,6/23/2026 1:46:00 PM,6/23/2026 2:00:00 PM,Short,Exit on session close,($41.50),($496.00),$0.00,$0.00,$0.00,$0.00,$0.00,$56.00,$27.50,$69.00,15,
7,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Short,1,29744.00,29789.50,6/24/2026 8:46:00 AM,6/24/2026 8:53:00 AM,Short,X_CatastrophicStop,($91.00),($587.00),$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$89.50,$180.50,8,
8,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Short,1,29456.50,29510.25,6/24/2026 10:26:00 AM,6/24/2026 11:21:00 AM,Short,X_CatastrophicStop,($107.50),($694.50),$0.00,$0.00,$0.00,$0.00,$0.00,$126.50,$183.50,$291.00,56,
9,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,29873.00,30099.00,6/24/2026 1:10:00 PM,6/24/2026 2:00:00 PM,Long,Exit on session close,$452.00,($242.50),$0.00,$0.00,$0.00,$0.00,$0.00,$88.50,$571.50,$119.50,51,
10,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,29700.50,29671.75,6/25/2026 8:50:00 AM,6/25/2026 9:02:00 AM,Long,X_CatastrophicStop,($57.50),($300.00),$0.00,$0.00,$0.00,$0.00,$0.00,$110.00,$28.00,$85.50,13,
11,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,29683.75,29631.25,6/25/2026 11:05:00 AM,6/25/2026 12:19:00 PM,Long,X_CatastrophicStop,($105.00),($405.00),$0.00,$0.00,$0.00,$0.00,$0.00,$108.50,$415.50,$520.50,75,
12,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,29647.25,29572.50,6/26/2026 8:43:00 AM,6/26/2026 8:53:00 AM,Long,X_CatastrophicStop,($149.50),($554.50),$0.00,$0.00,$0.00,$0.00,$0.00,$187.50,$140.00,$289.50,11,
13,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,29643.25,29604.75,6/26/2026 10:06:00 AM,6/26/2026 10:23:00 AM,Long,X_CatastrophicStop,($77.00),($631.50),$0.00,$0.00,$0.00,$0.00,$0.00,$129.50,$114.00,$191.00,18,
14,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,29566.00,29516.75,6/26/2026 11:07:00 AM,6/26/2026 11:18:00 AM,Long,X_CatastrophicStop,($98.50),($730.00),$0.00,$0.00,$0.00,$0.00,$0.00,$109.00,$32.00,$130.50,12,
15,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,29501.25,29450.00,6/26/2026 12:16:00 PM,6/26/2026 12:24:00 PM,Long,X_CatastrophicStop,($102.50),($832.50),$0.00,$0.00,$0.00,$0.00,$0.00,$116.50,$6.50,$109.00,9,
16,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,29466.50,29302.75,6/26/2026 12:41:00 PM,6/26/2026 1:01:00 PM,Long,X_CatastrophicStop,($327.50),($1160.00),$0.00,$0.00,$0.00,$0.00,$0.00,$365.00,$206.00,$533.50,21,
17,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Short,1,29323.50,29361.50,6/26/2026 1:05:00 PM,6/26/2026 1:17:00 PM,Short,X_CatastrophicStop,($76.00),($1236.00),$0.00,$0.00,$0.00,$0.00,$0.00,$108.00,$96.00,$172.00,13,
18,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Short,1,29787.25,29839.50,6/29/2026 8:40:00 AM,6/29/2026 9:01:00 AM,Short,X_CatastrophicStop,($104.50),($1340.50),$0.00,$0.00,$0.00,$0.00,$0.00,$121.50,$30.00,$134.50,22,
19,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,29887.50,29995.50,6/29/2026 9:22:00 AM,6/29/2026 2:00:00 PM,Long,Exit on session close,$216.00,($1124.50),$0.00,$0.00,$0.00,$0.00,$0.00,$88.50,$363.00,$147.00,279,
20,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,29992.75,30015.75,6/29/2026 3:02:00 PM,6/29/2026 3:56:00 PM,Long,X_SessionFlatten,$46.00,($1078.50),$0.00,$0.00,$0.00,$0.00,$0.00,$42.50,$93.50,$47.50,55,
21,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,30404.75,30501.00,6/30/2026 8:40:00 AM,6/30/2026 2:00:00 PM,Long,Exit on session close,$192.50,($886.00),$0.00,$0.00,$0.00,$0.00,$0.00,$22.50,$390.50,$198.00,321,
22,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Short,1,30304.00,30064.50,7/1/2026 8:40:00 AM,7/1/2026 2:00:00 PM,Short,Exit on session close,$479.00,($407.00),$0.00,$0.00,$0.00,$0.00,$0.00,$29.50,$589.50,$110.50,321,
23,MNQ SEP26,Backtest,EnsembleRunner_v0.2-RC,Long,1,29806.25,29760.25,7/2/2026 8:40:00 AM,7/2/2026 8:44:00 AM,Long,X_CatastrophicStop,($92.00),($499.00),$0.00,$0.00,$0.00,$0.00,$0.00,$104.50,$18.00,$110.00,5,
