Performance,All trades,Long trades,Short trades,
Total net profit,$1109.50,$1109.50,$0.00,
Gross profit,$1503.30,$1503.30,$0.00,
Gross loss,($393.80),($393.80),$0.00,
Commission,$9.50,$9.50,$0.00,
Profit factor,3.82,3.82,1.00,
Max. drawdown,($273.90),($273.90),$0.00,
Sharpe ratio,1.60,1.60,1.00,
Sortino ratio,1.00,1.00,1.00,
Ulcer index,0.00,0.00,0.00,
R squared,0.70,0.70,0.00,
Total Fees,$0.00,$0.00,$0.00,
Probability,10.97%,10.97%,0.00%,
,,,,
Start date,4/20/2026,,,
Start time,12:00 AM,,,
End date,4/26/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,5,5,0,
Percent profitable,60.00%,60.00%,0.00%,
# of winning trades,3,3,0,
# of losing trades,2,2,0,
# of even trades,0,0,0,
,,,,
Total slippage,2.5,2.5,0,
,,,,
Avg. trade,$221.90,$221.90,$0.00,
Avg. winning trade,$501.10,$501.10,$0.00,
Avg. losing trade,($196.90),($196.90),$0.00,
Ratio avg. win / avg. loss,2.54,2.54,0.00,
,,,,
Max. consec. winners,1,1,0,
Max. consec. losers,1,1,0,
Largest winning trade,$716.10,$716.10,$0.00,
Largest losing trade,($273.90),($273.90),$0.00,
,,,,
Avg. # of trades per day,1.21,1.21,0.00,
Avg. time in market,1135.80 min,1135.80 min,0.00 min,
Avg. bars in trade,1135.80,1135.80,0.00,
Profit per month,$5639.96,$5639.96,$0.00,
Max. time to recover,1.80 days,1.80 days,0.00 days,
Longest flat period,672.00 min,672.00 min,0.00 min,
,,,,
Avg. MAE,$344.60,$344.60,$0.00,
Avg. MFE,$415.50,$415.50,$0.00,
Avg. ETD,$193.60,$193.60,$0.00,
