Performance,All trades,Long trades,Short trades,
Total net profit,$639.20,$2871.90,($2232.70),
Gross profit,$26009.50,$15239.40,$10770.10,
Gross loss,($25370.30),($12367.50),($13002.80),
Commission,$982.30,$492.10,$490.20,
Profit factor,1.03,1.23,0.83,
Max. drawdown,($3163.60),($2880.90),($3233.80),
Sharpe ratio,0.35,0.63,-0.69,
Sortino ratio,0.78,5.46,-1.29,
Ulcer index,0.03,0.02,0.03,
R squared,0.00,0.44,0.68,
Total Fees,$0.00,$0.00,$0.00,
Probability,41.78%,13.65%,88.36%,
,,,,
Start date,3/20/2026,,,
Start time,12:00 AM,,,
End date,4/26/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,517,259,258,
Percent profitable,36.75%,38.22%,35.27%,
# of winning trades,190,99,91,
# of losing trades,327,160,167,
# of even trades,0,0,0,
,,,,
Total slippage,258.5,129.5,129,
,,,,
Avg. trade,$1.24,$11.09,($8.65),
Avg. winning trade,$136.89,$153.93,$118.35,
Avg. losing trade,($77.59),($77.30),($77.86),
Ratio avg. win / avg. loss,1.76,1.99,1.52,
,,,,
Max. consec. winners,7,4,4,
Max. consec. losers,19,10,12,
Largest winning trade,$1437.10,$1437.10,$381.60,
Largest losing trade,($241.40),($179.40),($241.40),
,,,,
Avg. # of trades per day,20.24,10.42,10.10,
Avg. time in market,56.01 min,63.37 min,48.62 min,
Avg. bars in trade,56.01,63.37,48.62,
Profit per month,$526.91,$2433.14,($1840.47),
Max. time to recover,31.99 days,21.18 days,24.34 days,
Longest flat period,2.45 days,2.48 days,2.56 days,
,,,,
Avg. MAE,$74.26,$73.25,$75.27,
Avg. MFE,$132.76,$141.26,$124.23,
Avg. ETD,$131.52,$130.17,$132.88,
