Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
5:00 AM,93,n/a,($1490.20),$3334.60,($4824.80),$176.70,n/a,n/a,33.33%,($16.02),$107.57,($77.82),$275.60,($279.90),111.49,$71.22,$113.76,$129.78,5.54%,
6:00 AM,229,n/a,($4571.60),$8646.40,($13218.00),$435.10,n/a,n/a,32.31%,($19.96),$116.84,($85.28),$510.60,($213.40),112.04,$78.03,$119.24,$139.20,13.65%,
7:00 AM,230,n/a,$1472.50,$12642.30,($11169.80),$437.00,n/a,n/a,36.09%,$6.40,$152.32,($75.99),$846.60,($188.40),38.01,$70.24,$141.43,$135.03,13.71%,
8:00 AM,163,n/a,($981.20),$7721.80,($8703.00),$309.70,n/a,n/a,35.58%,($6.02),$133.13,($82.89),$625.10,($226.90),59.02,$72.60,$122.90,$128.92,9.71%,
9:00 AM,118,n/a,($734.20),$5944.40,($6678.60),$224.20,n/a,n/a,28.81%,($6.22),$174.84,($79.51),$496.60,($163.90),77.98,$73.42,$118.65,$124.87,7.03%,
10:00 AM,119,n/a,($2028.10),$4373.00,($6401.10),$226.10,n/a,n/a,29.41%,($17.04),$124.94,($76.20),$469.60,($151.90),84.02,$71.48,$109.04,$126.08,7.09%,
11:00 AM,82,n/a,($1177.80),$2957.70,($4135.50),$155.80,n/a,n/a,26.83%,($14.36),$134.44,($68.93),$378.10,($290.40),52.01,$69.22,$110.38,$124.75,4.89%,
12:00 PM,112,n/a,$3831.20,$8187.70,($4356.50),$212.80,n/a,n/a,50.89%,$34.21,$143.64,($79.21),$437.10,($241.40),16.99,$61.94,$142.50,$108.30,6.67%,
11:00 PM,30,n/a,$159.50,$1737.40,($1577.90),$57.00,n/a,n/a,30.00%,$5.32,$193.04,($75.14),$353.10,($131.90),41.01,$68.55,$112.50,$107.18,1.79%,
12:00 AM,54,n/a,$598.90,$2514.70,($1915.80),$102.60,n/a,n/a,50.00%,$11.09,$93.14,($70.96),$382.60,($138.40),43.01,$59.20,$130.27,$119.18,3.22%,
1:00 AM,58,n/a,($819.20),$2214.00,($3033.20),$110.20,n/a,n/a,34.48%,($14.12),$110.70,($79.82),$377.10,($137.40),43.00,$66.52,$102.36,$116.49,3.46%,
2:00 AM,50,n/a,$389.50,$2447.10,($2057.60),$95.00,n/a,n/a,42.00%,$7.79,$116.53,($70.95),$297.60,($123.90),44.98,$63.21,$124.59,$116.80,2.98%,
1:00 PM,51,n/a,$3664.60,$4629.50,($964.90),$96.90,n/a,n/a,68.63%,$71.85,$132.27,($60.31),$457.60,($148.40),39.04,$52.43,$160.98,$89.13,3.04%,
4:00 AM,65,n/a,$2947.00,$5431.80,($2484.80),$123.50,n/a,n/a,43.08%,$45.34,$193.99,($67.16),$1437.10,($141.40),16.01,$58.64,$168.12,$122.78,3.87%,
6:00 PM,32,n/a,$506.70,$1614.20,($1107.50),$60.80,n/a,n/a,37.50%,$15.83,$134.52,($55.38),$324.10,($160.90),38.00,$56.31,$140.67,$124.84,1.91%,
5:00 PM,39,n/a,($791.10),$1260.70,($2051.80),$74.10,n/a,n/a,30.77%,($20.28),$105.06,($75.99),$367.10,($156.90),98.01,$62.29,$102.77,$123.05,2.32%,
7:00 PM,22,n/a,$224.70,$1179.00,($954.30),$41.80,n/a,n/a,45.45%,$10.21,$117.90,($79.53),$230.60,($128.90),75.08,$55.27,$125.70,$115.49,1.31%,
9:00 PM,29,n/a,($535.60),$628.00,($1163.60),$55.10,n/a,n/a,34.48%,($18.47),$62.80,($61.24),$173.10,($110.40),98.05,$56.38,$87.34,$105.81,1.73%,
4:00 PM,8,n/a,($219.20),$54.20,($273.40),$15.20,n/a,n/a,25.00%,($27.40),$27.10,($45.57),$52.10,($70.90),44.04,$51.25,$71.63,$99.03,0.48%,
3:00 AM,42,n/a,($555.30),$1319.60,($1874.90),$79.80,n/a,n/a,38.10%,($13.22),$82.48,($72.11),$359.10,($114.40),57.00,$56.92,$103.95,$117.17,2.50%,
10:00 PM,32,n/a,($984.80),$727.90,($1712.70),$60.80,n/a,n/a,28.13%,($30.78),$80.88,($74.47),$156.10,($121.90),81.01,$67.34,$85.27,$116.04,1.91%,
8:00 PM,20,n/a,$542.00,$1274.50,($732.50),$38.00,n/a,n/a,50.00%,$27.10,$127.45,($73.25),$346.10,($139.90),35.00,$56.90,$145.45,$118.35,1.19%,
