Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ JUN26,Backtest,Sample multi-timeframe,Long,1,24635.75,24610.00,3/19/2026 7:19:00 PM,3/19/2026 8:31:00 PM,SMA,Sell,($53.40),($53.40),$1.90,$0.00,$0.00,$0.00,$0.00,$76.00,$12.50,$65.90,73,
2,MNQ JUN26,Backtest,Sample multi-timeframe,Long,1,24512.25,24400.25,3/23/2026 5:22:00 AM,3/23/2026 2:00:00 PM,SMA,Exit on session close,($225.90),($279.30),$1.90,$0.00,$0.00,$0.00,$0.00,$414.50,$355.50,$581.40,519,
3,MNQ JUN26,Backtest,Sample multi-timeframe,Long,1,24460.25,24279.50,3/24/2026 12:55:00 AM,3/24/2026 6:01:00 AM,SMA,Sell,($363.40),($642.70),$1.90,$0.00,$0.00,$0.00,$0.00,$391.00,$62.00,$425.40,307,
4,MNQ JUN26,Backtest,Sample multi-timeframe,Long,1,24417.00,24378.00,3/24/2026 3:48:00 PM,3/25/2026 12:01:00 AM,SMA,Sell,($79.90),($722.60),$1.90,$0.00,$0.00,$0.00,$0.00,$193.50,$154.00,$233.90,494,
5,MNQ JUN26,Backtest,Sample multi-timeframe,Long,1,24474.75,24377.50,3/25/2026 3:03:00 AM,3/25/2026 9:01:00 AM,SMA,Sell,($196.40),($919.00),$1.90,$0.00,$0.00,$0.00,$0.00,$375.00,$130.50,$326.90,359,
6,MNQ JUN26,Backtest,Sample multi-timeframe,Long,1,23943.25,23836.25,3/26/2026 11:19:00 PM,3/27/2026 1:16:00 AM,SMA,Sell,($215.90),($1134.90),$1.90,$0.00,$0.00,$0.00,$0.00,$247.50,$23.50,$239.40,118,
7,MNQ JUN26,Backtest,Sample multi-timeframe,Long,1,23331.50,23325.50,3/29/2026 10:04:00 PM,3/30/2026 7:31:00 AM,SMA,Sell,($13.90),($1148.80),$1.90,$0.00,$0.00,$0.00,$0.00,$77.00,$497.00,$510.90,568,
8,MNQ JUN26,Backtest,Sample multi-timeframe,Long,1,23345.25,23904.75,3/30/2026 7:26:00 PM,3/31/2026 2:00:00 PM,SMA,Exit on session close,$1117.10,($31.70),$1.90,$0.00,$0.00,$0.00,$0.00,$222.50,$1257.50,$140.40,1115,
9,MNQ JUN26,Backtest,Sample multi-timeframe,Long,1,23925.00,24188.25,3/31/2026 3:08:00 PM,4/1/2026 2:00:00 PM,SMA,Exit on session close,$524.60,$492.90,$1.90,$0.00,$0.00,$0.00,$0.00,$35.50,$848.00,$323.40,1373,
10,MNQ JUN26,Backtest,Sample multi-timeframe,Long,1,24197.50,24219.75,4/2/2026 8:30:00 AM,4/2/2026 2:00:00 PM,SMA,Exit on session close,$42.60,$535.50,$1.90,$0.00,$0.00,$0.00,$0.00,$279.50,$76.50,$33.90,331,
