Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
4/23/2026 9:47 PM,1,$112.50,$112.50,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$43.50,$203.00,$90.50,n/a,
4/24/2026 1:29 AM,2,$96.50,($16.00),n/a,n/a,$0.00,($16.00),($16.00),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$16.00,$91.00,$107.00,n/a,
4/24/2026 2:47 AM,3,$510.50,$414.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$36.00,$497.50,$83.50,n/a,
4/24/2026 4:36 AM,4,$557.00,$46.50,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$16.50,$117.00,$70.50,n/a,
4/24/2026 5:15 AM,5,$510.00,($47.00),n/a,n/a,$0.00,($47.00),($47.00),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$62.50,$22.50,$69.50,n/a,
4/24/2026 5:22 AM,6,$592.00,$82.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$51.00,$150.50,$68.50,n/a,
4/24/2026 5:59 AM,7,$561.50,($30.50),n/a,n/a,$0.00,($30.50),($30.50),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$32.00,$62.00,$92.50,n/a,
4/24/2026 6:26 AM,8,$557.50,($4.00),n/a,n/a,$0.00,($34.50),($4.00),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$33.00,$90.50,$94.50,n/a,
4/24/2026 6:34 AM,9,$533.00,($24.50),n/a,n/a,$0.00,($59.00),($24.50),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$53.00,$72.00,$96.50,n/a,
4/24/2026 6:44 AM,10,$589.00,$56.00,n/a,n/a,$0.00,($3.00),$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$85.50,$164.00,$108.00,n/a,
4/24/2026 7:00 AM,11,$673.00,$84.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$61.00,$162.50,$78.50,n/a,
4/24/2026 7:19 AM,12,$715.50,$42.50,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$59.00,$123.00,$80.50,n/a,
4/24/2026 7:37 AM,13,$773.00,$57.50,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$49.50,$144.50,$87.00,n/a,
4/24/2026 7:49 AM,14,$697.50,($75.50),n/a,n/a,$0.00,($75.50),($75.50),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$85.50,$13.00,$88.50,n/a,
