Instrument,Performance,Parameters,Total net profit,Gross profit,Gross loss,Profit factor,Max. drawdown,Total # of trades,Percent profitable,
MNQ JUN26,3491.90000000003,45/1/60/20/55/20/30/Short/Long/90/1/17/2/21/0.05/0/0 (R (points)ContractsPivot TF (seconds)EOD Hour UTCEOD Minute UTCEntry Cutoff Hour UTCEntry Cutoff Minute UTCOn High PivotOn Low PivotMax Unrealized Loss (points)Hard SL TF (seconds)MFE Cut Bars After EntryMFE Cut Threshold (USD)Trail Activate (points)Trail Giveback PctSlippage (points)Commission per round-trip (USD)),3491.90000000003,19678.2,-16186.3,1.21573182259071,-1255.70000000001,589,0.716468590831918,
,3319.4,40/1/60/20/55/20/30/Short/Long/90/1/24/84/21/0.05/0/0 (R (points)ContractsPivot TF (seconds)EOD Hour UTCEOD Minute UTCEntry Cutoff Hour UTCEntry Cutoff Minute UTCOn High PivotOn Low PivotMax Unrealized Loss (points)Hard SL TF (seconds)MFE Cut Bars After EntryMFE Cut Threshold (USD)Trail Activate (points)Trail Giveback PctSlippage (points)Commission per round-trip (USD)),3319.4,20382.6999999999,-17063.3,1.19453446871356,-1132.60000000002,714,0.647058823529412,
,3305.9,40/1/60/20/55/20/30/Short/Long/80/1/24/84/21/0.05/0/0 (R (points)ContractsPivot TF (seconds)EOD Hour UTCEOD Minute UTCEntry Cutoff Hour UTCEntry Cutoff Minute UTCOn High PivotOn Low PivotMax Unrealized Loss (points)Hard SL TF (seconds)MFE Cut Bars After EntryMFE Cut Threshold (USD)Trail Activate (points)Trail Giveback PctSlippage (points)Commission per round-trip (USD)),3305.9,20382.6999999999,-17076.8,1.19359013398295,-1165.10000000002,714,0.647058823529412,
,3145.39999999998,40/1/60/20/55/20/30/Short/Long/90/1/16/23/21/0.05/0/0 (R (points)ContractsPivot TF (seconds)EOD Hour UTCEOD Minute UTCEntry Cutoff Hour UTCEntry Cutoff Minute UTCOn High PivotOn Low PivotMax Unrealized Loss (points)Hard SL TF (seconds)MFE Cut Bars After EntryMFE Cut Threshold (USD)Trail Activate (points)Trail Giveback PctSlippage (points)Commission per round-trip (USD)),3145.39999999998,20551.7999999999,-17406.4,1.18070364923247,-1361.00000000002,714,0.634453781512605,
,3112.89999999998,40/1/60/20/55/20/30/Short/Long/80/1/16/23/21/0.05/0/0 (R (points)ContractsPivot TF (seconds)EOD Hour UTCEOD Minute UTCEntry Cutoff Hour UTCEntry Cutoff Minute UTCOn High PivotOn Low PivotMax Unrealized Loss (points)Hard SL TF (seconds)MFE Cut Bars After EntryMFE Cut Threshold (USD)Trail Activate (points)Trail Giveback PctSlippage (points)Commission per round-trip (USD)),3112.89999999998,20551.7999999999,-17438.9,1.17850323128179,-1393.50000000002,714,0.634453781512605,
,2955.9000000001,45/1/60/20/55/20/30/Short/Long/90/1/16/23/21/0.05/0/0 (R (points)ContractsPivot TF (seconds)EOD Hour UTCEOD Minute UTCEntry Cutoff Hour UTCEntry Cutoff Minute UTCOn High PivotOn Low PivotMax Unrealized Loss (points)Hard SL TF (seconds)MFE Cut Bars After EntryMFE Cut Threshold (USD)Trail Activate (points)Trail Giveback PctSlippage (points)Commission per round-trip (USD)),2955.9000000001,17832,-14876.0999999999,1.19870127251095,-993.6,589,0.65365025466893,
,2872.39999999998,40/1/60/20/55/20/30/Short/Long/72.0171971547032/1/16/23/21/0.05/0/0 (R (points)ContractsPivot TF (seconds)EOD Hour UTCEOD Minute UTCEntry Cutoff Hour UTCEntry Cutoff Minute UTCOn High PivotOn Low PivotMax Unrealized Loss (points)Hard SL TF (seconds)MFE Cut Bars After EntryMFE Cut Threshold (USD)Trail Activate (points)Trail Giveback PctSlippage (points)Commission per round-trip (USD)),2872.39999999998,20588.3999999999,-17716,1.1621359223301,-1556.00000000002,714,0.635854341736695,
,2867.39999999972,40/1/60/20/55/20/30/Short/Long/90/1/16/23/36/0.25/0/0 (R (points)ContractsPivot TF (seconds)EOD Hour UTCEOD Minute UTCEntry Cutoff Hour UTCEntry Cutoff Minute UTCOn High PivotOn Low PivotMax Unrealized Loss (points)Hard SL TF (seconds)MFE Cut Bars After EntryMFE Cut Threshold (USD)Trail Activate (points)Trail Giveback PctSlippage (points)Commission per round-trip (USD)),2867.39999999972,26496.5999999998,-23629.2000000001,1.12134985526381,-1529.20000000001,714,0.491596638655462,
,2801.40000000011,45/1/60/20/55/20/30/Short/Long/50/1/16/23/21/0.05/0/0 (R (points)ContractsPivot TF (seconds)EOD Hour UTCEOD Minute UTCEntry Cutoff Hour UTCEntry Cutoff Minute UTCOn High PivotOn Low PivotMax Unrealized Loss (points)Hard SL TF (seconds)MFE Cut Bars After EntryMFE Cut Threshold (USD)Trail Activate (points)Trail Giveback PctSlippage (points)Commission per round-trip (USD)),2801.40000000011,17690.3000000001,-14888.8999999999,1.18815359093016,-918.600000000012,589,0.650254668930391,
,2797.40000000011,45/1/60/20/55/20/30/Short/Long/50/1/16/23/21/0.25/0/0 (R (points)ContractsPivot TF (seconds)EOD Hour UTCEOD Minute UTCEntry Cutoff Hour UTCEntry Cutoff Minute UTCOn High PivotOn Low PivotMax Unrealized Loss (points)Hard SL TF (seconds)MFE Cut Bars After EntryMFE Cut Threshold (USD)Trail Activate (points)Trail Giveback PctSlippage (points)Commission per round-trip (USD)),2797.40000000011,17610.3000000001,-14812.8999999999,1.18884890872146,-1271.1,589,0.650254668930391,
