tier,n,actual_total,peak_total,bayes_70pct_peak,uplift_if_70pct_peak_vs_actual
FADE_AT_BAND,31055,-2542.0,1597047.0,1117933.0,1120474.0
NMP_FADE_RAW,67114,5715.0,387052.0,270936.0,265221.0
FADE_MOMENTUM,12775,2633.0,137858.0,96500.0,93867.0
FADE_CALM,21380,815.0,88873.0,62211.0,61396.0
KILL_SHOT,12858,612.0,68018.0,47613.0,47001.0
RIDE_AGAINST,845,-2232.0,46594.0,32616.0,34848.0
CASCADE,3018,-322.0,17282.0,12097.0,12420.0
FADE_AGAINST,2811,1398.0,18014.0,12610.0,11212.0
NMP_RIDE_RAW,281,-132.0,14894.0,10426.0,10559.0
RIDE_MOMENTUM,73,-414.0,7630.0,5341.0,5754.0
RIDE_CALM,77,-369.0,3914.0,2740.0,3109.0
FREIGHT_TRAIN,9,131.0,136.0,95.0,-36.0
