tier,n,pct_with_pos_peak,mean_giveback,median_giveback,mean_capture_pct,mean_peak_horizon_min,median_peak_horizon_min,large_giveback_count,large_giveback_pct
RIDE_MOMENTUM,73,100.0,110.18,69.0,-180.0,25.79,19.75,67,91.8
FADE_AT_BAND,31055,72.3,71.77,5.0,-55.5,0.26,0.08,7334,32.7
RIDE_AGAINST,845,99.3,57.58,34.5,-198.2,23.87,16.75,702,83.7
RIDE_CALM,77,100.0,55.63,39.0,-311.8,27.99,24.0,61,79.2
NMP_RIDE_RAW,281,98.9,53.27,30.0,-266.1,22.16,14.04,233,83.8
FADE_MOMENTUM,12775,80.8,15.41,11.0,-35.8,0.54,0.25,5531,53.6
FADE_AGAINST,2811,77.2,9.36,6.0,-26.4,0.53,0.25,756,34.8
CASCADE,3018,77.9,8.96,5.5,-23.4,0.56,0.25,773,32.9
NMP_FADE_RAW,67114,78.1,8.72,5.5,-26.9,0.54,0.25,17342,33.1
KILL_SHOT,12858,77.1,8.25,5.5,-24.1,0.53,0.25,3106,31.3
FADE_CALM,21380,77.2,6.25,4.5,-25.9,0.54,0.25,3858,23.4
FREIGHT_TRAIN,9,77.8,5.86,5.5,36.0,1.11,0.17,3,42.9
