**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

segment_idx,start_dt,end_dt,duration_days,start_price,end_price,min_price,max_price,net_pts,direction,sub_pattern,slope_pts_per_day,mean_atr,normalized_slope_abs,normalized_slope_signed,start_snap,end_snap,n_zones_in_band,n_levels_in_band,n_zones_traversed,start_in_zone,end_in_zone,escape_velocity,captured,between_zones,levels_month
0,2025-01-06 00:00:00+00:00,2025-01-13 00:00:00+00:00,7.0,21897.0,20693.5,20693.5,21897.0,-1203.5,DOWN,H_L,-171.92857142857142,309.48807204700057,0.5555256792011726,-0.5555256792011726,H,L,6,6,5,True,False,True,False,False,2025-01
1,2025-01-13 00:00:00+00:00,2025-01-23 00:00:00+00:00,10.0,20693.5,22051.25,20693.5,22051.25,1357.75,UP,L_H,135.775,324.97165116413083,0.4178056747830758,0.4178056747830758,L,H,6,6,6,False,False,False,False,True,2025-01
2,2025-01-23 00:00:00+00:00,2025-01-27 00:00:00+00:00,4.0,22051.25,20763.75,20763.75,22051.25,-1287.5,DOWN,H_L,-321.875,323.41875,0.9952267764314839,-0.9952267764314839,H,L,6,6,5,False,True,False,True,False,2025-01
3,2025-01-27 00:00:00+00:00,2025-02-06 00:00:00+00:00,10.0,20763.75,21882.0,20763.75,21882.0,1118.25,UP,L_H,111.825,360.24125,0.31041697751159814,0.31041697751159814,L,H,6,6,4,True,True,False,False,False,2025-01
4,2025-02-06 00:00:00+00:00,2025-02-11 00:00:00+00:00,5.0,21882.0,21669.5,21669.5,21882.0,-212.5,DOWN,H_L,-42.5,360.7475,0.11781093424070853,-0.11781093424070853,H,L,2,2,0,True,True,False,False,False,2025-02
5,2025-02-11 00:00:00+00:00,2025-02-19 00:00:00+00:00,8.0,21669.5,22299.75,21669.5,22299.75,630.25,UP,L_H,78.78125,344.60468749999995,0.2286134021319719,0.2286134021319719,L,H,4,4,2,True,True,False,False,False,2025-02
6,2025-02-19 00:00:00+00:00,2025-03-11 00:00:00+00:00,20.0,22299.75,19140.0,19140.0,22299.75,-3159.75,DOWN,H_L,-157.9875,338.59791666666666,0.4665932429688606,-0.4665932429688606,H,L,8,8,7,True,False,True,False,False,2025-02
7,2025-03-11 00:00:00+00:00,2025-03-19 00:00:00+00:00,8.0,19140.0,19935.75,19140.0,19935.75,795.75,UP,L_H,99.46875,475.384375,0.20923857667808288,0.20923857667808288,L,H,2,2,1,False,True,False,True,False,2025-03
8,2025-03-19 00:00:00+00:00,2025-04-06 00:00:00+00:00,18.0,19935.75,16452.5,16452.5,19935.75,-3483.25,DOWN,H_L,-193.51388888888889,508.89375000000007,0.3802638348159883,-0.3802638348159883,H,L,2,2,1,True,False,True,False,False,2025-03
9,2025-04-06 00:00:00+00:00,2025-04-09 00:00:00+00:00,3.0,16452.5,19388.0,16452.5,19388.0,2935.5,UP,L_H,978.5,654.928125,1.4940570768738937,1.4940570768738937,L,H,4,4,4,False,False,False,False,True,2025-04
10,2025-04-09 00:00:00+00:00,2025-04-21 00:00:00+00:00,12.0,19388.0,17700.0,17700.0,19388.0,-1688.0,DOWN,H_L,-140.66666666666666,825.3412500000001,0.17043455257648477,-0.17043455257648477,H,L,3,3,3,False,False,False,False,True,2025-04
11,2025-04-21 00:00:00+00:00,2025-05-02 00:00:00+00:00,11.0,17700.0,20277.0,17700.0,20277.0,2577.0,UP,L_H,234.27272727272728,817.4840909090909,0.286577720444935,0.286577720444935,L,H,6,6,6,False,False,False,False,True,2025-04
12,2025-05-02 00:00:00+00:00,2025-05-07 00:00:00+00:00,5.0,20277.0,19678.5,19678.5,20277.0,-598.5,DOWN,H_L,-119.7,519.7625,0.23029749164281763,-0.23029749164281763,H,L,3,3,2,False,True,False,True,False,2025-05
13,2025-05-07 00:00:00+00:00,2025-05-15 00:00:00+00:00,8.0,19678.5,21529.75,19678.5,21529.75,1851.25,UP,L_H,231.40625,432.2359375,0.5353702224262646,0.5353702224262646,L,H,7,7,6,True,False,True,False,False,2025-05
14,2025-05-15 00:00:00+00:00,2025-05-23 00:00:00+00:00,8.0,21529.75,20727.5,20727.5,21529.75,-802.25,DOWN,H_L,-100.28125,356.61562499999997,0.28120262537571095,-0.28120262537571095,H,L,3,3,3,False,False,False,False,True,2025-05
15,2025-05-23 00:00:00+00:00,2025-05-29 00:00:00+00:00,6.0,20727.5,21858.75,20727.5,21858.75,1131.25,UP,L_H,188.54166666666666,333.1229166666667,0.5659822763119218,0.5659822763119218,L,H,5,5,4,False,True,False,True,False,2025-05
16,2025-05-29 00:00:00+00:00,2025-05-30 00:00:00+00:00,1.0,21858.75,21071.5,21071.5,21858.75,-787.25,DOWN,H_L,-787.25,343.54375,2.2915567522331584,-2.2915567522331584,H,L,4,4,2,True,True,False,False,False,2025-05
