time,side,anchor,slope_q,sigma_q,zclose_q,r2_q,med_duration_min,p_continue_10m,magnitude_q90_excess,actual_max_z,actual_duration_min
02:00:00,above,low,4,4,4,0,5.6,0.3744,0.13,3.114805371126742,60.0
09:30:15,above,low,4,4,4,4,5.6,0.3744,0.13,3.0020571683056314,30.016666666666666
09:33:40,above,high,4,4,4,4,4.4,0.3418,0.12,3.016230146588323,13.516666666666667
09:47:55,above,high,4,4,4,3,4.4,0.3418,0.12,3.0003133648121314,2.0833333333333335
09:50:06,above,high,4,4,4,0,4.4,0.3418,0.12,3.008271755700227,6.2
09:56:25,above,high,4,3,4,0,3.7,0.2357,0.1,3.028167732920467,1.5666666666666667
10:40:30,above,low,4,3,3,1,3.9,0.2955,0.06,3.000819885571712,4.7
10:46:32,above,low,4,2,3,3,4.9,0.3357,0.11,3.013569800109321,13.483333333333333
11:36:25,above,low,4,0,3,2,4.5,0.3161,0.1,3.015926127455367,8.916666666666666
11:47:50,above,low,4,0,3,4,4.5,0.3161,0.1,3.001520922330743,1.8666666666666667
11:54:25,above,low,4,0,3,2,4.5,0.3161,0.1,3.007694581669868,5.583333333333333
16:34:40,above,low,4,4,4,2,5.6,0.3744,0.13,3.000047994429291,2.5833333333333335
16:39:10,above,low,4,3,4,0,3.9,0.2955,0.06,3.000047994429291,4.5
17:32:00,above,low,4,1,3,4,4.0,0.3213,0.11,3.0009202277239626,3.0
17:49:55,above,low,4,1,3,2,4.0,0.3213,0.11,3.002670886096966,1.0
17:51:35,above,low,4,1,3,0,4.0,0.3213,0.11,3.0009202277239626,3.4166666666666665
17:56:00,above,low,4,1,3,0,4.0,0.3213,0.11,3.021928128200008,4.0
