**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

n,mean_fwd,std_fwd,win_rate,mean_mfe,mean_mae,feature,window,pattern,pattern_freq_pct,wr_lift,mean_fwd_lift
9,24.52777777777778,30.248565163399807,0.7777777777777778,45.138888888888886,24.13888888888889,L2_5m_price_velocity_w,12,RISING_MONO,0.019177907051077157,0.2564528848818126,23.740270051367308
10,16.9,26.023013319410612,0.7,49.075,65.425,L2_5m_price_velocity_w,12,FALLING_MONO,0.021308785612307955,0.17867510710403478,16.112492273589528
46,38.130434782608695,77.26512327927989,0.6956521739130435,59.93478260869565,31.847826086956523,L1_5m_price_velocity_1b,6,RISING_MONO,0.0980204138166166,0.17432728101707828,37.34292705619823
167,4.941616766467066,35.48055366442546,0.5988023952095808,24.392215568862277,21.323353293413174,L1_15m_body,3,SPIKE_DOWN,0.35585671972554284,0.07747750231361561,4.154109040056596
185,1.695945945945946,33.301699302139305,0.5891891891891892,21.771621621621623,20.57972972972973,L2_15m_price_velocity_w,3,SPIKE_DOWN,0.39421253382769716,0.06786429629322399,0.9084382195354765
55,5.9772727272727275,65.39333045770164,0.5818181818181818,39.06363636363636,38.92272727272727,L1_1m_body,6,FALLING_MONO,0.11719832086769374,0.060493288922216615,5.189765000862258
172,4.315406976744186,35.411197858185055,0.5813953488372093,24.0203488372093,21.671511627906977,L1_15m_price_velocity_1b,3,SPIKE_DOWN,0.3665111125316968,0.06007045594124416,3.527899250333717
224,11.074776785714286,102.96224513731607,0.5803571428571429,47.796875,44.8984375,L1_5m_body,6,REVERSAL_DOWN,0.47731679771569824,0.05903224996117773,10.287269059303817
38,41.10526315789474,85.73077421338368,0.5789473684210527,68.34868421052632,34.94078947368421,L1_5m_body,6,RISING_MONO,0.08097338532677023,0.05762247552508748,40.31775543148427
47,9.101063829787234,54.54185816711715,0.574468085106383,44.25,36.776595744680854,L1_1m_body,6,RISING_MONO,0.10015129237784738,0.053143192210417856,8.313556103376765
143,3.6695804195804196,28.718776698076468,0.5664335664335665,22.534965034965033,19.493006993006993,L3_15m_SE_high_w,3,SPIKE_UP,0.3068465128172345,0.045108673537601285,2.88207269316995
230,11.932608695652174,103.29079505217283,0.5652173913043478,47.88913043478261,44.90652173913043,L1_5m_price_velocity_1b,6,REVERSAL_DOWN,0.490102069083083,0.04389249840838261,11.145100969241705
1119,6.147006255585344,69.52182828903616,0.5558534405719392,46.65527256478999,42.764298480786415,L2_5m_price_velocity_w,6,FALLING_MONO,2.3844531100172603,0.03452854767597402,5.359498529174875
9,-33.888888888888886,120.21615370286602,0.5555555555555556,42.94444444444444,97.30555555555556,L2_5m_price_velocity_w,12,REVERSAL_UP,0.019177907051077157,0.034230662659590405,-34.67639661529935
218,3.36697247706422,35.14622300779309,0.555045871559633,22.58830275229358,21.636467889908257,L3_15m_z_low_w,3,SPIKE_DOWN,0.4645315263483134,0.033720978663667855,2.5794647506537505
689,-1.309143686502177,74.09445723937154,0.5529753265602322,38.19992743105951,41.65166908563135,L2_1m_price_velocity_w,6,FALLING_MONO,1.468175328688018,0.03165043366426701,-2.096651412912647
204,8.405637254901961,83.82589189978162,0.5490196078431373,26.801470588235293,21.050245098039216,L3_15m_z_se_w,3,SPIKE_DOWN,0.4346992264910822,0.027694714947172128,7.618129528491492
3164,2.7570322376738305,67.85998295115549,0.5474083438685209,44.17912452591656,45.75126422250316,L2_5m_price_velocity_w,24,SPIKE_DOWN,6.742099767734238,0.02608345097255571,1.969524511263361
4179,3.661880832735104,59.85303199199611,0.5460636515912898,39.88849006939459,38.309404163675524,L2_1h_price_velocity_w,24,SPIKE_DOWN,8.904941507383494,0.024738758695324603,2.8743731063246347
2241,4.042949576082107,71.0337053849492,0.5443998215082553,43.38743864346274,42.65227576974565,L2_15m_price_accel_w,24,SPIKE_UP,4.779560612840674,0.023074928612290102,3.2554418496716373
149,1.598993288590604,32.85058849579753,0.5436241610738255,20.253355704697988,21.642617449664428,L1_15m_price_velocity_1b,3,SPIKE_UP,0.3175009056233885,0.02229926817786032,0.8114855621801345
2440,0.7313524590163935,71.52187496434995,0.5430327868852459,42.00686475409836,47.523258196721315,L1_15m_body,24,SPIKE_DOWN,5.201474567964372,0.021707893989280747,-0.05615526739407606
4363,3.2288562915425167,65.57286856390702,0.5429750171900068,43.388150355260144,43.68823057529223,L2_15m_price_velocity_w,24,SPIKE_DOWN,9.305546676894885,0.021650124294041673,2.4413485651320475
3581,1.1203574420552918,59.05424224219267,0.5428651214744484,37.31143535325328,41.28036861211952,L1_1h_body,24,SPIKE_DOWN,7.641330520573633,0.021540228578483256,0.33284971564482224
3548,0.9423618940248027,58.718700971783576,0.5419954904171365,37.1407130777903,41.4935174746336,L1_1h_price_velocity_1b,24,SPIKE_DOWN,7.571011528053016,0.020670597521171286,0.15485416761433324
3207,1.6122544434050514,62.27114579304092,0.5419395073277206,38.603835360149674,42.27057998129093,L1_1h_price_accel_1b,24,SPIKE_DOWN,6.8443819386733145,0.020614614431755385,0.8247467169945819
2437,0.9097250718096019,71.64871089412381,0.5416495691423882,42.26856791136643,47.26148953631514,L1_15m_price_velocity_1b,24,SPIKE_DOWN,5.192951053719449,0.02032467624642298,0.12221734539913243
1932,1.6108954451345756,64.7327871150348,0.5398550724637681,42.89518633540373,45.254270186335404,L2_15s_price_velocity_w,24,SPIKE_DOWN,4.116857380297897,0.018530179567802896,0.8233877187241061
595,4.75546218487395,64.88673659103357,0.5394957983193277,38.84033613445378,35.77016806722689,L2_1m_price_velocity_w,6,RISING_MONO,1.2678727439323234,0.018170905423362527,3.9679544584634803
52,-7.100961538461538,87.23760740710476,0.5384615384615384,31.83173076923077,41.80769230769231,L2_15s_price_velocity_w,6,RISING_MONO,0.11080568518400137,0.01713664556557326,-7.888469264872008
2016,3.3375496031746033,78.93263468056419,0.5367063492063492,44.01934523809524,43.330357142857146,L2_1m_price_velocity_w,24,SPIKE_UP,4.300112936563745,0.015381456310384012,2.5500418767641335
1955,1.9093350383631713,59.571323430822545,0.5365728900255754,37.5960358056266,39.1156010230179,L2_1h_price_accel_w,6,SPIKE_DOWN,4.167998465767435,0.015247997129610225,1.1218273119527018
4865,2.7261562178828367,72.54655058139211,0.5360739979445015,40.78859198355601,42.27553956834532,L2_15m_price_velocity_w,12,SPIKE_DOWN,10.373116836071512,0.014749105048536326,1.9386484914723672
4190,1.8214797136038186,59.12794888358788,0.535799522673031,37.13299522673031,38.40948687350836,L3_1h_z_se_w,24,SPIKE_DOWN,8.936904685801956,0.014474629777065817,1.033971987193349
2277,0.08596837944664032,69.9297852223449,0.5349143610013175,41.68862538427756,46.91414141414141,L2_15m_price_accel_w,24,SPIKE_DOWN,4.8520104839225215,0.013589468105352331,-0.7015393469638291
1165,2.1221030042918456,64.75189609894544,0.534763948497854,37.493562231759654,38.68283261802575,L2_1m_price_velocity_w,6,REVERSAL_DOWN,2.4824735238338764,0.01343905560188885,1.334595277881376
3934,1.6619852567361464,60.054548340260574,0.534316217590239,37.18581596339603,39.210155058464665,L2_1h_price_accel_w,12,SPIKE_DOWN,8.38713801700441,0.012991324694273776,0.8744775303256769
3517,0.007463747512084163,59.41437932269022,0.5339778220073926,37.088711970429344,41.12809212396929,L2_1h_price_accel_w,24,SPIKE_DOWN,7.496430778409939,0.012652929111427458,-0.7800439788983854
148,1.285472972972973,32.99476883572719,0.5337837837837838,20.04222972972973,21.221283783783782,L1_15m_body,3,SPIKE_UP,0.3153700270621577,0.012458890887818597,0.4979652465625035
3229,0.8483276556209353,73.17025145047891,0.5336017342830598,39.06720346856612,41.211752864663985,L2_15m_price_accel_w,12,SPIKE_UP,6.8848686313367,0.012276841387094617,0.06081992921046575
6226,1.1314246707356248,66.8521992912906,0.5330870542884677,37.92017346610986,40.45462576292965,L2_15m_price_velocity_w,6,SPIKE_DOWN,13.273242557906626,0.011762161392502524,0.3439169443251553
3972,2.510574018126888,73.38797411443727,0.5327291037260826,37.89388217522659,39.86902064451158,L1_1h_price_accel_1b,12,SPIKE_DOWN,8.468111402331182,0.011404210830117445,1.7230662917164186
3928,2.704238798370672,64.29285097710672,0.5325865580448065,37.24802698574338,39.2367617107943,L1_1h_body,12,SPIKE_DOWN,8.374352745637026,0.011261665148841304,1.9167310719602024
2500,0.7869,66.8173052756823,0.5324,39.6135,42.6249,L1_5m_body,12,SPIKE_DOWN,5.3271964030769885,0.01107510710403481,-0.0006077264104694668
1097,1.1618049225159526,81.010821625644,0.5323609845031905,43.666818596171375,45.1292160437557,L2_5m_price_velocity_w,6,REVERSAL_DOWN,2.3375737816701827,0.011036091607225296,0.37429719610548307
3756,1.7911341853035143,60.55107289470572,0.5319488817891374,37.11561501597444,39.586128860489886,L3_15m_z_low_w,24,SPIKE_DOWN,8.003579875982867,0.010623988893172176,1.0036264588930448
1974,2.2608915906788245,71.056945677799,0.5319148936170213,37.938323201621074,39.863348530901725,L1_1h_price_accel_1b,6,SPIKE_DOWN,4.208485158430821,0.010590000721056092,1.473383864268355
1965,0.9022900763358779,64.87119460011945,0.5318066157760815,37.546946564885495,39.7941475826972,L2_1h_price_velocity_w,6,SPIKE_DOWN,4.189307251379744,0.010481722880116284,0.11478234992540837
3785,0.9589828269484808,65.3057629790258,0.5315719947159842,38.172787318361955,40.902642007926026,L1_5m_body,6,SPIKE_DOWN,8.071767989942254,0.010247101820018978,0.1714751005380113
1951,2.5991799077396207,64.929014231472,0.531522296258329,37.61494105586878,39.38544336237827,L1_1h_body,6,SPIKE_DOWN,4.159474951522513,0.010197403362363855,1.8116721813291512
3960,0.7020833333333333,65.09201566037972,0.5313131313131313,37.049305555555556,39.87020202020202,L2_1h_price_velocity_w,12,SPIKE_DOWN,8.442540859596411,0.009988238417166118,-0.08542439307713623
2491,1.710658370132477,59.91669466020405,0.5311120032115616,39.27298273785628,42.13879967884384,L2_15s_price_velocity_w,12,SPIKE_DOWN,5.308018496025912,0.009787110315596426,0.9231506437220074
3906,2.26036866359447,59.42612120052592,0.5309779825908858,36.8460701484895,39.2363031233999,L1_1h_price_velocity_1b,12,SPIKE_DOWN,8.32747341728995,0.009653089694920625,1.4728609371840007
2484,0.6857890499194848,67.69100935890951,0.5305958132045089,39.91394927536232,42.947463768115945,L1_5m_price_velocity_1b,12,SPIKE_DOWN,5.293102346097296,0.009270920308543706,-0.10171867649098476
230,3.360869565217391,77.8305403013969,0.5304347826086957,23.86195652173913,23.08695652173913,L3_15m_z_high_w,3,SPIKE_UP,0.490102069083083,0.009109889712730523,2.573361838806922
1052,2.4805133079847907,76.72073680729262,0.5304182509505704,44.31368821292776,44.46292775665399,L2_5m_price_velocity_w,6,RISING_MONO,2.241684246414797,0.009093358054605205,1.6930055815743212
3784,0.5423493657505285,65.82720608984607,0.5301268498942917,38.015063424947144,41.086878964059196,L1_5m_price_velocity_1b,6,SPIKE_DOWN,8.067506232819792,0.008801956998326532,-0.245158360659941
7048,1.4015678206583428,67.6415307979259,0.5297956867196367,38.08530788876277,40.222297105561864,L1_5m_price_velocity_1b,3,SPIKE_DOWN,15.022693856677108,0.008470793823671552,0.6140600942478733
7044,1.275447189097104,65.62596395358791,0.5293867120954003,37.689948892674614,39.9598594548552,L1_5m_body,3,SPIKE_DOWN,15.014170342432184,0.00806181919943516,0.48793946268663446
1940,2.144974226804124,59.98130473522929,0.5293814432989691,37.175257731958766,39.389819587628864,L1_1h_price_velocity_1b,6,SPIKE_DOWN,4.1360352873489745,0.008056550403003904,1.3574665003936544
5332,0.03160165041260315,74.86377806023079,0.5288822205551388,43.98363653413353,49.00820517629408,L3_15m_SE_high_w,24,SPIKE_UP,11.372498881288754,0.007557327659173607,-0.7559060759978664
3181,-2.2268154668343287,64.49043119904849,0.5287645394530022,38.47587236718013,45.33542911034266,L2_1m_price_velocity_w,12,SPIKE_DOWN,6.7783247032751595,0.007439646557036994,-3.014323193244798
6621,0.022353118864219906,72.525986010452,0.5286210542214167,40.031150883552336,43.628303881588884,L3_15m_SE_high_w,6,SPIKE_UP,14.112808711031558,0.007296161325451522,-0.7651546075462496
9299,1.1264114420905473,66.89457475278685,0.5285514571459297,38.49489192386278,40.70182277664265,L2_5m_price_velocity_w,3,SPIKE_DOWN,19.81503974088517,0.007226564249964484,0.3389037156800778
3486,3.1597102696500285,61.726099339634914,0.5283993115318416,37.794965576592084,39.28944348823867,L3_15m_z_high_w,24,SPIKE_DOWN,7.430373543011784,0.007074418635876434,2.372202543239559
7163,2.6212480804132348,73.4673042102015,0.5281306715063521,39.438747731397456,39.718797989669135,L1_1m_body,3,RISING_MONO,15.269875769779881,0.006805778610386892,1.8337403540027652
9494,0.2170581419844112,66.89064289584357,0.5281230250684643,37.484095218032444,40.74275858436908,L2_1m_price_velocity_w,3,SPIKE_DOWN,20.2326919388864,0.006798132172499138,-0.5704495844260583
6425,1.2671206225680933,67.28193321395257,0.5277821011673152,39.00136186770428,41.66124513618677,L2_5m_price_velocity_w,6,SPIKE_DOWN,13.690894755907863,0.00645720827134999,0.4796128961576238
2520,-2.2921626984126986,68.49100994232113,0.5277777777777778,38.43105158730159,45.15446428571428,L1_1m_body,12,SPIKE_DOWN,5.3698139743016045,0.006452884881812615,-3.079670424823168
10454,0.7443562272814234,67.62032241948657,0.5276449206045533,39.73467093935336,42.47584656590779,L2_5m_price_velocity_w,3,FALLING_MONO,22.276204479106738,0.006320027708588083,-0.043151499129046145
5072,2.8348284700315456,74.02575548991743,0.5274053627760252,39.407777996845425,39.52641955835962,L2_1m_price_velocity_w,6,SPIKE_UP,10.812077819685056,0.006080469880060058,2.047320743621076
3857,1.182784547575836,64.49149489763941,0.527352864920923,38.51464869069225,40.93148820326679,L2_15s_price_velocity_w,6,SPIKE_DOWN,8.218798610667179,0.006027972024957862,0.39527682116536655
55,0.9318181818181818,92.75137832840105,0.5272727272727272,53.56363636363636,53.65909090909091,L1_5m_body,6,FALLING_MONO,0.11719832086769374,0.005947834376762051,0.14431045540771226
1946,0.8737153134635149,71.78669543630579,0.527235354573484,42.768627954779035,46.22764645426516,L1_5m_body,24,SPIKE_DOWN,4.146689680155128,0.005910461677518852,0.08620758705304543
1962,-1.6192660550458715,72.41132135480164,0.527013251783894,41.78274719673802,48.35639653414883,L1_1m_body,24,SPIKE_DOWN,4.180783737134821,0.005688358887928846,-2.406773781456341
4705,-0.3667375132837407,68.15474459776371,0.5268862911795962,40.3326780021254,44.63708820403826,L2_5m_price_velocity_w,12,SPIKE_DOWN,10.025783630590892,0.005561398283631003,-1.1542452396942102
