**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

cell,tier,regime,direction,n,feature,mfe_mean,mfe_mode,mfe_std,mfe_cv,delta_mean,delta_mode,delta_std,coalescence
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L0_time_of_day,0.5186573011041792,0.6528402728494257,0.2648105554579797,0.5105694162488787,0.0004731463095932095,0.0007060180107752482,0.002877368645446849,0.6620020167515703
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L1_5s_price_velocity_1b,0.26851851851851855,-0.02083333333333215,2.3108299033571593,8.605849295261145,0.6400462962962963,0.22500000000000053,2.316857605577719,0.10410323639923544
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L1_5s_price_accel_1b,0.3645833333333333,0.3624999999999998,3.376783864986525,9.262035743963041,0.33101851851851855,-0.2500000000000009,3.670583246573688,0.0974465520243662
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L1_5s_vol_velocity_1b,-2.0231481481481484,17.5,96.40306214062478,47.650026138157784,5.800925925925926,-5.0,139.15549588923787,0.020554973540202637
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L1_5s_vol_accel_1b,10.76388888888889,35.450000000000045,198.20786131881914,18.414149696716102,16.24074074074074,44.350000000000136,290.57735855216765,0.05150882297817811
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L1_5s_bar_range,2.689814814814815,0.9750000000000001,2.604721134388223,0.9683644836968264,0.17708333333333334,-0.03750000000000009,1.6496198530941066,0.5080359904289063
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L1_5s_body,0.18287037037037038,-0.5249999999999995,2.2759833246988586,12.44588349708743,0.5613425925925926,0.22500000000000053,2.3560400222267064,0.07437220471355521
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L2_5s_price_velocity_9,-0.21939300668115416,0.07175911267598512,1.0006780694519437,4.561121088541524,0.3222736636590626,-0.15972203016281128,0.9003047854060012,0.17981985719758223
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L2_5s_price_accel_9,0.04513888918208303,0.01805553634961443,0.35775498959259716,7.9256489487251445,0.056198560555155076,0.0689814925193788,0.4858938598114627,0.11203667159045401
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L2_5s_vol_velocity_9,-0.08230449183395615,2.22407658894857,13.037040207873227,158.40010572174592,2.7530864014600716,2.455555343627932,25.414154411049108,0.00627352156055425
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L2_5s_vol_accel_9,-1.2664609682849712,1.5444431304931712,16.215036221400478,12.803423577560956,-0.5581276201194635,-2.97591985066731,28.357089597378152,0.07244579537685233
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L2_5s_price_mean_9,25342.519965277777,24851.080859374997,490.5458945534838,0.019356634431997654,0.1037326388888889,-0.5069986979166679,3.793864453560522,0.9810109300531668
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L2_5s_price_sigma_9,2.57911705667222,1.2051580995321274,2.3923267940610753,0.9275758879854192,0.002446699611566685,-0.12904224395751962,1.2857148145490858,0.5187863192484405
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L2_5s_vol_mean_9,91.32047324268906,13.527777377764384,145.78622775272652,1.5964243567298626,-8.904835183311391,9.80554504394533,55.38289219303329,0.3851450543544728
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L2_5s_vol_sigma_9,50.57883250106264,9.720526407162348,76.27766031689079,1.5080945238363939,-10.235317475265926,6.5238911946614735,63.911172991817466,0.39870905601691403
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L2_5s_vwap_9,25342.146547670716,24850.054459635416,490.5825544930881,0.01935836625245067,0.3585159866898148,0.4355468749999982,3.953353067123294,0.9810092633823968
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L3_5s_z_se_9,0.2762936009611521,0.6176675915718077,0.8444306108485421,3.056280014850117,0.16235789773916756,-0.05718345642089839,0.980319649264956,0.24653130364249543
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L3_5s_z_high_9,0.22574031678099782,0.5386105656623841,0.9386594616916728,4.158138320512388,0.08222022152471321,0.007943876584370901,1.061171297641947,0.1938683955068239
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L3_5s_z_low_9,0.19533259796484273,0.19489189386367767,0.9210968971018997,4.715530877583909,0.10541474329376663,-0.01340659459431981,0.9720380244088723,0.17496187518152712
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L3_5s_SE_high_9,1.4413712003302794,0.9322812418142954,1.1946932790769813,0.8288588524616187,-0.07326913059309677,0.16697406768798828,0.8722624812769416,0.5467890529955408
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L3_5s_SE_low_9,1.5163266519429508,0.6041128516197205,1.2864804754679842,0.8484190882086967,-0.2018533166911867,-0.11776189009348492,0.880256661066645,0.5410028528590344
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L3_5s_hurst_9,0.5956131120522817,0.5391219218571981,0.13800599950438638,0.23170409903983527,0.008468715956917516,-0.008512195944786083,0.10081017055816176,0.8118833092944496
CASCADE|FLAT_SMOOTH|long,CASCADE,FLAT_SMOOTH,long,216,L3_5s_reversion_prob_9,0.9722741455943497,0.9835155119498571,0.024395244614680917,0.02509091157594049,0.002250000006622738,-0.0015307754278182928,0.027585905976815494,0.9755232328249144
