tf,c1,c2,regime_2d,n,pearson,p_q4q4,p_q0q0,p_q4q0,p_q0q4,upper_lift,lower_lift,tail_asymmetry,joint_extreme,cross_extreme
5s,price_velocity_1b,vol_velocity_w,UP_CHOPPY,3924,0.026114692530052674,0.06778797145769623,0.04510703363914373,0.0509683995922528,0.059123343527013254,1.6946992864424058,1.1276758409785932,0.5670234454638126,2.822375127420999,2.7522935779816513
5s,price_velocity_1b,vol_velocity_w,DOWN_SMOOTH,4662,-0.028700146818360635,0.06477906477906478,0.04633204633204633,0.053625053625053626,0.0725010725010725,1.6194766194766195,1.1583011583011582,0.46117546117546127,2.7777777777777777,3.153153153153153
5s,price_velocity_1b,vol_velocity_w,DOWN_CHOPPY,2988,0.0032182735933939635,0.06191432396251673,0.03781793842034806,0.04919678714859438,0.0535475234270415,1.5478580990629183,0.9454484605087015,0.6024096385542168,2.4933065595716197,2.568607764390897
5s,price_velocity_1b,vol_velocity_w,FLAT_SMOOTH,9893,-0.04702614123964522,0.07540685333063782,0.0426564237339533,0.05387647831800263,0.05923380167795411,1.8851713332659454,1.0664105933488324,0.8187607399171131,2.951581926614778,2.8277569998989183
5s,price_velocity_1b,vol_velocity_w,FLAT_CHOPPY,18315,-0.03456467049711934,0.066994266994267,0.03947583947583948,0.048867048867048866,0.06464646464646465,1.6748566748566749,0.9868959868959869,0.687960687960688,2.661752661752662,2.8378378378378377
5s,price_velocity_1b,vol_accel_w,UP_SMOOTH,7146,-0.14444944877768617,0.07290792051497341,0.03904282115869018,0.061293031066330814,0.055695493982647636,1.8226980128743353,0.9760705289672544,0.8466274839070809,2.7987685418415897,2.9247131262244612
5s,price_velocity_1b,vol_accel_w,UP_CHOPPY,3924,0.010185157445729981,0.06243628950050968,0.04485219164118247,0.046381243628950054,0.06243628950050968,1.560907237512742,1.1213047910295617,0.43960244648318025,2.6822120285423035,2.7204383282364932
5s,price_velocity_1b,vol_accel_w,DOWN_SMOOTH,4662,-0.04347716513250583,0.060274560274560275,0.038824538824538825,0.052123552123552123,0.06585156585156585,1.506864006864007,0.9706134706134706,0.5362505362505363,2.4774774774774775,2.949377949377949
5s,price_velocity_1b,vol_accel_w,DOWN_CHOPPY,2988,0.026994564956456805,0.06325301204819277,0.035140562248995984,0.045850066934404285,0.055220883534136546,1.5813253012048192,0.8785140562248995,0.7028112449799196,2.459839357429719,2.526773761713521
5s,price_velocity_1b,vol_accel_w,FLAT_SMOOTH,9893,-0.05145227213902397,0.0724754877185889,0.038714242393611646,0.05185484686141716,0.058526230668149194,1.8118871929647224,0.9678560598402911,0.8440311331244313,2.7797432528050137,2.759526938239159
5s,price_velocity_1b,vol_accel_w,FLAT_CHOPPY,18315,-0.03155738505345162,0.06377286377286377,0.040185640185640185,0.047283647283647284,0.05945945945945946,1.5943215943215943,1.0046410046410046,0.5896805896805897,2.598962598962599,2.6685776685776688
5s,price_velocity_1b,price_mean_w,UP_SMOOTH,7146,-0.016839878175505755,0.041981528127623846,0.05751469353484467,0.07276798208788134,0.026028547439126783,1.0495382031905962,1.4378673383711167,-0.3883291351805205,2.4874055415617127,2.469913238175203
5s,price_velocity_1b,price_mean_w,UP_CHOPPY,3924,0.019960080300010213,0.02726809378185525,0.05581039755351682,0.06600407747196738,0.023445463812436288,0.6817023445463812,1.3952599388379205,-0.7135575942915393,2.0769622833843018,2.2362385321100913
5s,price_velocity_1b,price_mean_w,DOWN_SMOOTH,4662,0.031681379577136744,0.039468039468039465,0.061347061347061346,0.06156156156156156,0.035607035607035604,0.9867009867009866,1.5336765336765337,-0.5469755469755471,2.5203775203775205,2.429214929214929
5s,price_velocity_1b,price_mean_w,DOWN_CHOPPY,2988,0.004196445922262523,0.035140562248995984,0.043842034805890225,0.05789825970548862,0.01740294511378849,0.8785140562248995,1.0960508701472556,-0.21753681392235602,1.974564926372155,1.8825301204819278
5s,price_velocity_1b,price_mean_w,FLAT_SMOOTH,9893,-0.0027875724138320635,0.03952289497624583,0.05266349944405135,0.06560194076619832,0.025472556352976853,0.9880723744061457,1.3165874861012836,-0.3285151116951379,2.3046598605074293,2.2768624279793794
5s,price_velocity_1b,price_mean_w,FLAT_CHOPPY,18315,0.012805171168284665,0.029866229866229867,0.05432705432705433,0.060005460005460004,0.022003822003822004,0.7466557466557466,1.3581763581763582,-0.6115206115206115,2.104832104832105,2.0502320502320504
5s,price_velocity_1b,price_sigma_w,UP_SMOOTH,7146,-0.0003303994823063375,0.08270361041141898,0.010635320458998041,0.025328855303666388,0.06451161488944865,2.0675902602854745,0.265883011474951,1.8017072488105235,2.3334732717604254,2.246011754827876
5s,price_velocity_1b,price_sigma_w,UP_CHOPPY,3924,-0.08248101469485426,0.07772680937818552,0.01783893985728848,0.014271151885830785,0.06880733944954129,1.943170234454638,0.445973496432212,1.497196738022426,2.38914373088685,2.0769622833843018
5s,price_velocity_1b,price_sigma_w,DOWN_SMOOTH,4662,-0.11131684797345355,0.07271557271557272,0.010296010296010296,0.022093522093522094,0.07035607035607036,1.8178893178893178,0.2574002574002574,1.5604890604890604,2.0752895752895753,2.3112398112398114
5s,price_velocity_1b,price_sigma_w,DOWN_CHOPPY,2988,-0.019185936655568975,0.06726907630522089,0.007028112449799197,0.022757697456492636,0.06191432396251673,1.6817269076305221,0.1757028112449799,1.5060240963855422,1.857429718875502,2.1168005354752344
5s,price_velocity_1b,price_sigma_w,FLAT_SMOOTH,9893,-0.02747937308631054,0.07338522187405236,0.014858991205903165,0.030021227130294148,0.06347922773678358,1.8346305468513089,0.3714747801475791,1.4631557667037298,2.206105326998888,2.337511371676943
5s,price_velocity_1b,price_sigma_w,FLAT_CHOPPY,18315,-0.0174803565128519,0.0722904722904723,0.009555009555009555,0.016653016653016654,0.06885066885066884,1.8072618072618074,0.23887523887523887,1.5683865683865685,2.046137046137046,2.1375921375921374
5s,price_velocity_1b,vol_mean_w,UP_SMOOTH,7146,-0.11128432550954956,0.07808564231738035,0.02225020990764064,0.0327455919395466,0.05513574027427932,1.9521410579345089,0.556255247691016,1.395885810243493,2.5083963056255247,2.1970333053456477
5s,price_velocity_1b,vol_mean_w,UP_CHOPPY,3924,0.01783591352511187,0.06804281345565749,0.021151885830784912,0.020642201834862386,0.058613659531090725,1.7010703363914372,0.5287971457696228,1.1722731906218145,2.22986748216106,1.981396534148828
5s,price_velocity_1b,vol_mean_w,DOWN_SMOOTH,4662,-0.024855793495198203,0.06563706563706563,0.023595023595023596,0.03453453453453453,0.06413556413556414,1.6409266409266408,0.5898755898755899,1.051051051051051,2.2308022308022304,2.4667524667524665
5s,price_velocity_1b,vol_mean_w,DOWN_CHOPPY,2988,-0.021396165607744412,0.06358768406961178,0.013052208835341365,0.029116465863453816,0.05990629183400268,1.5896921017402945,0.3263052208835341,1.2633868808567605,1.9159973226238285,2.2255689424364125
5s,price_velocity_1b,vol_mean_w,FLAT_SMOOTH,9893,-0.04633111028154691,0.06954412210653997,0.021227130294147377,0.03355908217931871,0.057515414939856464,1.7386030526634992,0.5306782573536845,1.2079247953098147,2.269281310017184,2.2768624279793794
5s,price_velocity_1b,vol_mean_w,FLAT_CHOPPY,18315,-0.015116573658641719,0.06595686595686595,0.024133224133224135,0.031067431067431067,0.06137046137046137,1.6489216489216487,0.6033306033306034,1.0455910455910453,2.2522522522522523,2.310947310947311
5s,price_velocity_1b,vol_sigma_w,UP_SMOOTH,7146,-0.14242098783349802,0.07668625804645955,0.02197033305345648,0.036523929471032744,0.05527567870137139,1.9171564511614887,0.549258326336412,1.3678981248250768,2.4664147774979006,2.2949902043101034
5s,price_velocity_1b,vol_sigma_w,UP_CHOPPY,3924,0.01325078645652733,0.06498470948012232,0.02217125382262997,0.021406727828746176,0.05733944954128441,1.624617737003058,0.5542813455657493,1.0703363914373085,2.1788990825688073,1.9686544342507646
5s,price_velocity_1b,vol_sigma_w,DOWN_SMOOTH,4662,-0.020775340866783912,0.06392106392106392,0.024882024882024883,0.037752037752037754,0.0622050622050622,1.598026598026598,0.622050622050622,0.975975975975976,2.22007722007722,2.4989274989274985
5s,price_velocity_1b,vol_sigma_w,DOWN_CHOPPY,2988,-0.00993895239306289,0.06224899598393574,0.014390896921017403,0.033801874163319943,0.05856760374832664,1.5562248995983934,0.35977242302543505,1.1964524765729583,1.9159973226238285,2.3092369477911645
5s,price_velocity_1b,vol_sigma_w,FLAT_SMOOTH,9893,-0.05524588888401656,0.06853330637824724,0.023349843323562113,0.03780450823814818,0.056201354493075915,1.713332659456181,0.5837460830890528,1.1295865763671282,2.297078742545234,2.3501465682806026
5s,price_velocity_1b,vol_sigma_w,FLAT_CHOPPY,18315,-0.01684274622270094,0.063991263991264,0.02375102375102375,0.03194103194103194,0.05940485940485941,1.5997815997815998,0.5937755937755937,1.006006006006006,2.1935571935571936,2.2836472836472836
5s,price_velocity_1b,vwap_w,UP_SMOOTH,7146,-0.016703534373134477,0.041981528127623846,0.05751469353484467,0.07276798208788134,0.026028547439126783,1.0495382031905962,1.4378673383711167,-0.3883291351805205,2.4874055415617127,2.469913238175203
5s,price_velocity_1b,vwap_w,UP_CHOPPY,3924,0.02005652590020587,0.027522935779816515,0.05606523955147808,0.06574923547400612,0.023445463812436288,0.6880733944954128,1.401630988786952,-0.7135575942915392,2.0897043832823647,2.22986748216106
5s,price_velocity_1b,vwap_w,DOWN_SMOOTH,4662,0.031809951028404115,0.039468039468039465,0.061347061347061346,0.06177606177606178,0.035607035607035604,0.9867009867009866,1.5336765336765337,-0.5469755469755471,2.5203775203775205,2.4345774345774345
5s,price_velocity_1b,vwap_w,DOWN_CHOPPY,2988,0.004274470494460122,0.035140562248995984,0.043842034805890225,0.05823293172690763,0.01740294511378849,0.8785140562248995,1.0960508701472556,-0.21753681392235602,1.974564926372155,1.8908969210174031
5s,price_velocity_1b,vwap_w,FLAT_SMOOTH,9893,-0.0026957244624971387,0.03952289497624583,0.05266349944405135,0.06560194076619832,0.025472556352976853,0.9880723744061457,1.3165874861012836,-0.3285151116951379,2.3046598605074293,2.2768624279793794
5s,price_velocity_1b,vwap_w,FLAT_CHOPPY,18315,0.012906315855701855,0.029866229866229867,0.05432705432705433,0.060005460005460004,0.02205842205842206,0.7466557466557466,1.3581763581763582,-0.6115206115206115,2.104832104832105,2.0515970515970516
5s,price_velocity_1b,z_se_w,UP_SMOOTH,7146,0.537541730869757,0.13881891967534285,0.11027148054855863,0.0012594458438287153,0.0012594458438287153,3.4704729918835713,2.7567870137139656,0.7136859781696057,6.227260005597537,0.06297229219143577
5s,price_velocity_1b,z_se_w,UP_CHOPPY,3924,0.4840322097503373,0.11162079510703364,0.11365953109072376,0.0015290519877675841,0.0010193679918450561,2.790519877675841,2.841488277268094,-0.050968399592252744,5.632008154943935,0.063710499490316
5s,price_velocity_1b,z_se_w,DOWN_SMOOTH,4662,0.5320391337715004,0.1244101244101244,0.11068211068211069,0.0019305019305019305,0.0006435006435006435,3.11025311025311,2.767052767052767,0.34320034320034276,5.8773058773058775,0.06435006435006435
5s,price_velocity_1b,z_se_w,DOWN_CHOPPY,2988,0.6086510496184313,0.1181392235609103,0.09370816599732262,0.001004016064257028,0.0,2.9534805890227576,2.3427041499330654,0.6107764390896921,5.296184738955823,0.0251004016064257
5s,price_velocity_1b,z_se_w,FLAT_SMOOTH,9893,0.61066183653446,0.13736985747498232,0.1068432224805418,0.0011118973011220055,0.000909734155463459,3.4342464368745578,2.671080562013545,0.7631658748610128,6.105326998888103,0.050540786414636614
5s,price_velocity_1b,z_se_w,FLAT_CHOPPY,18315,0.5778662643092656,0.12181272181272182,0.10363090363090363,0.0015288015288015288,0.001365001365001365,3.0453180453180453,2.5907725907725907,0.4545454545454546,5.6360906360906355,0.07234507234507234
5s,price_velocity_1b,z_high_w,UP_SMOOTH,7146,0.3444781893113604,0.1186677861740834,0.0695493982647635,0.018331933949062414,0.010355443604813882,2.966694654352085,1.7387349566190875,1.2279596977329974,4.705429610971173,0.7171844388469073
5s,price_velocity_1b,z_high_w,UP_CHOPPY,3924,0.29148809790578595,0.09480122324159021,0.07262996941896024,0.01529051987767584,0.0127420998980632,2.3700305810397553,1.8157492354740061,0.5542813455657492,4.185779816513762,0.700815494393476
5s,price_velocity_1b,z_high_w,DOWN_SMOOTH,4662,0.2888169406252853,0.10124410124410124,0.06885456885456885,0.01866151866151866,0.015015015015015015,2.531102531102531,1.7213642213642213,0.8097383097383097,4.252466752466752,0.8419133419133419
5s,price_velocity_1b,z_high_w,DOWN_CHOPPY,2988,0.35023275234513745,0.09705488621151272,0.05488621151271754,0.015394912985274432,0.014390896921017403,2.426372155287818,1.3721552878179384,1.0542168674698795,3.7985274431057565,0.7446452476572958
5s,price_velocity_1b,z_high_w,FLAT_SMOOTH,9893,0.3818566780251978,0.11381785100576165,0.0694430405337107,0.017386030526634993,0.011118973011220055,2.8454462751440412,1.7360760133427675,1.1093702618012737,4.581522288486809,0.7126250884463762
5s,price_velocity_1b,z_high_w,FLAT_CHOPPY,18315,0.3571090149019683,0.10161070161070161,0.0665028665028665,0.015506415506415506,0.01304941304941305,2.54026754026754,1.6625716625716627,0.8776958776958774,4.202839202839202,0.7138957138957138
5s,price_velocity_1b,z_low_w,UP_SMOOTH,7146,0.33471058472896875,0.09361880772460117,0.09123985446403582,0.017212426532325777,0.011474951021550517,2.340470193115029,2.2809963616008955,0.05947383151413366,4.621466554715925,0.7171844388469073
5s,price_velocity_1b,z_low_w,UP_CHOPPY,3924,0.30979157644549926,0.07135575942915393,0.09123343527013252,0.012487257900101937,0.012487257900101937,1.783893985728848,2.2808358817533128,-0.4969418960244647,4.064729867482161,0.6243628950050969
5s,price_velocity_1b,z_low_w,DOWN_SMOOTH,4662,0.32216068823281097,0.0812955812955813,0.09244959244959244,0.015873015873015872,0.013942513942513942,2.0323895323895327,2.311239811239811,-0.27885027885027824,4.343629343629344,0.7453882453882453
5s,price_velocity_1b,z_low_w,DOWN_CHOPPY,2988,0.3609869632960004,0.07396251673360107,0.0749665327978581,0.013386880856760375,0.009705488621151271,1.849062918340027,1.8741633199464525,-0.02510040160642557,3.7232262382864794,0.5773092369477911
5s,price_velocity_1b,z_low_w,FLAT_SMOOTH,9893,0.3767545390820561,0.09147882341049227,0.0909734155463459,0.01475790963307389,0.012129788739512787,2.286970585262307,2.2743353886586473,0.012635196603659526,4.561305973920954,0.6721924593146669
5s,price_velocity_1b,z_low_w,FLAT_CHOPPY,18315,0.3686821457286063,0.0811902811902812,0.08632268632268632,0.014359814359814359,0.012612612612612612,2.0297570297570298,2.158067158067158,-0.12831012831012822,4.187824187824187,0.6743106743106743
5s,price_velocity_1b,SE_high_w,UP_SMOOTH,7146,0.02541335202035964,0.08270361041141898,0.018891687657430732,0.026028547439126783,0.06325216904561992,2.0675902602854745,0.4722921914357683,1.5952980688497063,2.539882451721243,2.2320179121186676
5s,price_velocity_1b,SE_high_w,UP_CHOPPY,3924,0.004935348997592059,0.07339449541284404,0.020642201834862386,0.011213047910295617,0.06804281345565749,1.834862385321101,0.5160550458715597,1.3188073394495414,2.3509174311926606,1.9813965341488275
5s,price_velocity_1b,SE_high_w,DOWN_SMOOTH,4662,-0.03795467482199848,0.07421707421707421,0.016087516087516088,0.02252252252252252,0.0694980694980695,1.8554268554268554,0.4021879021879022,1.4532389532389531,2.2576147576147574,2.3005148005148004
5s,price_velocity_1b,SE_high_w,DOWN_CHOPPY,2988,0.008491405333321688,0.07095046854082998,0.013052208835341365,0.0214190093708166,0.060240963855421686,1.7737617135207495,0.3263052208835341,1.4474564926372153,2.1000669344042837,2.041499330655957
5s,price_velocity_1b,SE_high_w,FLAT_SMOOTH,9893,0.03288822896150115,0.07773172950571111,0.021429293439805923,0.029616900838977056,0.057515414939856464,1.9432932376427778,0.535732335995148,1.4075609016476298,2.4790255736379256,2.178307894470838
5s,price_velocity_1b,SE_high_w,FLAT_CHOPPY,18315,0.05261341017003376,0.076003276003276,0.013977613977613977,0.015397215397215397,0.06693966693966694,1.9000819000819,0.3494403494403494,1.5506415506415507,2.2495222495222493,2.0584220584220585
5s,price_velocity_1b,SE_low_w,UP_SMOOTH,7146,-0.07952272882111142,0.08172404142177442,0.009795689896445563,0.03372516092919116,0.06731038343129023,2.0431010355443604,0.24489224741113907,1.7982087881332214,2.2879932829554996,2.5258886090120347
5s,price_velocity_1b,SE_low_w,UP_CHOPPY,3924,-0.061306013498502655,0.06982670744138635,0.01452599388379205,0.018858307849133536,0.07390417940876656,1.7456676860346587,0.36314984709480125,1.3825178389398576,2.10881753312946,2.3190621814475025
5s,price_velocity_1b,SE_low_w,DOWN_SMOOTH,4662,-0.09193798938706525,0.07121407121407121,0.009867009867009866,0.026598026598026597,0.07743457743457743,1.78035178035178,0.24667524667524665,1.5336765336765334,2.0270270270270268,2.600815100815101
5s,price_velocity_1b,SE_low_w,DOWN_CHOPPY,2988,-0.06318335165688954,0.0645917001338688,0.007362784471218206,0.027777777777777776,0.06593038821954485,1.61479250334672,0.18406961178045514,1.4307228915662649,1.7988621151271753,2.3427041499330654
5s,price_velocity_1b,SE_low_w,FLAT_SMOOTH,9893,-0.07735556835400884,0.07176791670878399,0.014858991205903165,0.035580713635904176,0.06499545132922269,1.7941979177195997,0.3714747801475791,1.4227231375720206,2.165672697867179,2.5144041241281716
