tf,c1,c2,regime_2d,n,pearson,p_q4q4,p_q0q0,p_q4q0,p_q0q4,upper_lift,lower_lift,tail_asymmetry,joint_extreme,cross_extreme
5s,price_velocity_1b,price_accel_1b,UP_SMOOTH,7146,0.6877933662969246,0.15841029946823398,0.11950741673663588,0.011894766302826756,0.00811642877134061,3.9602574867058493,2.987685418415897,0.9725720682899524,6.947942905121746,0.5002798768541841
5s,price_velocity_1b,price_accel_1b,UP_CHOPPY,3924,0.7174625825557004,0.12920489296636087,0.1154434250764526,0.007135575942915392,0.007135575942915392,3.2301223241590216,2.886085626911315,0.3440366972477067,6.116207951070336,0.3567787971457696
5s,price_velocity_1b,price_accel_1b,DOWN_SMOOTH,4662,0.7386661476898004,0.14135564135564135,0.12162162162162163,0.007078507078507079,0.007722007722007722,3.5338910338910337,3.040540540540541,0.49335049335049286,6.574431574431575,0.37001287001287003
5s,price_velocity_1b,price_accel_1b,DOWN_CHOPPY,2988,0.7193009731301981,0.1288487282463186,0.10642570281124498,0.006358768406961178,0.007362784471218206,3.221218206157965,2.6606425702811247,0.5605756358768401,5.8818607764390896,0.3430388219544846
5s,price_velocity_1b,price_accel_1b,FLAT_SMOOTH,9893,0.7237661899355657,0.1562721115940564,0.12038815323966441,0.007581117962195492,0.007378954816536945,3.90680278985141,3.00970383099161,0.8970989588597997,6.91650662084302,0.3740018194683109
5s,price_velocity_1b,price_accel_1b,FLAT_CHOPPY,18315,0.7095460268138231,0.14392574392574392,0.11367731367731368,0.007971607971607972,0.008517608517608518,3.598143598143598,2.841932841932842,0.7562107562107561,6.4400764400764405,0.41223041223041224
5s,price_velocity_1b,vol_velocity_1b,UP_SMOOTH,7146,-0.15734762416611703,0.07892527287993283,0.03582423733557235,0.05415617128463476,0.06325216904561992,1.9731318219983207,0.8956059333893087,1.077525888609012,2.868737755387629,2.935208508256367
5s,price_velocity_1b,vol_velocity_1b,UP_CHOPPY,3924,0.01647045465425817,0.07059123343527013,0.04128440366972477,0.045361875637105,0.06345565749235474,1.7647808358817532,1.0321100917431194,0.7326707441386338,2.7968909276248723,2.7204383282364932
5s,price_velocity_1b,vol_velocity_1b,DOWN_SMOOTH,4662,-0.03591068046737856,0.06520806520806521,0.04118404118404118,0.05233805233805234,0.07164307164307164,1.6302016302016302,1.0296010296010296,0.6006006006006006,2.6598026598026596,3.0995280995281
5s,price_velocity_1b,vol_velocity_1b,DOWN_CHOPPY,2988,0.023181426854551823,0.0679384203480589,0.035809906291834004,0.04350736278447122,0.0572289156626506,1.6984605087014726,0.8952476572958501,0.8032128514056225,2.593708165997323,2.5184069611780453
5s,price_velocity_1b,vol_velocity_1b,FLAT_SMOOTH,9893,-0.056447253682223524,0.07631658748610129,0.03841099767512383,0.049428889113514604,0.06398463560092996,1.907914687152532,0.9602749418780957,0.9476397452744364,2.8681896290306277,2.835338117861114
5s,price_velocity_1b,vol_velocity_1b,FLAT_CHOPPY,18315,-0.03681178242623139,0.06661206661206662,0.04051324051324051,0.048211848211848214,0.06355446355446355,1.6653016653016655,1.0128310128310127,0.6524706524706527,2.678132678132678,2.794157794157794
5s,price_velocity_1b,vol_accel_1b,UP_SMOOTH,7146,-0.13787175841295685,0.0764063811922754,0.0382031905961377,0.05639518611810803,0.05793450881612091,1.910159529806885,0.9550797649034425,0.9550797649034425,2.8652392947103276,2.8582423733557234
5s,price_velocity_1b,vol_accel_1b,UP_CHOPPY,3924,0.022083734344544553,0.06294597349643222,0.04485219164118247,0.046381243628950054,0.05530071355759429,1.5736493374108054,1.1213047910295617,0.45234454638124366,2.694954128440367,2.5420489296636086
5s,price_velocity_1b,vol_accel_1b,DOWN_SMOOTH,4662,-0.041007256045914015,0.0637065637065637,0.04247104247104247,0.04954954954954955,0.0637065637065637,1.5926640926640925,1.0617760617760617,0.5308880308880308,2.654440154440154,2.831402831402831
5s,price_velocity_1b,vol_accel_1b,DOWN_CHOPPY,2988,0.028734661858560936,0.06091030789825971,0.038821954484605084,0.04819277108433735,0.050870147255689425,1.5227576974564927,0.970548862115127,0.5522088353413657,2.4933065595716197,2.4765729585006695
5s,price_velocity_1b,vol_accel_1b,FLAT_SMOOTH,9893,-0.04353701736619093,0.06893763266956433,0.03881532396644092,0.051551602142929344,0.06014353583341757,1.7234408167391082,0.9703830991610229,0.7530577175780853,2.693823915900131,2.7923784494086727
5s,price_velocity_1b,vol_accel_1b,FLAT_CHOPPY,18315,-0.025645359934714007,0.06404586404586404,0.04182364182364182,0.04651924651924652,0.05749385749385749,1.6011466011466011,1.0455910455910455,0.5555555555555556,2.6467376467376464,2.6003276003276
5s,price_velocity_1b,bar_range,UP_SMOOTH,7146,0.019251619296525555,0.10005597537083682,0.0,0.0,0.08354324097397145,2.5013993842709206,0.0,2.5013993842709206,2.5013993842709206,2.088581024349286
5s,price_velocity_1b,bar_range,UP_CHOPPY,3924,-0.09841312110218199,0.09250764525993883,0.012232415902140673,0.010448521916411825,0.09021406727828746,2.312691131498471,0.3058103975535168,2.006880733944954,2.6185015290519877,2.516564729867482
5s,price_velocity_1b,bar_range,DOWN_SMOOTH,4662,-0.1725375575810158,0.08043758043758044,0.011368511368511369,0.01866151866151866,0.08901758901758902,2.0109395109395107,0.28421278421278423,1.7267267267267266,2.295152295152295,2.6919776919776917
5s,price_velocity_1b,bar_range,DOWN_CHOPPY,2988,-0.07267853878952653,0.08299866131191433,0.006693440428380187,0.019076305220883535,0.08601070950468541,2.074966532797858,0.16733601070950468,1.9076305220883534,2.2423025435073627,2.627175368139224
5s,price_velocity_1b,bar_range,FLAT_SMOOTH,9893,-0.022237294239065487,0.09612857576063884,0.0,0.0,0.0883452946527848,2.4032143940159707,0.0,2.4032143940159707,2.4032143940159707,2.20863236631962
5s,price_velocity_1b,bar_range,FLAT_CHOPPY,18315,-0.04971643632479384,0.08004368004368004,0.015178815178815178,0.02173082173082173,0.08353808353808354,2.001092001092001,0.3794703794703794,1.6216216216216215,2.3805623805623806,2.631722631722632
5s,price_velocity_1b,body,UP_SMOOTH,7146,0.9145356204955202,0.17618247970892806,0.13741953540442206,0.002378953260565351,0.0015393226980128744,4.404561992723202,3.4354883851105513,0.9690736076126503,7.840050377833753,0.09795689896445564
5s,price_velocity_1b,body,UP_CHOPPY,3924,0.9483012291646798,0.1600407747196738,0.13379204892966362,0.0012742099898063201,0.0028032619775739042,4.001019367991844,3.3448012232415905,0.656218144750254,7.345820591233435,0.1019367991845056
5s,price_velocity_1b,body,DOWN_SMOOTH,4662,0.9142910858408949,0.17095667095667097,0.1525096525096525,0.0019305019305019305,0.0019305019305019305,4.273916773916774,3.812741312741313,0.46117546117546127,8.086658086658087,0.09652509652509653
5s,price_velocity_1b,body,DOWN_CHOPPY,2988,0.9210219886287393,0.16900937081659972,0.13085676037483265,0.0,0.0006693440428380187,4.225234270414993,3.2714190093708164,0.9538152610441766,7.496653279785809,0.01673360107095047
5s,price_velocity_1b,body,FLAT_SMOOTH,9893,0.9021687147621976,0.1841706256949358,0.13565147073688466,0.0020216314565854646,0.0019205498837561912,4.604265642373395,3.3912867684221166,1.2129788739512786,7.995552410795511,0.09855453350854139
5s,price_velocity_1b,body,FLAT_CHOPPY,18315,0.8956148390933214,0.16041496041496042,0.13229593229593228,0.0014742014742014742,0.0017472017472017472,4.010374010374011,3.307398307398307,0.7029757029757038,7.3177723177723175,0.08053508053508053
5s,price_velocity_1b,price_velocity_w,UP_SMOOTH,7146,0.2986675459482684,0.09669745312062693,0.07402742793171005,0.03708368317940106,0.03288553036663868,2.417436328015673,1.850685698292751,0.5667506297229221,4.268122026308424,1.7492303386509938
5s,price_velocity_1b,price_velocity_w,UP_CHOPPY,3924,0.19631545265056285,0.07772680937818552,0.0736493374108053,0.039755351681957186,0.0382262996941896,1.943170234454638,1.8412334352701325,0.10193679918450549,3.7844036697247705,1.9495412844036695
5s,price_velocity_1b,price_velocity_w,DOWN_SMOOTH,4662,0.36507245267726396,0.08236808236808237,0.07550407550407551,0.0444015444015444,0.032175032175032175,2.0592020592020592,1.8876018876018876,0.1716001716001716,3.946803946803947,1.9144144144144146
5s,price_velocity_1b,price_velocity_w,DOWN_CHOPPY,2988,0.33077783646373876,0.08032128514056225,0.0679384203480589,0.027777777777777776,0.024096385542168676,2.0080321285140563,1.6984605087014726,0.30957161981258374,3.706492637215529,1.2968540829986615
5s,price_velocity_1b,price_velocity_w,FLAT_SMOOTH,9893,0.3164393120372482,0.08470635803093096,0.07480036389366218,0.0385120792479531,0.027898514100879408,2.117658950773274,1.8700090973415544,0.24764985343171952,3.9876680481148283,1.6602648337208126
5s,price_velocity_1b,price_velocity_w,FLAT_CHOPPY,18315,0.2897766085697272,0.08392028392028392,0.073000273000273,0.03543543543543543,0.033087633087633087,2.098007098007098,1.8250068250068248,0.2730002730002732,3.9230139230139227,1.7130767130767128
5s,price_velocity_1b,price_accel_w,UP_SMOOTH,7146,0.6551281564599399,0.1486146095717884,0.10943184998600616,0.015533165407220823,0.014413657990484188,3.71536523929471,2.735796249650154,0.9795689896445561,6.451161488944864,0.7486705849426253
5s,price_velocity_1b,price_accel_w,UP_CHOPPY,3924,0.6468366902186754,0.12538226299694188,0.10448521916411825,0.013761467889908258,0.011722731906218144,3.134556574923547,2.612130479102956,0.5224260958205909,5.746687054026503,0.63710499490316
5s,price_velocity_1b,price_accel_w,DOWN_SMOOTH,4662,0.6832622130102686,0.12977262977262977,0.11218361218361218,0.014371514371514372,0.013513513513513514,3.244315744315744,2.8045903045903047,0.4397254397254393,6.048906048906049,0.6971256971256972
5s,price_velocity_1b,price_accel_w,DOWN_CHOPPY,2988,0.660939882783081,0.13119143239625167,0.0967202141900937,0.011713520749665328,0.008366800535475234,3.2797858099062918,2.4180053547523426,0.8617804551539492,5.697791164658634,0.5020080321285141
5s,price_velocity_1b,price_accel_w,FLAT_SMOOTH,9893,0.6349232380659244,0.1449509754371778,0.10623673304356616,0.012635196603659153,0.010916809865561507,3.623774385929445,2.655918326089154,0.9678560598402908,6.2796927120185995,0.5888001617305165
5s,price_velocity_1b,price_accel_w,FLAT_CHOPPY,18315,0.6384669172043458,0.1319137319137319,0.10341250341250341,0.013977613977613977,0.01425061425061425,3.2978432978432974,2.585312585312585,0.7125307125307123,5.883155883155883,0.7057057057057057
5s,price_velocity_1b,vol_velocity_w,UP_SMOOTH,7146,-0.15423845670723,0.07472712006717044,0.04086202071088721,0.060733277357962495,0.05877413937867338,1.868178001679261,1.0215505177721802,0.8466274839070809,2.8897285194514413,2.987685418415897
