tf,c1,c2,regime_2d,n,pearson,p_q4q4,p_q0q0,p_q4q0,p_q0q4,upper_lift,lower_lift,tail_asymmetry,joint_extreme,cross_extreme,abs_asym
1h,price_mean_w,swing_noise_w,UP_CHOPPY,3924,-0.8694249080221136,0.0,0.0,0.14984709480122324,0.16819571865443425,0.0,0.0,0.0,0.0,7.951070336391437,0.0
1h,vwap_w,swing_noise_w,UP_CHOPPY,3924,-0.8671043998006501,0.0,0.0,0.14984709480122324,0.16819571865443425,0.0,0.0,0.0,0.0,7.951070336391437,0.0
1h,price_mean_w,SE_high_w,UP_CHOPPY,3924,-0.7849545306576385,0.0,0.0030581039755351682,0.12232415902140673,0.1437308868501529,0.0,0.0764525993883792,-0.0764525993883792,0.0764525993883792,6.651376146788991,0.0764525993883792
1h,vwap_w,SE_high_w,UP_CHOPPY,3924,-0.7773071176890065,0.0,0.0030581039755351682,0.12232415902140673,0.1437308868501529,0.0,0.0764525993883792,-0.0764525993883792,0.0764525993883792,6.651376146788991,0.0764525993883792
1h,price_velocity_w,price_sigma_w,DOWN_SMOOTH,4662,-0.8375531557001227,0.007722007722007722,0.0,0.07979407979407979,0.16473616473616473,0.19305019305019305,0.0,0.19305019305019305,0.19305019305019305,6.113256113256114,0.19305019305019305
15m,vwap_w,swing_noise_w,DOWN_CHOPPY,2988,-0.5410483034083853,0.0,0.0,0.11613119143239625,0.1107764390896921,0.0,0.0,0.0,0.0,5.672690763052209,0.0
15m,price_mean_w,swing_noise_w,DOWN_CHOPPY,2988,-0.5398023138468462,0.0,0.0,0.1141231593038822,0.10876840696117805,0.0,0.0,0.0,0.0,5.572289156626506,0.0
1h,price_sigma_w,vwap_w,DOWN_CHOPPY,2988,-0.555020437054438,0.0,0.0,0.08433734939759036,0.13253012048192772,0.0,0.0,0.0,0.0,5.421686746987952,0.0
15m,price_mean_w,swing_noise_w,FLAT_SMOOTH,9804,-0.39010962369171565,0.0003059975520195838,0.0003059975520195838,0.0904732762137903,0.12056303549571604,0.007649938800489595,0.007649938800489595,0.0,0.01529987760097919,5.275907792737659,0.0
1h,vwap_w,SE_low_w,UP_CHOPPY,3924,-0.7160255482456639,0.0,0.0,0.07951070336391437,0.13149847094801223,0.0,0.0,0.0,0.0,5.275229357798165,0.0
15m,vwap_w,swing_noise_w,FLAT_SMOOTH,9804,-0.3857494062282542,0.0003059975520195838,0.0003059975520195838,0.09016727866177071,0.12025703794369645,0.007649938800489595,0.007649938800489595,0.0,0.01529987760097919,5.26060791513668,0.0
15m,vwap_w,swing_noise_w,UP_CHOPPY,3924,-0.6797644233919948,0.0,0.0,0.08409785932721713,0.12487257900101936,0.0,0.0,0.0,0.0,5.224260958205912,0.0
15m,price_mean_w,swing_noise_w,UP_CHOPPY,3924,-0.6815835357187896,0.0,0.0,0.08409785932721713,0.12487257900101936,0.0,0.0,0.0,0.0,5.224260958205912,0.0
1h,price_mean_w,swing_noise_w,DOWN_CHOPPY,2988,-0.6747656803514555,0.0,0.0,0.11244979919678715,0.0963855421686747,0.0,0.0,0.0,0.0,5.220883534136546,0.0
