tf,c1,c2,regime_2d,n,pearson,p_q4q4,p_q0q0,p_q4q0,p_q0q4,upper_lift,lower_lift,tail_asymmetry,joint_extreme,cross_extreme,abs_asym
1m,z_se_w,reversion_prob_w,UP_SMOOTH,7146,-0.026913610625230677,0.0,0.09599776098516653,0.10397425132941505,0.0,0.0,2.3999440246291632,-2.3999440246291632,2.3999440246291632,2.5993562832353763,2.3999440246291632
5s,z_se_w,reversion_prob_w,UP_CHOPPY,3924,-0.013016875703309541,0.0,0.09582059123343527,0.10423037716615698,0.0,0.0,2.3955147808358817,-2.3955147808358817,2.3955147808358817,2.6057594291539243,2.3955147808358817
5m,bar_range,body,UP_CHOPPY,3924,0.19017251220880027,0.09531090723751275,0.0,0.08129459734964323,0.0,2.3827726809378187,0.0,2.3827726809378187,2.3827726809378187,2.0323649337410807,2.3827726809378187
1m,bar_range,body,UP_SMOOTH,7146,0.36683779411218215,0.09529806884970612,0.0,0.07920514973411699,0.0,2.3824517212426533,0.0,2.3824517212426533,2.3824517212426533,1.9801287433529247,2.3824517212426533
5s,vol_velocity_1b,bar_range,DOWN_CHOPPY,2988,0.2627146719362692,0.10843373493975904,0.013386880856760375,0.0,0.05923694779116466,2.710843373493976,0.33467202141900937,2.3761713520749663,3.0455153949129854,1.4809236947791165,2.3761713520749663
5m,price_velocity_1b,bar_range,UP_CHOPPY,3924,0.1905070734150508,0.09505606523955148,0.00025484199796126404,0.0,0.08078491335372069,2.376401630988787,0.006371049949031601,2.3700305810397553,2.3827726809378187,2.0196228338430173,2.3700305810397553
1h,price_velocity_w,swing_noise_w,UP_CHOPPY,3924,0.25819279891100105,0.12232415902140673,0.027522935779816515,0.0030581039755351682,0.039755351681957186,3.058103975535168,0.6880733944954128,2.3700305810397553,3.746177370030581,1.0703363914373087,2.3700305810397553
1m,price_velocity_1b,bar_range,UP_SMOOTH,7146,0.3647031138199267,0.09515813042261405,0.000559753708368318,0.0008396305625524769,0.07962496501539322,2.378953260565351,0.013993842709207949,2.3649594178561433,2.392947103274559,2.0116148894486425,2.3649594178561433
1h,vol_velocity_1b,bar_range,UP_CHOPPY,3924,0.2894865018710699,0.1162079510703364,0.02166156982670744,0.0,0.05198776758409786,2.90519877675841,0.541539245667686,2.363659531090724,3.446738022426096,1.2996941896024463,2.363659531090724
15m,price_accel_1b,bar_range,UP_CHOPPY,3924,-0.03329900424754007,0.09683995922528033,0.0022935779816513763,0.0015290519877675841,0.07084607543323139,2.420998980632008,0.05733944954128441,2.3636595310907236,2.4783384301732925,1.8093781855249742,2.3636595310907236
1m,price_velocity_w,swing_noise_w,UP_SMOOTH,7146,0.4548139720421221,0.09991603694374475,0.0054575986565911,0.0,0.060453400503778336,2.4979009235936185,0.1364399664147775,2.361460957178841,2.6343408900083958,1.5113350125944585,2.361460957178841
15m,vol_velocity_w,price_sigma_w,UP_SMOOTH,7146,0.13142454474574972,0.10551357402742793,0.011335012594458438,0.005877413937867338,0.04659949622166247,2.6378393506856983,0.28337531486146095,2.3544640358242375,2.921214665547159,1.3119227539882452,2.3544640358242375
5s,vol_accel_1b,vol_sigma_w,DOWN_SMOOTH,4662,0.6545269571120257,0.09673959673959674,0.0027885027885027887,0.0,0.06971256971256971,2.4184899184899185,0.06971256971256971,2.348777348777349,2.488202488202488,1.7428142428142428,2.348777348777349
1m,z_low_w,reversion_prob_w,DOWN_SMOOTH,4662,0.16326963202915673,0.007722007722007722,0.10102960102960103,0.07057057057057058,0.007293007293007293,0.19305019305019305,2.5257400257400255,-2.3326898326898324,2.7187902187902186,1.9465894465894467,2.3326898326898324
1h,vol_velocity_1b,vol_velocity_w,FLAT_CHOPPY,18315,0.21069811424590107,0.10221130221130222,0.009172809172809172,0.012448812448812449,0.06945126945126945,2.5552825552825555,0.2293202293202293,2.325962325962326,2.784602784602785,2.0475020475020473,2.325962325962326
5s,vol_accel_1b,vol_sigma_w,FLAT_CHOPPY,18315,0.5417034602669404,0.09544089544089544,0.0025116025116025116,0.0,0.07152607152607153,2.386022386022386,0.06279006279006279,2.3232323232323235,2.4488124488124487,1.7881517881517883,2.3232323232323235
15m,vol_velocity_w,SE_low_w,DOWN_SMOOTH,4662,0.0971519414171083,0.09716859716859717,0.0045045045045045045,0.003861003861003861,0.05727155727155727,2.4292149292149294,0.11261261261261261,2.316602316602317,2.541827541827542,1.5283140283140282,2.316602316602317
5s,vol_accel_1b,vol_sigma_w,UP_CHOPPY,3924,0.6834968538160882,0.0963302752293578,0.00382262996941896,0.0,0.07033639143730887,2.408256880733945,0.095565749235474,2.312691131498471,2.5038226299694193,1.7584097859327217,2.312691131498471
5s,vol_accel_1b,vol_sigma_w,DOWN_CHOPPY,2988,0.7243077922068599,0.09605087014725569,0.003681392235609103,0.0,0.07262382864792503,2.4012717536813923,0.09203480589022757,2.309236947791165,2.4933065595716197,1.8155957161981258,2.309236947791165
5s,price_velocity_w,price_sigma_w,UP_SMOOTH,7146,0.2966894701805443,0.09557794570389029,0.0032185838231178284,0.002938706968933669,0.07612650433809123,2.3894486425972574,0.0804645955779457,2.3089840470193117,2.469913238175203,1.9766302826756226,2.3089840470193117
1h,vol_velocity_1b,vol_velocity_w,UP_CHOPPY,3924,0.22169721024530206,0.09785932721712538,0.0061162079510703364,0.009174311926605505,0.0672782874617737,2.4464831804281344,0.1529051987767584,2.293577981651376,2.5993883792048926,1.91131498470948,2.293577981651376
1h,z_se_w,reversion_prob_w,UP_CHOPPY,3924,-0.2083165350650801,0.0,0.09174311926605505,0.10703363914373089,0.0,0.0,2.293577981651376,-2.293577981651376,2.293577981651376,2.675840978593272,2.293577981651376
1h,bar_range,body,UP_CHOPPY,3924,0.3884329139365069,0.09785932721712538,0.0061162079510703364,0.06116207951070336,0.0,2.4464831804281344,0.1529051987767584,2.293577981651376,2.5993883792048926,1.529051987767584,2.293577981651376
1m,z_low_w,reversion_prob_w,FLAT_SMOOTH,9890,0.15538425619936339,0.0074823053589484325,0.09919110212335693,0.07249747219413549,0.008594539939332659,0.1870576339737108,2.479777553083923,-2.2927199191102123,2.6668351870576337,2.0273003033367036,2.2927199191102123
1m,bar_range,body,UP_CHOPPY,3924,-0.2547203984829027,0.09148827726809378,0.0,0.08511722731906218,0.0,2.2872069317023445,0.0,2.2872069317023445,2.2872069317023445,2.1279306829765545,2.2872069317023445
5s,vol_accel_1b,vol_mean_w,FLAT_CHOPPY,18315,0.4629427829847378,0.09615069615069614,0.005350805350805351,0.000546000546000546,0.07392847392847393,2.4037674037674037,0.13377013377013378,2.26999726999727,2.5375375375375375,1.8618618618618619,2.26999726999727
1m,price_velocity_1b,bar_range,UP_CHOPPY,3924,-0.253728610277944,0.09123343527013252,0.0005096839959225281,0.00025484199796126404,0.08486238532110092,2.2808358817533128,0.012742099898063202,2.2680937818552493,2.293577981651376,2.1279306829765545,2.2680937818552493
5s,vol_accel_1b,bar_range,UP_CHOPPY,3924,0.22335125158377922,0.10499490316004077,0.014780835881753314,0.0010193679918450561,0.06192660550458716,2.6248725790010194,0.36952089704383284,2.255351681957187,2.994393476044852,1.5736493374108054,2.255351681957187
15m,bar_range,vol_velocity_w,DOWN_SMOOTH,4662,0.3761970372337772,0.11583011583011583,0.02574002574002574,0.04247104247104247,0.0,2.8957528957528957,0.6435006435006434,2.2522522522522523,3.539253539253539,1.0617760617760617,2.2522522522522523
5s,bar_range,body,DOWN_CHOPPY,2988,-0.07964254499021386,0.09002677376171352,0.0,0.09303882195448461,0.0,2.250669344042838,0.0,2.250669344042838,2.250669344042838,2.325970548862115,2.250669344042838
1m,bar_range,vol_velocity_w,FLAT_SMOOTH,9890,0.2963342195686826,0.10920121334681497,0.019211324570273004,0.05470171890798787,0.00030333670374115267,2.730030333670374,0.48028311425682507,2.2497472194135493,3.210313447927199,1.3751263902932254,2.2497472194135493
1h,vol_velocity_1b,bar_range,FLAT_SMOOTH,9870,0.27174668671479396,0.10699088145896657,0.017122593718338398,0.0012158054711246201,0.05592705167173252,2.674772036474164,0.4280648429584599,2.246707193515704,3.102836879432624,1.4285714285714284,2.246707193515704
