date,open,close,high,low,n_bars,first_dt,last_dt,close_diff_sum,range,net_move,directional_strength,efficiency_ratio,atr_20d,range_expansion,regime,direction_axis,variation_axis,regime_2d,split
2025-01-01,21273.25,21357.0,21398.5,21121.0,540,2025-01-01 23:00:00+00:00,2025-01-02 07:59:00+00:00,1999.5,277.5,83.75,0.3018018018018018,0.0418854713678419,,,UNKNOWN,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-01-02,21358.0,21245.75,21490.75,20983.25,1380,2025-01-02 08:00:00+00:00,2025-01-03 07:59:00+00:00,8030.25,507.5,-112.25,0.2211822660098522,0.0139783941969428,,,UNKNOWN,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-01-03,21245.75,21490.25,21559.25,21208.25,840,2025-01-03 08:00:00+00:00,2025-01-03 21:59:00+00:00,3829.0,351.0,244.5,0.6965811965811965,0.0638547923739879,,,UNKNOWN,UP,SMOOTH,UP_SMOOTH,IS
2025-01-05,21532.0,21565.75,21576.75,21478.75,540,2025-01-05 23:00:00+00:00,2025-01-06 07:59:00+00:00,1024.0,98.0,33.75,0.3443877551020408,0.032958984375,,,UNKNOWN,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-01-06,21565.25,21729.25,21897.0,21564.25,1380,2025-01-06 08:00:00+00:00,2025-01-07 07:59:00+00:00,5415.0,332.75,164.0,0.492862509391435,0.0302862419205909,313.35,1.0619116004467846,TRANSITIONAL,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-01-07,21729.0,21390.75,21806.25,21279.5,1380,2025-01-07 08:00:00+00:00,2025-01-08 07:59:00+00:00,5943.25,526.75,-338.25,0.6421452301850973,0.0569133050098851,348.9166666666667,1.5096727967518508,DOWN,DOWN,SMOOTH,DOWN_SMOOTH,IS
2025-01-08,21390.0,21249.25,21448.25,21166.0,1380,2025-01-08 08:00:00+00:00,2025-01-09 07:59:00+00:00,7328.5,282.25,-140.75,0.4986713906111603,0.0192058402128675,339.3928571428572,0.8316321161738398,TRANSITIONAL,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-01-09,21249.25,21270.75,21335.0,21179.0,930,2025-01-09 08:00:00+00:00,2025-01-10 07:59:00+00:00,2819.25,156.0,21.5,0.1378205128205128,0.0076261417043539,316.46875,0.4929396662387676,QUIET,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-01-10,21269.0,20996.25,21372.5,20874.75,840,2025-01-10 08:00:00+00:00,2025-01-10 21:59:00+00:00,5996.75,497.75,-272.75,0.5479658463083877,0.0454829699420519,336.6111111111111,1.4787093579798647,TRANSITIONAL,DOWN,CHOPPY,DOWN_CHOPPY,IS
2025-01-12,21027.5,20882.0,21037.0,20857.25,540,2025-01-12 23:00:00+00:00,2025-01-13 07:59:00+00:00,1923.25,179.75,-145.5,0.8094575799721836,0.0756531912127908,320.925,0.5600997117706629,TRANSITIONAL,DOWN,SMOOTH,DOWN_SMOOTH,IS
2025-01-13,20882.25,21059.75,21088.75,20693.5,1380,2025-01-13 08:00:00+00:00,2025-01-14 07:59:00+00:00,6480.0,395.25,177.5,0.4490828589500316,0.0273919753086419,327.6818181818182,1.206200582605077,TRANSITIONAL,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-01-14,21060.0,20934.75,21143.75,20773.25,1380,2025-01-14 08:00:00+00:00,2025-01-15 07:59:00+00:00,6066.25,370.5,-125.25,0.3380566801619433,0.0206470224603338,331.25,1.1184905660377358,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-01-15,20935.5,21555.75,21560.0,20908.75,1380,2025-01-15 08:00:00+00:00,2025-01-16 07:59:00+00:00,5338.25,651.25,620.25,0.9523992322456812,0.1161897625626375,355.86538461538464,1.8300459335314776,UP,UP,SMOOTH,UP_SMOOTH,IS
2025-01-16,21555.75,21276.0,21566.75,21171.75,1380,2025-01-16 08:00:00+00:00,2025-01-17 07:59:00+00:00,5751.5,395.0,-279.75,0.7082278481012658,0.0486394853516473,358.6607142857143,1.1013193925815286,DOWN,DOWN,CHOPPY,DOWN_CHOPPY,IS
2025-01-17,21275.75,21590.25,21680.0,21271.5,840,2025-01-17 08:00:00+00:00,2025-01-17 21:59:00+00:00,3938.0,408.5,314.5,0.769889840881273,0.0798628745556119,361.98333333333335,1.1285049956259496,UP,UP,SMOOTH,UP_SMOOTH,IS
2025-01-19,21601.0,21621.5,21631.25,21527.25,540,2025-01-19 23:00:00+00:00,2025-01-20 07:59:00+00:00,1198.75,104.0,20.5,0.1971153846153846,0.0171011470281543,345.859375,0.3007002484752654,QUIET,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-01-20,21621.25,21635.75,21780.0,21370.25,1140,2025-01-20 08:00:00+00:00,2025-01-21 07:59:00+00:00,4819.75,409.75,14.5,0.0353874313605857,0.0030084547953732,349.61764705882354,1.1719946159670227,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-01-21,21635.75,21854.75,21877.0,21525.5,1380,2025-01-21 08:00:00+00:00,2025-01-22 07:59:00+00:00,4888.5,351.5,219.0,0.6230440967283073,0.0447990181037128,349.72222222222223,1.0050833995234312,UP,UP,CHOPPY,UP_CHOPPY,IS
2025-01-22,21854.0,21920.5,22094.0,21850.0,1380,2025-01-22 08:00:00+00:00,2025-01-23 07:59:00+00:00,3581.75,244.0,66.5,0.2725409836065574,0.0185663432679556,344.1578947368421,0.7089769077840649,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-01-23,21920.75,21986.0,22059.0,21855.5,1380,2025-01-23 08:00:00+00:00,2025-01-24 07:59:00+00:00,3874.0,203.5,65.25,0.3206388206388206,0.0168430562725864,337.125,0.603633667037449,CHOP,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-01-24,21986.0,21908.5,22078.0,21843.25,840,2025-01-24 08:00:00+00:00,2025-01-24 21:59:00+00:00,2926.0,234.75,-77.5,0.3301384451544196,0.0264866712235133,334.9875,0.7007724168812269,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-01-26,21773.75,21284.0,21774.0,21283.0,540,2025-01-26 23:00:00+00:00,2025-01-27 07:59:00+00:00,2433.0,491.0,-489.75,0.9974541751527496,0.2012946979038224,334.1625,1.4693450043017993,DOWN,DOWN,SMOOTH,DOWN_SMOOTH,IS
2025-01-27,21284.75,21340.75,21418.0,20763.75,1380,2025-01-27 08:00:00+00:00,2025-01-28 07:59:00+00:00,9926.75,654.25,56.0,0.0855941918226977,0.0056413226886946,349.325,1.872897731339011,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-01-28,21340.75,21669.5,21686.0,21160.75,1380,2025-01-28 08:00:00+00:00,2025-01-29 07:59:00+00:00,5881.0,525.25,328.75,0.6258924321751547,0.0559003570821288,370.6875,1.416961726521666,UP,UP,SMOOTH,UP_SMOOTH,IS
2025-01-29,21669.5,21662.25,21697.25,21368.0,1380,2025-01-29 08:00:00+00:00,2025-01-30 07:59:00+00:00,7212.25,329.25,-7.25,0.0220197418375094,0.0010052341502305,370.5125,0.888633986707601,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-01-30,21662.0,21789.0,21807.25,21419.0,1380,2025-01-30 08:00:00+00:00,2025-01-31 07:59:00+00:00,6399.5,388.25,127.0,0.3271088216355441,0.0198453004140948,363.5875,1.067830989789253,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
