trade_id,time,timestamp,dir,entry_price,exit_price,pnl,exit,held,peak,entry_z,entry_vr,entry_dmi,entry_vol,entry_hurst,exit_z,exit_vr,exit_dmi,exit_z_5m,exit_z_15m,exit_z_1h,exit_dmi_1h,approach_length,path_length,regret_peak_pnl,regret_peak_bar,regret_breakeven_bar,regret_peak_time_min,regret_lifespan_min,day
0,12:36,1735821360.0,long,21473.5,21479.25,11.5,opposite_extreme,152,20.0,-2.1020734310150146,0.10654988139867783,5.103719234466553,0.6706625819206238,0.5791825652122498,1.3767470121383667,0.17437393963336945,-0.40218231081962585,-1.1353726387023926,-0.061466772109270096,0.0,0.0,10,153,16.5,13,20,1.0833333333333333,1.6666666666666667,2025_01_02
1,20:35,1735850100.0,short,21186.75,21138.0,97.5,opposite_extreme,48,97.5,2.534815549850464,0.3477112054824829,10.035786628723145,2.211949348449707,0.7783665060997009,-2.282825469970703,0.4420516788959503,-3.6682238578796387,-1.459633231163025,1.0577937364578247,-0.4472173750400543,-11.527509689331055,10,49,128.5,54,314,4.5,26.166666666666668,2025_01_02
0,11:57,1735905420.0,long,21239.0,21245.25,12.5,momentum_exhausted,61,16.5,-2.193406581878662,0.28087660670280457,-7.978689670562744,2.787734031677246,0.5733266472816467,0.3857763111591339,0.29240885376930237,0.2721010744571686,0.9622946381568909,-0.4026431441307068,0.11940068006515503,-3.520366668701172,10,62,22.0,19,31,1.5833333333333333,2.5833333333333335,2025_01_03
1,15:38,1735918680.0,short,21322.25,21347.5,-50.5,opposite_extreme,168,0.0,2.6052303314208984,0.5383830666542053,-8.815315246582031,1.1971516609191895,0.802322506904602,-1.037057638168335,0.43887701630592346,-5.423798084259033,-0.7652446031570435,0.6857315301895142,1.0882976055145264,12.389228820800781,10,169,0.0,0,-1,0.0,-1.0,2025_01_03
2,21:03,1735938180.0,short,21513.75,21492.75,42.0,opposite_extreme,96,42.0,2.7926249504089355,0.791537344455719,4.940367221832275,2.637432813644409,0.8002501726150513,-1.0210715532302856,0.6837755441665649,-3.2841615676879883,-0.13419213891029358,-1.8015426397323608,-0.03854571282863617,15.219982147216797,10,97,72.5,327,-1,27.25,-1.0,2025_01_03
0,21:10,1736284200.0,short,21348.25,21382.25,-68.0,momentum_exhausted,360,71.0,2.7967722415924072,0.4737595319747925,7.32456111907959,2.382829427719116,0.7998540997505188,-0.7120117545127869,0.0889204889535904,10.987250328063965,1.6595510244369507,0.7349993586540222,-0.6458760499954224,-27.050983428955078,10,361,4.0,649,651,54.083333333333336,54.25,2025_01_07
0,03:33,1736307180.0,short,21404.5,21400.5,8.0,opposite_extreme,146,8.0,2.0108442306518555,0.4936724901199341,-11.97633171081543,1.658052921295166,0.8358622789382935,-1.1227120161056519,0.32814955711364746,-6.218660831451416,-0.1890854388475418,-1.5037518739700317,0.9621453285217285,-21.26067352294922,10,147,18.0,10,43,0.8333333333333334,3.5833333333333335,2025_01_08
1,21:04,1736370240.0,short,21385.75,21361.0,49.5,opposite_extreme,48,49.5,2.3020131587982178,0.8991543054580688,11.077320098876953,2.25417160987854,0.579854428768158,-1.5255829095840454,0.6815611124038696,-5.413895606994629,1.1017166376113892,0.058533746749162674,0.19752778112888336,-13.838709831237793,10,49,156.0,398,-1,33.166666666666664,-1.0,2025_01_08
0,12:48,1736426880.0,long,21291.0,21302.25,22.5,opposite_extreme,90,22.5,-2.0926413536071777,0.5166916847229004,-9.365668296813965,1.2859008312225342,0.7372183203697205,1.7563763856887817,0.5722962617874146,0.5091922879219055,0.6068788766860962,-0.16405528783798218,0.5549824237823486,-17.04668426513672,10,91,85.5,555,811,46.25,67.58333333333333,2025_01_09
0,07:39,1736753940.0,short,20889.25,20877.25,24.0,opposite_extreme,157,24.0,2.0999598503112793,0.46857962012290955,-10.995748519897461,1.1204755306243896,0.6563567519187927,-1.2420412302017212,0.2801257371902466,-2.8797757625579834,-1.1229914426803589,-0.5233401656150818,0.5348933935165405,-19.103431701660156,10,158,30.5,23,106,1.9166666666666667,8.833333333333334,2025_01_13
0,03:22,1736911320.0,short,20943.5,20940.25,6.5,momentum_exhausted,58,11.0,2.2302472591400146,0.5721341371536255,16.0128116607666,2.814955949783325,0.6632335186004639,-0.6673678159713745,0.3477795720100403,4.302570343017578,1.2487883567810059,0.17034406960010529,0.6608017683029175,-0.5051539540290833,10,59,32.0,309,605,25.75,50.416666666666664,2025_01_15
1,05:37,1736919420.0,short,20949.25,20944.75,9.0,momentum_exhausted,55,12.5,2.0972070693969727,0.928621768951416,17.52432632446289,3.2742857933044434,0.7628393769264221,-0.5274725556373596,0.7412393093109131,-1.8269490003585815,-0.88043212890625,1.2692458629608154,0.7198429703712463,-0.5575533509254456,10,56,18.0,213,293,17.75,24.416666666666668,2025_01_15
2,11:48,1736941680.0,short,21005.0,20999.0,12.0,opposite_extreme,24,12.0,2.0032787322998047,0.6493480205535889,35.41038513183594,5.1368207931518555,0.6144434809684753,-1.4914379119873047,0.4641770124435425,24.798555374145508,1.4535152912139893,1.5208680629730225,0.7839205265045166,4.580981254577637,10,25,27.5,46,85,3.8333333333333335,7.083333333333333,2025_01_15
3,12:02,1736942520.0,long,20995.75,21006.5,21.5,momentum_exhausted,140,26.0,-2.1590540409088135,0.35755497217178345,21.297195434570312,1.8575770854949951,0.6885755062103271,0.34831181168556213,0.30941280722618103,6.541934967041016,-0.09804718941450119,1.6020580530166626,0.47560665011405945,4.516900539398193,10,141,39.5,94,232,7.833333333333333,19.333333333333332,2025_01_15
4,12:59,1736945940.0,long,21000.5,20997.25,-6.5,opposite_extreme,115,3.0,-2.103935956954956,0.4226870834827423,3.6111702919006348,0.6281854510307312,0.777861475944519,1.1539454460144043,0.575859785079956,-5.026473045349121,-0.7106695771217346,-0.4875069856643677,0.47560665011405945,4.516900539398193,10,116,3.0,14,16,1.1666666666666667,1.3333333333333333,2025_01_15
0,11:06,1737025560.0,long,21488.5,21501.75,26.5,opposite_extreme,71,29.0,-2.171325206756592,0.31021615862846375,-10.90331745147705,2.313386917114258,0.5365903377532959,1.0598258972167969,0.2732725143432617,-2.306138515472412,-0.28893303871154785,-0.4573066830635071,-0.041411153972148895,17.562393188476562,10,72,37.0,24,143,2.0,11.916666666666666,2025_01_16
1,17:59,1737050340.0,short,21398.0,21385.5,25.0,opposite_extreme,144,34.0,2.006192922592163,0.18237769603729248,5.919180870056152,0.7411654591560364,0.8282142281532288,-1.0097836256027222,0.5505744218826294,0.4237039387226105,-0.43095311522483826,0.18997690081596375,-1.227407455444336,3.3107998371124268,10,145,30.0,12,54,1.0,4.5,2025_01_16
2,23:07,1737068820.0,short,21224.75,21210.5,28.5,opposite_extreme,69,28.5,2.0363011360168457,0.47423556447029114,16.583839416503906,1.5580568313598633,0.6717689037322998,-2.432185173034668,0.5296816825866699,-1.7369256019592285,1.1368812322616577,0.21047818660736084,-0.9664216637611389,-12.456936836242676,10,70,30.0,11,84,0.9166666666666666,7.0,2025_01_16
0,00:11,1737072660.0,short,21237.75,21235.5,4.5,opposite_extreme,112,6.0,2.5119500160217285,0.671532928943634,7.861491680145264,3.3873085975646973,0.7274216413497925,-1.97044038772583,0.36204907298088074,2.9056293964385986,-1.1496891975402832,0.7729777693748474,-0.5452860593795776,-12.059948921203613,1,113,20.5,75,193,6.25,16.083333333333332,2025_01_17
1,02:08,1737079680.0,long,21268.5,21268.0,-1.0,momentum_exhausted,139,8.0,-2.203974962234497,0.17310063540935516,19.142988204956055,1.2224669456481934,0.6888905763626099,0.049779269844293594,0.17360316216945648,6.312155723571777,-0.39311501383781433,0.8646755814552307,0.3752363622188568,-7.507705211639404,10,140,29.0,154,272,12.833333333333334,22.666666666666668,2025_01_17
2,05:33,1737091980.0,short,21307.75,21305.0,5.5,momentum_exhausted,34,5.5,2.9505841732025146,0.8448672890663147,25.66667938232422,5.181880474090576,0.7489427328109741,0.47763296961784363,0.9538806080818176,23.202878952026367,0.1598747819662094,-0.19956320524215698,1.712605595588684,-4.405309677124023,10,35,3.0,1,3,0.08333333333333333,0.25,2025_01_17
