day,trades,pnl,wr
2025_01_01,1,-25.5,0.0
2025_01_02,1,-160.5,0.0
2025_01_03,1,-611.0,0.0
2025_01_05,1,-4.5,0.0
2025_01_06,1,501.5,100.0
2025_01_07,1,749.5,100.0
2025_01_08,1,-155.5,0.0
2025_01_09,1,-115.0,0.0
2025_01_10,1,-441.0,0.0
2025_01_12,1,35.0,100.0
2025_01_13,1,-62.5,0.0
2025_01_14,1,185.0,100.0
2025_01_15,1,-944.0,0.0
2025_01_16,1,371.0,100.0
2025_01_17,2,-539.5,0.0
2025_01_19,1,-15.0,0.0
2025_01_20,1,374.0,100.0
2025_01_21,1,-138.0,0.0
2025_01_22,1,313.0,100.0
2025_01_23,1,-111.0,0.0
2025_01_24,1,-196.0,0.0
2025_01_26,1,-21.0,0.0
2025_01_27,1,667.0,100.0
2025_01_28,1,456.5,100.0
2025_01_29,1,-7.0,0.0
2025_01_30,1,-303.0,0.0
2025_01_31,1,295.5,100.0
2025_02_02,1,39.5,100.0
2025_02_03,1,925.0,100.0
2025_02_04,1,-35.0,0.0
2025_02_05,1,-409.0,0.0
2025_02_06,1,-112.5,0.0
2025_02_07,1,-557.5,0.0
2025_02_09,1,-148.0,0.0
2025_02_10,1,-269.5,0.0
2025_02_11,1,43.0,100.0
2025_02_12,1,162.0,100.0
2025_02_13,1,-411.0,0.0
2025_02_14,1,-223.5,0.0
2025_02_16,1,-7.5,0.0
2025_02_17,1,25.5,100.0
2025_02_18,1,71.0,100.0
2025_02_19,1,77.0,100.0
2025_02_20,1,-100.5,0.0
2025_02_21,1,-993.5,0.0
2025_02_23,1,-1.0,0.0
2025_02_24,1,-755.0,0.0
2025_02_25,2,-467.0,0.0
2025_02_26,1,49.5,100.0
2025_02_27,1,1101.5,100.0
2025_02_28,1,466.5,100.0
2025_03_02,1,-5.5,0.0
2025_03_03,1,-735.5,0.0
2025_03_04,1,-101.0,0.0
2025_03_05,1,74.0,100.0
2025_03_06,1,852.0,100.0
2025_03_07,1,34.0,100.0
2025_03_09,1,-4.0,0.0
2025_03_10,1,1488.5,100.0
2025_03_11,1,358.5,100.0
2025_03_12,1,-418.5,0.0
2025_03_13,1,-642.5,0.0
2025_03_14,1,583.5,100.0
2025_03_16,1,-130.5,0.0
2025_03_17,1,-484.0,0.0
2025_03_18,1,-615.5,0.0
2025_03_19,1,-620.5,0.0
2025_03_20,1,-264.0,0.0
2025_03_21,1,492.0,100.0
2025_04_01,1,587.0,100.0
2025_04_02,1,-1508.0,0.0
2025_04_03,1,-652.5,0.0
2025_04_04,1,2424.5,100.0
2025_04_06,1,233.5,100.0
2025_04_07,1,-2041.5,0.0
2025_04_08,1,-1606.0,0.0
2025_04_09,1,4796.0,100.0
2025_04_10,2,-1060.0,50.0
2025_04_11,1,1282.5,100.0
2025_04_13,1,-62.5,0.0
2025_04_14,1,377.5,100.0
2025_04_15,1,277.0,100.0
2025_04_16,1,-609.0,0.0
2025_04_17,1,20.0,100.0
2025_04_20,1,-18.5,0.0
2025_04_21,1,663.0,100.0
2025_04_22,1,-1534.0,0.0
2025_04_23,1,192.5,100.0
2025_04_24,1,1157.5,100.0
2025_04_25,1,311.0,100.0
2025_04_27,1,-58.0,0.0
2025_04_28,1,185.5,100.0
2025_04_29,1,82.0,100.0
2025_04_30,1,733.0,100.0
2025_05_01,1,319.0,100.0
2025_05_02,1,850.5,100.0
2025_05_04,1,30.5,100.0
2025_05_05,1,166.5,100.0
2025_05_06,1,-103.0,0.0
