day,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,exit,exit_z_1m,exit_p_center,exit_wick_5m
2025_01_02,12:25,1735820700,long,21478.75,21477.75,-2.0,23,0.0,center_reached,-0.66877186,0.64470065,0.6666667
2025_01_02,20:33,1735849980,short,21150.75,21178.0,-54.5,24,0.0,center_reached,0.38532224,0.73795146,0.9724771
2025_01_03,11:52,1735905120,long,21239.75,21242.0,4.5,23,6.5,center_reached,0.4571256,0.7184458,0.8333333
2025_01_03,15:31,1735918260,short,21298.0,21323.75,-51.5,84,2.0,center_reached,0.5535529,0.6876637,0.65254235
2025_01_03,20:59,1735937940,short,21509.25,21512.0,-5.5,48,8.0,center_reached,0.6612222,0.6477013,0.86821705
2025_01_07,20:44,1736282640,short,21325.5,21347.0,-43.0,48,0.0,center_reached,-0.024838248,0.7867792,0.88387096
2025_01_08,03:22,1736306520,short,21399.0,21405.75,-13.5,43,0.0,center_reached,0.5427571,0.69135773,0.57894737
2025_01_08,21:02,1736370120,short,21371.75,21387.0,-30.5,24,0.0,center_reached,0.63814604,0.65672004,0.9872612
2025_01_09,12:42,1736426520,long,21292.5,21293.25,1.5,24,8.5,center_reached,-0.5470837,0.68988454,0.9047619
2025_01_13,07:31,1736753460,short,20882.75,20883.75,-2.0,73,8.0,center_reached,-0.16769688,0.7775823,0.779661
2025_01_15,03:18,1736911080,short,20941.25,20943.0,-3.5,23,0.0,center_reached,0.57697535,0.67944473,0.88
2025_01_15,05:33,1736919180,short,20950.75,20948.0,5.5,21,5.5,center_reached,0.6523304,0.6512041,0.8648649
2025_01_15,11:47,1736941620,short,20993.0,21001.0,-16.0,12,0.0,center_reached,0.058244944,0.785849,0.9240506
2025_01_15,11:54,1736942040,long,20998.25,20995.75,-5.0,47,4.0,center_reached,-0.60753435,0.66831356,0.8545455
2025_01_15,12:57,1736945820,long,21005.0,20987.5,-35.0,93,3.5,center_reached,-0.65237576,0.65118635,0.86206895
2025_01_16,11:01,1737025260,long,21494.5,21489.0,-11.0,12,4.5,center_reached,0.508839,0.70256525,0.98717946
2025_01_16,17:48,1737049680,short,21392.25,21399.0,-13.5,12,0.0,center_reached,0.4294192,0.7263309,0.98734176
2025_01_16,23:04,1737068640,short,21221.25,21226.25,-10.0,36,0.0,center_reached,0.38693082,0.737548,0.9493671
2025_01_17,00:04,1737072240,short,21236.0,21238.25,-4.5,44,3.0,center_reached,-0.16140091,0.7782734,0.97619045
2025_01_17,01:56,1737078960,long,21271.0,21272.25,2.5,17,2.5,center_reached,-0.69504833,0.63407165,0.7297297
2025_01_17,05:33,1737091980,short,21300.25,21306.5,-12.5,34,2.0,center_reached,0.47763297,0.7123267,0.84090906
2025_01_17,18:32,1737138720,long,21667.5,21653.25,-28.5,96,0.0,center_reached,-0.33577603,0.7496067,0.56
2025_01_20,05:21,1737350460,long,21565.75,21566.75,2.0,16,3.0,center_reached,-0.0045871898,0.78697896,0.9130435
2025_01_21,04:00,1737432000,short,21626.0,21626.0,0.0,32,4.5,center_reached,0.2303801,0.76928157,0.52380955
2025_01_21,07:03,1737442980,long,21590.5,21593.25,5.5,21,6.0,center_reached,0.7187148,0.62426263,0.84158415
2025_01_21,07:07,1737443220,short,21599.5,21600.0,-1.0,34,0.5,center_reached,0.156105,0.77883446,0.46478873
2025_01_21,18:18,1737483480,short,21760.75,21765.25,-9.0,24,0.0,center_reached,0.43226734,0.7255408,0.9264706
2025_01_22,09:57,1737539820,short,21885.75,21889.25,-7.0,23,0.0,center_reached,0.18687941,0.7753155,0.877551
2025_01_23,00:57,1737593820,short,21951.25,21951.5,-0.5,24,0.0,center_reached,0.3771336,0.73998123,0.8787879
2025_01_23,04:43,1737607380,long,21959.5,21959.0,-1.0,3,0.0,center_reached,-0.43381506,0.7251095,0.875
2025_01_23,11:23,1737631380,short,21888.5,21887.5,2.0,21,2.0,center_reached,0.1800543,0.7761498,0.92105263
2025_01_27,00:15,1737936900,short,21651.5,21660.25,-17.5,12,0.5,center_reached,0.5980106,0.6718311,0.4385965
2025_01_27,12:59,1737982740,long,21091.75,21072.0,-39.5,84,11.5,center_reached,-0.76503944,0.6044655,0.719697
2025_01_28,05:27,1738042020,short,21282.75,21285.5,-5.5,31,0.0,center_reached,0.522784,0.69803154,0.9677419
2025_01_28,07:04,1738047840,long,21277.0,21285.0,16.0,35,20.0,center_reached,-0.55463505,0.68729013,0.84705883
2025_01_29,00:09,1738109340,short,21557.5,21564.0,-13.0,45,2.5,center_reached,-0.33398718,0.7499992,0.984127
2025_01_29,08:16,1738138560,short,21683.25,21669.5,27.5,48,32.0,center_reached,-0.5049251,0.70381886,0.7808219
2025_01_29,23:01,1738191660,long,21553.25,21543.75,-19.0,12,4.5,center_reached,-0.59418476,0.67323184,0.9041096
2025_01_30,07:49,1738223340,long,21662.0,21656.5,-11.0,34,0.0,center_reached,-0.04919979,0.78617465,1.0
2025_01_30,13:33,1738243980,short,21649.25,21653.25,-8.0,36,33.0,center_reached,0.47247937,0.7138868,0.8818182
2025_01_30,21:34,1738272840,short,21582.25,21619.5,-74.5,48,0.0,center_reached,-0.16597499,0.7777739,0.9860465
2025_01_30,21:43,1738273380,long,21622.25,21616.75,-11.0,36,6.5,center_reached,0.22781736,0.76967126,0.8313253
2025_01_31,03:53,1738295580,short,21742.25,21746.0,-7.5,24,0.0,center_reached,0.6982384,0.6327622,0.88461536
2025_02_03,08:53,1738572780,short,21202.0,21212.25,-20.5,12,0.0,center_reached,0.7456202,0.61285627,0.9787234
2025_02_03,14:28,1738592880,long,21193.5,21193.5,0.0,36,7.0,center_reached,-0.20865978,0.7724489,0.9453552
2025_02_03,16:06,1738598760,long,21419.0,21360.5,-117.0,36,0.0,center_reached,0.29730722,0.7576061,0.85955054
2025_02_03,23:52,1738626720,long,21564.5,21559.25,-10.5,24,0.0,center_reached,-0.7458953,0.6127383,1.0
2025_02_04,02:03,1738634580,long,21510.0,21503.75,-12.5,29,0.0,center_reached,-0.2864938,0.75968665,0.962963
2025_02_04,06:33,1738650780,long,21344.0,21346.75,5.5,21,5.5,center_reached,0.04299756,0.7863663,0.9230769
2025_02_04,12:51,1738673460,short,21457.5,21442.5,30.0,107,41.0,center_reached,-0.30346483,0.75638825,0.5138889
2025_02_04,12:59,1738673940,short,21448.25,21480.75,-65.0,12,0.0,center_reached,0.50732374,0.70305157,0.91156465
2025_02_04,13:54,1738677240,short,21441.25,21443.75,-5.0,12,7.0,center_reached,0.016137132,0.78689873,0.987013
2025_02_04,14:29,1738679340,short,21428.25,21425.5,5.5,36,10.5,center_reached,0.10186589,0.7835103,0.88461536
2025_02_05,13:38,1738762680,long,21521.25,21519.5,-3.5,36,8.5,center_reached,-0.38416272,0.7382414,0.9041096
2025_02_05,18:14,1738779240,long,21700.25,21692.75,-15.0,48,0.0,center_reached,0.7749163,0.60014975,0.83870965
2025_02_06,04:42,1738816920,long,21792.75,21792.5,-0.5,14,1.0,center_reached,-0.039687373,0.786458,0.94736844
2025_02_06,16:56,1738860960,short,21769.75,21783.75,-28.0,96,0.0,center_reached,0.7192624,0.6240331,0.6184211
2025_02_06,17:02,1738861320,long,21763.75,21761.75,-4.0,24,0.0,center_reached,-0.70927453,0.62820125,0.9593496
