day,trades,pnl,wr
2026_01_01,1,36.0,100.0
2026_01_02,41,795.0,43.90243902439025
2026_01_04,2,66.0,50.0
2026_01_05,44,636.5,34.090909090909086
2026_01_06,43,471.0,41.86046511627907
2026_01_07,48,41.5,22.916666666666664
2026_01_08,58,729.5,36.206896551724135
2026_01_09,43,971.0,39.53488372093023
2026_01_11,1,0.0,0.0
2026_01_12,42,998.0,42.857142857142854
2026_01_13,45,748.0,33.33333333333333
2026_01_14,35,902.5,48.57142857142857
2026_01_15,52,362.0,32.69230769230769
2026_01_16,42,530.5,38.095238095238095
2026_01_18,2,-7.0,0.0
2026_01_19,36,256.5,22.22222222222222
2026_01_20,43,575.5,44.18604651162791
2026_01_21,48,1558.0,50.0
2026_01_22,55,329.5,27.27272727272727
2026_01_23,44,290.5,29.545454545454547
2026_01_25,2,-61.5,0.0
2026_01_26,45,667.5,42.22222222222222
2026_01_27,44,509.5,40.909090909090914
2026_01_28,48,263.5,41.66666666666667
2026_01_29,51,1547.0,41.17647058823529
2026_01_30,51,1020.0,35.294117647058826
2026_02_01,1,139.5,100.0
2026_02_02,43,1139.5,37.2093023255814
2026_02_03,46,562.0,34.78260869565217
2026_02_04,41,1246.5,51.21951219512195
2026_02_05,53,1706.0,43.39622641509434
2026_02_06,47,984.5,27.659574468085108
2026_02_08,2,86.5,100.0
2026_02_09,39,738.5,38.46153846153847
