day,entry_ts,leg_dir,entry_price,leg_amplitude_pts,leg_amplitude_usd,leg_duration_min,r_price,pnl_at_R_usd,entry_zone,entry_cloud_state,entry_p_mid,entry_p_early,entry_p_late,entry_p_b6_long,entry_p_b6_short,entry_p_b6_match
2026_03_20,1773990119,LONG,24495.833333333332,118.66666666666788,237.33333333333576,73.5,33.0,171.33333333333576,AT_PIVOT,FLAT,0.4063454833930051,0.21219972484609814,0.3814547917608968,0.05312535855950213,0.2658024783010674,0.05312535855950213
2026_03_20,1773994529,SHORT,24614.5,56.5,113.0,15.0,33.0,47.0,CLEAR,DECAYING,0.2520605609350822,0.42244310134901586,0.3254963377159019,0.28173899826773385,0.20647955381979707,0.20647955381979707
2026_03_20,1773995429,LONG,24558.0,44.25,88.5,5.0,33.0,22.5,CLEAR,RISING,0.24486990598377548,0.4747138834105017,0.28041621060572286,0.4197228252047673,0.22276211937259252,0.4197228252047673
2026_03_20,1773995729,SHORT,24602.5,57.0,114.0,30.0,33.0,48.0,WIDE_ZONE,FLAT,0.3845564502778782,0.4790675374109877,0.13637601231113422,0.06764852587267585,0.6823492592642845,0.6823492592642845
2026_03_20,1773997529,LONG,24540.5,43.75,87.5,5.0,33.0,21.5,NEAR_PIVOT,RISING,0.37637060550039464,0.2543099179443925,0.3693194765552129,0.5731113273501326,0.2432922864041437,0.5731113273501326
2026_03_20,1773997829,SHORT,24584.25,260.5,521.0,60.0,33.0,455.0,NEAR_PIVOT,RISING,0.3280789437163255,0.47127463824336746,0.20064641804030714,0.307852764590844,0.48939616082359544,0.48939616082359544
2026_03_20,1774001429,LONG,24321.25,108.25,216.5,32.0,33.0,150.5,NEAR_PIVOT,RISING,0.1664177037316066,0.2231572638654292,0.6104250324029643,0.621104837318672,0.3335185992818509,0.621104837318672
2026_03_20,1774003349,SHORT,24429.5,27.0,54.0,9.0,33.0,-12.0,NEAR_PIVOT,FLAT,0.30597935581369057,0.3422620527953565,0.35175859139095295,0.4864380634321438,0.3637922809790322,0.3637922809790322
2026_03_20,1774003889,LONG,24396.25,70.25,140.5,31.0,33.0,74.5,NEAR_PIVOT,FLAT,0.4210337238196361,0.3074843752146521,0.2714819009657118,0.5979317561803915,0.31503326420883,0.5979317561803915
2026_03_20,1774005749,SHORT,24466.5,53.75,107.5,29.0,33.0,41.5,NEAR_PIVOT,FLAT,0.4447117461167882,0.26995596997605836,0.28533228390715354,0.16201188239389427,0.7102763563777896,0.7102763563777896
