tf,concept,n_days,max_abs_err,median_abs_err,p99_abs_err,mean_pearson,mean_v1,mean_derived
15m,dir_vol,4,14.10031688302783,7.209951968789596e-08,14.10031688302783,0.28524568210169604,0.02342012121229143,0.29716775310306337
15m,p_at_center,4,0.6476004512671648,0.17924574327778003,0.6476004512671648,0.47479972702590045,0.4926747381202078,0.5383492186948667
15m,variance_ratio,4,4.7553904813923964e-08,5.051621870810763e-09,4.7553904813923964e-08,0.9999999999999988,0.3873523484669986,0.38735234890476006
15m,vol_rel,4,3.577935618892525e-07,1.389777321003649e-08,3.577935618892525e-07,0.9999999999999993,1.0135025425989965,1.0135025435874867
15m,wick_ratio,4,2.938257137596878e-08,8.974765763891668e-09,2.938257137596878e-08,0.9999999999999982,0.5497369373150083,0.5497369361585109
1h,dir_vol,4,6.789320365937343,2.8181807998350905e-08,6.789320365937343,0.16640601880503034,-0.01419864098721969,-0.04714003898689502
1h,p_at_center,4,0.6436327271589574,0.28628715405134275,0.6436327271589574,-0.009440652607642708,0.552829797012143,0.5119493764218761
1h,variance_ratio,4,0.32162308026182257,8.086030983678327e-09,0.32162308026182257,0.9677103535005581,0.554959942600994,0.5339982001928001
1h,vol_rel,4,1.0296524566300036e-07,1.0095461439041387e-08,1.0296524566300036e-07,0.9999999999999994,0.7606237758494474,0.7606237714134239
1h,wick_ratio,4,2.9195762252243185e-08,9.830645020247886e-09,2.9195762252243185e-08,0.9999999999999987,0.4760918943570238,0.4760918941390188
1m,dir_vol,4,16.09748223103334,4.818548693386049e-08,5.282495582950797,0.4203874329625913,0.041819981457524545,0.10169573210283069
1m,p_at_center,4,0.7036205623012391,0.12086181154176817,0.5625141131115404,0.6892221719416333,0.4955548124586425,0.5230069618311888
1m,variance_ratio,4,1.0239877967777034e-07,7.315863373436038e-09,5.427023030968314e-08,0.9999999999999984,0.4911440545517237,0.4911440550533215
1m,vol_rel,4,4.5024107464541885e-07,1.726102294430376e-08,1.1711058656160844e-07,0.9999999999999986,1.0601604303079586,1.0601604294022835
1m,wick_ratio,4,2.9604956042206254e-08,8.321427658053437e-09,2.8610229518832853e-08,0.9999999999999988,0.5429239488170299,0.5429239463640132
5m,dir_vol,4,8.939053394949648,4.3741595012747325e-08,8.600773752865525,0.2897285886895302,0.032890405941902096,0.09824936004753738
5m,p_at_center,4,0.6383305007247523,0.19458280036717657,0.6043176728210652,0.1791831492684669,0.4929556587568148,0.5400854455824105
5m,variance_ratio,4,5.762922850038876e-08,6.853527440009444e-09,5.0885105018494414e-08,0.999999999999999,0.5147804528635149,0.5147804526753176
5m,vol_rel,4,4.7151340787365825e-07,1.6476186193159492e-08,2.0492858521237167e-07,0.9999999999999991,1.0232861010702061,1.0232860996046926
5m,wick_ratio,4,2.9394071399124755e-08,9.023616465153594e-09,2.8996854251062132e-08,0.9999999999999983,0.5420193699759206,0.542019369816617
