**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,tf,concept,n,max_abs_err,mean_abs_err,median_abs_err,p99_abs_err,pearson_r,v1_mean,derived_mean,v1_std,derived_std
2025_06_02,1m,wick_ratio,14892,2.9038160320737916e-08,9.910490918622163e-09,8.514949190185916e-09,2.8610229518832853e-08,0.9999999999999983,0.5419075960950567,0.5419075936106545,0.2677936413667902,0.26779364180712145
2025_06_02,1m,p_at_center,14892,0.6821891411412143,0.14457628834779906,0.12169271562258366,0.5369194467202009,0.6833222871090565,0.4953155622513889,0.5211397588762893,0.23674853401305376,0.22512546814377132
2025_06_02,1m,variance_ratio,14892,5.865443220010036e-08,1.0497114361782234e-08,7.644126831518605e-09,4.9632441934122085e-08,0.9999999999999986,0.5019685015259469,0.5019685014738215,0.3147973449432947,0.3147973448001163
2025_06_02,1m,vol_rel,14892,4.149495591576624e-07,2.2666546142171834e-08,1.7525500162207663e-08,1.1134079569430355e-07,0.9999999999999982,1.0427528341945431,1.0427528351622213,0.7555269276731887,0.7555269211505168
2025_06_02,1m,dir_vol,14892,13.121236849990218,0.7932547518208329,5.079803822027884e-08,4.771965984338585,0.39756249664753923,0.023000485034373828,-0.0014372120535575117,1.2766277577304896,1.2870079061673076
2025_06_02,5m,wick_ratio,14892,2.9140048596332235e-08,1.0562950722641976e-08,8.877287571706916e-09,2.8996854251062132e-08,0.9999999999999987,0.5637693514418545,0.5637693506934619,0.25202800819282206,0.25202800874852294
2025_06_02,5m,p_at_center,14892,0.6383305007247523,0.2113077948094794,0.19015737832327806,0.5431217783261301,0.21917972657560172,0.5331219050877788,0.5632969986550893,0.22320846420267113,0.1853050403143347
2025_06_02,5m,variance_ratio,14892,5.762922850038876e-08,1.0088714959667375e-08,6.713349182119188e-09,5.0885105018494414e-08,0.9999999999999993,0.4835233694213094,0.4835233691478851,0.36116703118620297,0.36116702994358846
2025_06_02,5m,vol_rel,14892,4.7151340787365825e-07,2.364606411162077e-08,1.617419742583337e-08,2.046098854791012e-07,0.9999999999999986,1.0944067252829386,1.0944067194864617,0.9517353225420803,0.9517352958780559
2025_06_02,5m,dir_vol,14892,8.939053394949648,0.9733425593449251,6.961052401166512e-08,8.600773752865525,0.254889829355298,0.00027459809016771545,0.21636856669704133,1.4481850159935787,1.4278002766561195
2025_06_02,15m,wick_ratio,14892,2.8610229518832853e-08,1.1359176092398588e-08,8.66976646030082e-09,2.8610229518832853e-08,0.9999999999999977,0.52346238359937,0.5234623822506543,0.2498179468535806,0.2498179478754982
2025_06_02,15m,p_at_center,14892,0.5497871457991618,0.14128031538391872,0.10805103336656952,0.5267498481218184,0.6018774019578473,0.5842171349195479,0.6100880258418343,0.20614492741046098,0.21340396355018193
2025_06_02,15m,variance_ratio,14892,4.682822507540152e-08,8.41782416743401e-09,5.420779158882283e-09,4.682822507540152e-08,0.9999999999999997,0.3927786508027245,0.3927786515782685,0.2934602665356335,0.29346026616652027
2025_06_02,15m,vol_rel,14892,2.307613122809471e-07,2.3832975303512265e-08,1.4575927242965747e-08,2.307613122809471e-07,0.9999999999999993,1.1419029039749289,1.1419029036692128,1.3811805540247404,1.3811805332852034
