feature,d_IS,d_OOS,d_all,sign_match,min_abs_d
prior_range,0.5758554631814369,0.7743850670150293,0.7181734151793863,True,0.5758554631814369
range_compression,0.4747734332022689,0.7815073313916567,0.6080716033224813,True,0.4747734332022689
dow,0.26496316621759863,0.6074920846372587,0.3882119019935594,True,0.26496316621759863
mean_range_5d,0.21631915238742713,1.0414962476518022,0.5411100120545229,True,0.21631915238742713
mean_efficiency_5d,-0.43735401133455415,-0.06812192761224041,-0.18597228567064078,True,0.06812192761224041
mean_range_20d,0.020684009947544813,0.19132403180488927,0.22274751233130793,True,0.020684009947544813
prior_efficiency,-0.035438470101825506,-0.017710423898050675,0.0037555668155662032,True,0.017710423898050675
cum_drift_5d,-0.06205116949092584,0.008746093931705307,0.03399308373042398,False,0.008746093931705307
cum_drift_5d_sign,-0.008681390368332232,0.14749466783928378,0.06990065230831323,False,0.008681390368332232
prior_drift,-0.18504703614702156,0.00620695572650976,-0.0499914437488582,False,0.00620695572650976
variance_ratio_5_20,-0.0028884938969904956,0.7813069066913141,0.35835469150202875,False,0.0028884938969904956
close_above_20d_max,,,,False,0.0
