**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

date,dow,pnl,n_trades,wr,first_hour,hour_count_morning,hour_count_midday,open,high,low,close,range,drift,efficiency,prior_range,prior_drift,prior_efficiency,mean_range_5d,mean_range_20d,mean_efficiency_5d,range_compression,variance_ratio_5_20,cum_drift_5d,cum_drift_5d_sign,close_vs_20d_max,close_above_20d_max,dow_num,label,set,_z_prior_range,_score_prior_range,_z_range_compression,_score_range_compression,bleed_score
2026-01-02,4,-84.59999999999985,19,0.2631578947368421,5,16,3,25497.0,25803.5,25265.25,25393.75,538.25,-103.25,0.19182535996284256,54.0,37.0,0.6851851851851852,344.5,293.5625,0.4988182555146228,0.18394720034064296,9.343334416410027,96.25,1.0,1.009746244656234,0,4,BLEED,IS,-1.5071219925200983,-1.5071219925200983,-1.540350273917097,-1.540350273917097,-3.047472266437195
2026-01-04,6,-17.9,1,0.0,23,0,0,25430.0,25463.5,25406.0,25457.75,57.5,27.75,0.4826086956521739,538.25,-103.25,0.19182535996284256,376.9,311.675,0.5277481115603475,1.7269591722146467,10.265810414188076,-24.75,-1.0,1.0138518336204774,0,6,NEUTRAL,IS,0.6956694868402317,0.6956694868402317,1.2639876107373458,1.2639876107373458,1.9596570975775776
2026-01-05,0,-277.9,11,0.36363636363636365,0,7,1,25457.5,25708.0,25435.25,25566.0,272.75,108.5,0.39780018331805683,57.5,27.75,0.4826086956521739,266.95,309.575,0.5024090026051503,0.1857385124767827,4.131957996116238,373.0,1.0,1.0113030413135489,0,0,BLEED,IS,-1.4912009389779999,-1.4912009389779999,-1.5370946643831558,-1.5370946643831558,-3.0282956033611557
2026-01-06,1,141.39999999999998,9,0.6666666666666666,0,6,1,25566.25,25844.75,25527.0,25825.0,317.75,258.75,0.8143194335169158,272.75,108.5,0.39780018331805683,220.75,308.1,0.45631147103054825,0.8852645245050308,3.125645590960397,165.0,1.0,1.007021043573496,0,1,HARVEST,IS,-0.5120561461389477,-0.5120561461389477,-0.2657452953633278,-0.2657452953633278,-0.7778014415022755
2026-01-07,2,325.1,6,0.6666666666666666,4,3,1,25825.25,25998.0,25727.0,25823.5,271.0,-1.75,0.006457564575645757,317.75,258.75,0.8143194335169158,248.05,306.6875,0.5143477715270348,1.0360709190951702,3.4814485087166913,328.75,1.0,1.0,0,2,HARVEST,IS,-0.30735688631196817,-0.30735688631196817,0.008336885012527478,0.008336885012527478,-0.2990200012994407
2026-01-08,3,-891.5999999999998,19,0.15789473684210525,0,14,2,25822.75,25844.25,25569.5,25675.75,274.75,-147.0,0.535031847133758,271.0,-1.75,0.006457564575645757,291.45,306.9875,0.378602247405127,0.8827720998411988,1.806050966136598,290.0,1.0,1.0000580866265223,0,3,BLEED,IS,-0.520016672909997,-0.520016672909997,-0.27027513766969846,-0.27027513766969846,-0.7902918105796954
2026-01-09,4,413.6,11,0.5454545454545454,6,10,1,25675.25,25986.0,25615.75,25931.5,370.25,256.25,0.6920999324780553,274.75,-147.0,0.535031847133758,238.75,308.45,0.44724354483931006,0.8907440427946183,2.1404110553765046,246.25,1.0,1.0058128779100903,0,4,HARVEST,IS,-0.5029584012577486,-0.5029584012577486,-0.2557865776027103,-0.2557865776027103,-0.7587449788604589
2026-01-11,6,298.6,1,1.0,23,0,0,25946.5,25955.75,25870.25,25894.0,85.5,-52.5,0.6140350877192983,370.25,256.25,0.6920999324780553,301.3,312.525,0.48914179220448634,1.1847052235821136,2.737401967322364,474.75,1.0,1.0,0,6,HARVEST,IS,-0.06854108318049203,-0.06854108318049203,0.2784714132143832,0.2784714132143832,0.20993033003389117
2026-01-12,0,320.5,5,0.4,0,2,1,25893.5,26020.5,25632.75,25895.75,387.75,2.25,0.005802707930367505,85.5,-52.5,0.6140350877192983,263.85,314.2,0.5323887730847346,0.27211966900063655,3.0250351951404926,313.75,1.0,1.0014482119409902,0,0,HARVEST,IS,-1.3638325106412126,-1.3638325106412126,-1.3801017478175746,-1.3801017478175746,-2.743934258458787
2026-01-13,1,-450.29999999999984,12,0.25,2,9,2,25896.0,26046.25,25803.25,25891.0,243.0,-5.0,0.0205761316872428,387.75,2.25,0.005802707930367505,277.85,318.7375,0.37068542796742493,1.2165182948350914,1.9703123774527584,57.25,1.0,1.0013805354160432,0,1,BLEED,IS,0.011064184530000023,0.011064184530000023,0.3362898893948271,0.3362898893948271,0.34735407392482714
2026-01-14,2,-593.1999999999998,23,0.2608695652173913,4,14,4,25891.25,25926.0,25421.25,25605.5,504.75,-285.75,0.5661218424962853,243.0,-5.0,0.0205761316872428,272.25,321.9625,0.37350914138974434,0.7547462825639633,1.9821680846679832,54.0,1.0,1.0015642501255262,0,2,BLEED,IS,-0.6473851012467842,-0.6473851012467842,-0.5029548939831612,-0.5029548939831612,-1.1503399952299453
2026-01-15,3,250.20000000000007,12,0.4166666666666667,6,11,1,25605.5,25954.25,25562.5,25741.5,391.75,136.0,0.34716017868538607,504.75,-285.75,0.5661218424962853,318.25,330.125,0.37972714046224987,1.5289663006436955,3.02537525736362,-84.75,-1.0,1.012731639686786,0,3,HARVEST,IS,0.5432822600801469,0.5432822600801469,0.9041466498382565,0.9041466498382565,1.4474289099184035
2026-01-16,4,262.4000000000001,9,0.3333333333333333,4,7,1,25741.25,25891.25,25590.25,25681.75,301.0,-59.5,0.19767441860465115,391.75,136.0,0.34716017868538607,322.55,325.6875,0.310739189703716,1.2028401458453273,1.8980468497985314,-205.0,-1.0,1.0073810772488005,0,4,HARVEST,IS,0.029259674292398206,0.029259674292398206,0.3114306192769439,0.3114306192769439,0.3406902935693421
2026-01-18,6,-119.6,4,0.25,16,0,0,25556.0,25559.0,25403.5,25467.0,155.5,-89.0,0.572347266881029,301.0,-59.5,0.19767441860465115,365.65,311.4,0.22746705588078658,0.96660244059088,2.522626589647134,-212.0,-1.0,1.0097248045791272,0,6,BLEED,IS,-0.38355049969201055,-0.38355049969201055,-0.11791818598493312,-0.11791818598493312,-0.5014686856769437
2026-01-19,0,-3.3000000000000256,12,0.3333333333333333,0,5,0,25466.5,25470.0,25236.25,25378.5,233.75,-88.0,0.3764705882352941,155.5,-89.0,0.572347266881029,319.2,313.475,0.3407759676709189,0.49605231677167233,2.8084711606004,-303.25,-1.0,1.0182392900616484,0,0,NEUTRAL,IS,-1.0454114397992444,-1.0454114397992444,-0.9731166957232583,-0.9731166957232583,-2.018528135522503
2026-01-20,1,-249.4,21,0.42857142857142855,0,16,2,25379.0,25438.75,25095.25,25116.25,343.5,-262.75,0.764919941775837,233.75,-88.0,0.3764705882352941,317.35,306.3875,0.4119548589805291,0.7629227693688548,2.6553775282353858,-386.25,-1.0,1.0217900979175285,0,1,BLEED,IS,-0.68946217132233,-0.68946217132233,-0.48809458691601226,-0.48809458691601226,-1.1775567582383424
2026-01-21,2,1126.1999999999998,22,0.5454545454545454,1,15,2,25116.75,25653.25,25026.0,25552.25,627.25,435.5,0.694300518134715,343.5,-262.75,0.764919941775837,285.1,304.75,0.45171447883643945,1.1271534044298606,2.2676357839542316,-363.25,-1.0,1.0324590653461405,0,2,HARVEST,IS,-0.19022342096652986,-0.19022342096652986,0.17387420352233604,0.17387420352233604,-0.01634921744419382
2026-01-22,3,380.30000000000007,8,0.625,6,7,1,25553.25,25739.75,25483.25,25617.25,256.5,64.0,0.24951267056530213,627.25,435.5,0.694300518134715,332.2,305.75,0.5211425467263052,2.0515126737530665,7.26052106330161,-63.75,-1.0,1.0148421371894842,0,3,HARVEST,IS,1.1005191340535911,1.1005191340535911,1.8538454320321789,1.8538454320321789,2.9543645660857702
2026-01-23,4,214.10000000000002,11,0.2727272727272727,3,8,1,25617.25,25845.5,25540.0,25679.0,305.5,61.75,0.20212765957446807,256.5,64.0,0.24951267056530213,323.3,293.3875,0.5315101971184355,0.8742703762089388,8.255358433431812,59.75,1.0,1.0122671246913701,0,4,HARVEST,IS,-0.5859753232986903,-0.5859753232986903,-0.2857265444645872,-0.2857265444645872,-0.8717018677632775
