template_id,direction,entry_price,entry_time,entry_depth,oracle_label,oracle_label_name,oracle_mfe,oracle_mae,long_bias,short_bias,dmi_diff,belief_active_levels,belief_conviction,wave_maturity,decision_wave_maturity,entry_workers,entry_z_score,entry_lagrange_zone,entry_hurst,entry_coherence,entry_adx,entry_escape_prob,entry_oscillation_coherence,entry_momentum_strength,tmpl_avg_mfe_bar,exit_price,exit_time,hold_bars,exit_reason,actual_pnl,oracle_potential_pnl,capture_rate,result,exit_workers,exit_conviction,exit_wave_maturity,exit_signal_reason,structural_integrity_at_exit,bar_of_structural_death,bleed_bars,bleed_cost
-1,LONG,23473.25,1756776120,7,-2,WORKER_BYPASS,4.0,55.5,0.0,0.0,2.95,10,0.659,0.1034,0.0189,"{""1h"": {""d"": 0.57, ""c"": 0.139, ""m"": 0.169, ""mfe"": 409.0}, ""30m"": {""d"": 0.8, ""c"": 0.6, ""m"": 0.077, ""mfe"": 462.5}, ""15m"": {""d"": 0.606, ""c"": 0.212, ""m"": 0.086, ""mfe"": 847.4}, ""5m"": {""d"": 0.589, ""c"": 0.178, ""m"": 0.019, ""mfe"": 1117.6}, ""3m"": {""d"": 0.716, ""c"": 0.433, ""m"": 0.098, ""mfe"": -131.2}, ""1m"": {""d"": 0.752, ""c"": 0.505, ""m"": 0.177, ""mfe"": 1094.4}, ""30s"": {""d"": 0.791, ""c"": 0.582, ""m"": 0.095, ""mfe"": -29.4}, ""15s"": {""d"": 0.509, ""c"": 0.017, ""m"": 0.163, ""mfe"": 356.4}, ""5s"": {""d"": 0.714, ""c"": 0.427, ""m"": 0.006, ""mfe"": 1395.3}, ""1s"": {""d"": 0.656, ""c"": 0.312, ""m"": 0.063, ""mfe"": 527.2}}",-2.0103,L3_ROCHE,0.6434,0.3309,27.04,0.0,0.7812,-23.9197,0.0,23471.0,1756776225,7,trail_stop,-4.5,8.0,-0.5625,LOSS,"{""1h"": {""d"": 0.57, ""c"": 0.139, ""m"": 0.169, ""mfe"": 409.0}, ""30m"": {""d"": 0.8, ""c"": 0.6, ""m"": 0.077, ""mfe"": 462.5}, ""15m"": {""d"": 0.606, ""c"": 0.212, ""m"": 0.086, ""mfe"": 847.4}, ""5m"": {""d"": 0.589, ""c"": 0.178, ""m"": 0.019, ""mfe"": 1117.6}, ""3m"": {""d"": 0.472, ""c"": 0.056, ""m"": 0.237, ""mfe"": 988.5}, ""1m"": {""d"": 0.348, ""c"": 0.305, ""m"": 0.116, ""mfe"": -514.4}, ""30s"": {""d"": 0.782, ""c"": 0.564, ""m"": 0.117, ""mfe"": -97.4}, ""15s"": {""d"": 0.211, ""c"": 0.578, ""m"": 0.244, ""mfe"": -519.1}, ""5s"": {""d"": 0.482, ""c"": 0.037, ""m"": 0.034, ""mfe"": 589.8}, ""1s"": {""d"": 0.634, ""c"": 0.268, ""m"": 0.101, ""mfe"": 461.4}}",0.5736443925116229,0.018880954376442213,aligned_fresh,-1.0,-1,0,0.0
-1,LONG,23178.25,1756820880,6,-2,WORKER_BYPASS,57.25,195.75,0.0,0.0,1.64,10,0.6826,0.0817,0.1655,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.71, ""c"": 0.42, ""m"": 0.066, ""mfe"": 129.0}, ""1m"": {""d"": 0.565, ""c"": 0.13, ""m"": 0.101, ""mfe"": 120.5}, ""30s"": {""d"": 0.598, ""c"": 0.197, ""m"": 0.114, ""mfe"": -204.9}, ""15s"": {""d"": 0.6, ""c"": 0.199, ""m"": 0.102, ""mfe"": -47.5}, ""5s"": {""d"": 0.209, ""c"": 0.582, ""m"": 0.204, ""mfe"": 528.2}, ""1s"": {""d"": 0.53, ""c"": 0.061, ""m"": 0.038, ""mfe"": 740.0}}",2.4473,L2_ROCHE,0.5258,0.1876,44.99,0.0,0.5761,22338.1073,0.0,23192.0,1756820910,2,profit_target,27.5,114.5,0.2402,WIN,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.71, ""c"": 0.42, ""m"": 0.066, ""mfe"": 129.0}, ""1m"": {""d"": 0.565, ""c"": 0.13, ""m"": 0.101, ""mfe"": 120.5}, ""30s"": {""d"": 0.598, ""c"": 0.197, ""m"": 0.114, ""mfe"": -204.9}, ""15s"": {""d"": 0.485, ""c"": 0.03, ""m"": 0.195, ""mfe"": 97.2}, ""5s"": {""d"": 0.641, ""c"": 0.281, ""m"": 0.034, ""mfe"": 848.4}, ""1s"": {""d"": 0.588, ""c"": 0.176, ""m"": 0.152, ""mfe"": -366.4}}",0.6894405458245125,0.16549645269176774,aligned_fresh,-1.0,-1,0,0.0
-1,LONG,23192.0,1756820880,6,-2,WORKER_BYPASS,57.25,195.75,0.0,0.0,1.64,10,0.6894,0.0826,0.1655,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.71, ""c"": 0.42, ""m"": 0.066, ""mfe"": 129.0}, ""1m"": {""d"": 0.565, ""c"": 0.13, ""m"": 0.101, ""mfe"": 120.5}, ""30s"": {""d"": 0.598, ""c"": 0.197, ""m"": 0.114, ""mfe"": -204.9}, ""15s"": {""d"": 0.485, ""c"": 0.03, ""m"": 0.195, ""mfe"": 97.2}, ""5s"": {""d"": 0.641, ""c"": 0.281, ""m"": 0.034, ""mfe"": 848.4}, ""1s"": {""d"": 0.588, ""c"": 0.176, ""m"": 0.152, ""mfe"": -366.4}}",2.4473,L2_ROCHE,0.5258,0.1876,44.99,0.0,0.5761,22338.1073,0.0,23191.0,1756820925.0,3,trail_stop,-2.0,114.5,-0.0175,LOSS,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.71, ""c"": 0.42, ""m"": 0.066, ""mfe"": 129.0}, ""1m"": {""d"": 0.565, ""c"": 0.13, ""m"": 0.101, ""mfe"": 120.5}, ""30s"": {""d"": 0.469, ""c"": 0.062, ""m"": 0.153, ""mfe"": -511.9}, ""15s"": {""d"": 0.654, ""c"": 0.308, ""m"": 0.138, ""mfe"": -853.6}, ""5s"": {""d"": 0.656, ""c"": 0.311, ""m"": 0.032, ""mfe"": 831.7}, ""1s"": {""d"": 0.52, ""c"": 0.04, ""m"": 0.008, ""mfe"": 1019.6}}",0.6866538474498304,0.16549645269176774,aligned_fresh,-1.0,-1,0,0.0
-1,LONG,23194.75,1756820880,6,-2,WORKER_BYPASS,57.25,195.75,0.0,0.0,1.64,10,0.6857,0.0823,0.1655,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.71, ""c"": 0.42, ""m"": 0.066, ""mfe"": 129.0}, ""1m"": {""d"": 0.565, ""c"": 0.13, ""m"": 0.101, ""mfe"": 120.5}, ""30s"": {""d"": 0.469, ""c"": 0.062, ""m"": 0.153, ""mfe"": -511.9}, ""15s"": {""d"": 0.654, ""c"": 0.308, ""m"": 0.138, ""mfe"": -853.6}, ""5s"": {""d"": 0.656, ""c"": 0.311, ""m"": 0.032, ""mfe"": 831.7}, ""1s"": {""d"": 0.52, ""c"": 0.04, ""m"": 0.008, ""mfe"": 1019.6}}",2.4473,L2_ROCHE,0.5258,0.1876,44.99,0.0,0.5761,22338.1073,0.0,23188.0,1756820940,4,trail_stop,-13.5,114.5,-0.1179,LOSS,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.71, ""c"": 0.42, ""m"": 0.066, ""mfe"": 129.0}, ""1m"": {""d"": 0.565, ""c"": 0.13, ""m"": 0.101, ""mfe"": 120.5}, ""30s"": {""d"": 0.469, ""c"": 0.062, ""m"": 0.153, ""mfe"": -511.9}, ""15s"": {""d"": 0.596, ""c"": 0.193, ""m"": 0.11, ""mfe"": -163.5}, ""5s"": {""d"": 0.207, ""c"": 0.586, ""m"": 0.168, ""mfe"": -1862.9}, ""1s"": {""d"": 0.727, ""c"": 0.454, ""m"": 0.149, ""mfe"": -314.3}}",0.6745412828060708,0.16549645269176774,aligned_fresh,-1.0,-1,0,0.0
-1,LONG,23202.0,1756821000,5,-2,WORKER_BYPASS,29.75,223.25,0.0,0.0,-2.76,10,0.6898,0.0828,0.1655,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.685, ""c"": 0.37, ""m"": 0.085, ""mfe"": -102.1}, ""1m"": {""d"": 0.785, ""c"": 0.57, ""m"": 0.126, ""mfe"": -309.9}, ""30s"": {""d"": 0.349, ""c"": 0.302, ""m"": 0.093, ""mfe"": -362.3}, ""15s"": {""d"": 0.582, ""c"": 0.163, ""m"": 0.066, ""mfe"": 522.6}, ""5s"": {""d"": 0.678, ""c"": 0.356, ""m"": 0.115, ""mfe"": -333.0}, ""1s"": {""d"": 0.736, ""c"": 0.471, ""m"": 0.118, ""mfe"": -393.7}}",2.0674,L2_ROCHE,0.496,0.3091,45.08,0.0,0.6072,9627.5196,0.0,23210.0,1756821015,1,profit_target,16.0,59.5,0.2689,WIN,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.685, ""c"": 0.37, ""m"": 0.085, ""mfe"": -102.1}, ""1m"": {""d"": 0.552, ""c"": 0.105, ""m"": 0.283, ""mfe"": 1133.8}, ""30s"": {""d"": 0.38, ""c"": 0.24, ""m"": 0.024, ""mfe"": 653.9}, ""15s"": {""d"": 0.499, ""c"": 0.003, ""m"": 0.022, ""mfe"": 1335.4}, ""5s"": {""d"": 0.378, ""c"": 0.245, ""m"": 0.207, ""mfe"": 599.6}, ""1s"": {""d"": 0.41, ""c"": 0.179, ""m"": 0.021, ""mfe"": 933.2}}",0.6631358784182607,0.16549645269176774,aligned_fresh,-1.0,-1,0,0.0
-1,LONG,23210.0,1756821000,5,-2,WORKER_BYPASS,29.75,223.25,0.0,0.0,-2.76,10,0.6631,0.0914,0.1655,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.685, ""c"": 0.37, ""m"": 0.085, ""mfe"": -102.1}, ""1m"": {""d"": 0.552, ""c"": 0.105, ""m"": 0.283, ""mfe"": 1133.8}, ""30s"": {""d"": 0.38, ""c"": 0.24, ""m"": 0.024, ""mfe"": 653.9}, ""15s"": {""d"": 0.499, ""c"": 0.003, ""m"": 0.022, ""mfe"": 1335.4}, ""5s"": {""d"": 0.378, ""c"": 0.245, ""m"": 0.207, ""mfe"": 599.6}, ""1s"": {""d"": 0.41, ""c"": 0.179, ""m"": 0.021, ""mfe"": 933.2}}",2.0674,L2_ROCHE,0.496,0.3091,45.08,0.0,0.6072,9627.5196,0.0,23221.0,1756821030,2,profit_target,22.0,59.5,0.3697,WIN,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.685, ""c"": 0.37, ""m"": 0.085, ""mfe"": -102.1}, ""1m"": {""d"": 0.552, ""c"": 0.105, ""m"": 0.283, ""mfe"": 1133.8}, ""30s"": {""d"": 0.38, ""c"": 0.24, ""m"": 0.024, ""mfe"": 653.9}, ""15s"": {""d"": 0.656, ""c"": 0.312, ""m"": 0.099, ""mfe"": -39.7}, ""5s"": {""d"": 0.726, ""c"": 0.452, ""m"": 0.082, ""mfe"": 218.9}, ""1s"": {""d"": 0.59, ""c"": 0.181, ""m"": 0.194, ""mfe"": -1428.2}}",0.6754219274053289,0.16549645269176774,aligned_fresh,-1.0,-1,0,0.0
-1,LONG,23221.0,1756821000,5,-2,WORKER_BYPASS,29.75,223.25,0.0,0.0,-2.76,10,0.6754,0.0928,0.1655,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.685, ""c"": 0.37, ""m"": 0.085, ""mfe"": -102.1}, ""1m"": {""d"": 0.552, ""c"": 0.105, ""m"": 0.283, ""mfe"": 1133.8}, ""30s"": {""d"": 0.38, ""c"": 0.24, ""m"": 0.024, ""mfe"": 653.9}, ""15s"": {""d"": 0.656, ""c"": 0.312, ""m"": 0.099, ""mfe"": -39.7}, ""5s"": {""d"": 0.726, ""c"": 0.452, ""m"": 0.082, ""mfe"": 218.9}, ""1s"": {""d"": 0.59, ""c"": 0.181, ""m"": 0.194, ""mfe"": -1428.2}}",2.0674,L2_ROCHE,0.496,0.3091,45.08,0.0,0.6072,9627.5196,0.0,23218.25,1756821046.0,3,trail_stop,-5.5,59.5,-0.0924,LOSS,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.685, ""c"": 0.37, ""m"": 0.085, ""mfe"": -102.1}, ""1m"": {""d"": 0.552, ""c"": 0.105, ""m"": 0.283, ""mfe"": 1133.8}, ""30s"": {""d"": 0.66, ""c"": 0.32, ""m"": 0.149, ""mfe"": -392.7}, ""15s"": {""d"": 0.632, ""c"": 0.264, ""m"": 0.046, ""mfe"": 850.8}, ""5s"": {""d"": 0.369, ""c"": 0.263, ""m"": 0.07, ""mfe"": 115.3}, ""1s"": {""d"": 0.696, ""c"": 0.391, ""m"": 0.048, ""mfe"": 827.6}}",0.6909232080736603,0.16549645269176774,aligned_fresh,-1.0,-1,0,0.0
-1,LONG,23222.75,1756821000,5,-2,WORKER_BYPASS,29.75,223.25,0.0,0.0,-2.76,10,0.6896,0.0972,0.1655,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.685, ""c"": 0.37, ""m"": 0.085, ""mfe"": -102.1}, ""1m"": {""d"": 0.552, ""c"": 0.105, ""m"": 0.283, ""mfe"": 1133.8}, ""30s"": {""d"": 0.66, ""c"": 0.32, ""m"": 0.149, ""mfe"": -392.7}, ""15s"": {""d"": 0.632, ""c"": 0.264, ""m"": 0.046, ""mfe"": 850.8}, ""5s"": {""d"": 0.369, ""c"": 0.263, ""m"": 0.07, ""mfe"": 115.3}, ""1s"": {""d"": 0.696, ""c"": 0.391, ""m"": 0.048, ""mfe"": 827.6}}",2.0674,L2_ROCHE,0.496,0.3091,45.08,0.0,0.6072,9627.5196,0.0,23229.75,1756821060,4,profit_target,14.0,59.5,0.2353,WIN,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.047, ""mfe"": 578.7}, ""15m"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.046, ""mfe"": 1131.6}, ""5m"": {""d"": 0.806, ""c"": 0.612, ""m"": 0.165, ""mfe"": -238.5}, ""3m"": {""d"": 0.685, ""c"": 0.37, ""m"": 0.085, ""mfe"": -102.1}, ""1m"": {""d"": 0.552, ""c"": 0.105, ""m"": 0.283, ""mfe"": 1133.8}, ""30s"": {""d"": 0.66, ""c"": 0.32, ""m"": 0.149, ""mfe"": -392.7}, ""15s"": {""d"": 0.655, ""c"": 0.31, ""m"": 0.087, ""mfe"": 52.2}, ""5s"": {""d"": 0.587, ""c"": 0.174, ""m"": 0.128, ""mfe"": 225.2}, ""1s"": {""d"": 0.381, ""c"": 0.237, ""m"": 0.219, ""mfe"": 1040.8}}",0.692353739068754,0.16549645269176774,aligned_fresh,-1.0,-1,0,0.0
-1,LONG,23236.25,1756823880,8,-2,WORKER_BYPASS,8.5,195.25,0.0,0.0,4.52,10,0.6536,0.086,0.1148,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.758, ""c"": 0.515, ""m"": 0.091, ""mfe"": 74.7}, ""15m"": {""d"": 0.549, ""c"": 0.097, ""m"": 0.094, ""mfe"": 582.8}, ""5m"": {""d"": 0.706, ""c"": 0.413, ""m"": 0.115, ""mfe"": -188.0}, ""3m"": {""d"": 0.699, ""c"": 0.399, ""m"": 0.03, ""mfe"": 868.8}, ""1m"": {""d"": 0.752, ""c"": 0.504, ""m"": 0.121, ""mfe"": -356.8}, ""30s"": {""d"": 0.316, ""c"": 0.369, ""m"": 0.034, ""mfe"": 314.1}, ""15s"": {""d"": 0.525, ""c"": 0.05, ""m"": 0.123, ""mfe"": -499.7}, ""5s"": {""d"": 0.269, ""c"": 0.461, ""m"": 0.199, ""mfe"": 249.0}, ""1s"": {""d"": 0.457, ""c"": 0.087, ""m"": 0.234, ""mfe"": 2123.8}}",-2.1838,L3_ROCHE,0.6182,0.2675,31.84,0.0,0.5204,-2149.4149,0.0,23235.75,1756823895.0,1,trail_stop,-1.0,17.0,-0.0588,LOSS,"{""1h"": {""d"": 0.753, ""c"": 0.505, ""m"": 0.07, ""mfe"": 287.7}, ""30m"": {""d"": 0.758, ""c"": 0.515, ""m"": 0.091, ""mfe"": 74.7}, ""15m"": {""d"": 0.549, ""c"": 0.097, ""m"": 0.094, ""mfe"": 582.8}, ""5m"": {""d"": 0.379, ""c"": 0.241, ""m"": 0.063, ""mfe"": 60.5}, ""3m"": {""d"": 0.699, ""c"": 0.399, ""m"": 0.03, ""mfe"": 868.8}, ""1m"": {""d"": 0.657, ""c"": 0.314, ""m"": 0.025, ""mfe"": 3206.4}, ""30s"": {""d"": 0.261, ""c"": 0.478, ""m"": 0.005, ""mfe"": 617.6}, ""15s"": {""d"": 0.491, ""c"": 0.017, ""m"": 0.092, ""mfe"": -221.8}, ""5s"": {""d"": 0.538, ""c"": 0.075, ""m"": 0.094, ""mfe"": 201.9}, ""1s"": {""d"": 0.764, ""c"": 0.527, ""m"": 0.136, ""mfe"": -74.1}}",0.5948224602643791,0.06330402883239367,aligned_fresh,-1.0,-1,0,0.0
-1,LONG,23043.0,1756829400,5,2,WORKER_BYPASS,326.5,0.25,0.0,0.0,-15.26,10,0.6633,0.0916,0.0016,"{""1h"": {""d"": 0.86, ""c"": 0.72, ""m"": 0.138, ""mfe"": -249.5}, ""30m"": {""d"": 0.761, ""c"": 0.522, ""m"": 0.135, ""mfe"": -260.7}, ""15m"": {""d"": 0.569, ""c"": 0.137, ""m"": 0.09, ""mfe"": 527.4}, ""5m"": {""d"": 0.698, ""c"": 0.396, ""m"": 0.002, ""mfe"": 1275.0}, ""3m"": {""d"": 0.582, ""c"": 0.164, ""m"": 0.047, ""mfe"": 626.3}, ""1m"": {""d"": 0.492, ""c"": 0.016, ""m"": 0.098, ""mfe"": 140.2}, ""30s"": {""d"": 0.451, ""c"": 0.098, ""m"": 0.106, ""mfe"": 160.6}, ""15s"": {""d"": 0.617, ""c"": 0.235, ""m"": 0.04, ""mfe"": 536.9}, ""5s"": {""d"": 0.562, ""c"": 0.124, ""m"": 0.015, ""mfe"": 961.7}, ""1s"": {""d"": 0.594, ""c"": 0.188, ""m"": 0.115, ""mfe"": 169.8}}",2.1357,L2_ROCHE,0.4767,0.2842,34.45,0.0,0.5386,4508.5401,0.0,23042.0,1756829415.0,1,trail_stop,-2.0,653.0,-0.0031,LOSS,"{""1h"": {""d"": 0.86, ""c"": 0.72, ""m"": 0.138, ""mfe"": -249.5}, ""30m"": {""d"": 0.761, ""c"": 0.522, ""m"": 0.135, ""mfe"": -260.7}, ""15m"": {""d"": 0.569, ""c"": 0.137, ""m"": 0.09, ""mfe"": 527.4}, ""5m"": {""d"": 0.698, ""c"": 0.396, ""m"": 0.002, ""mfe"": 1275.0}, ""3m"": {""d"": 0.564, ""c"": 0.128, ""m"": 0.026, ""mfe"": 819.3}, ""1m"": {""d"": 0.364, ""c"": 0.271, ""m"": 0.089, ""mfe"": 249.0}, ""30s"": {""d"": 0.516, ""c"": 0.031, ""m"": 0.082, ""mfe"": 262.9}, ""15s"": {""d"": 0.597, ""c"": 0.194, ""m"": 0.149, ""mfe"": 458.9}, ""5s"": {""d"": 0.621, ""c"": 0.242, ""m"": 0.107, ""mfe"": 7.1}, ""1s"": {""d"": 0.371, ""c"": 0.258, ""m"": 0.036, ""mfe"": 277.3}}",0.6472189558435704,0.0015874061742232237,aligned_fresh,-1.0,-1,0,0.0
