template_id,direction,entry_price,entry_time,entry_depth,oracle_label,oracle_label_name,pattern_dna,dna_expectancy,oracle_mfe,oracle_mae,oracle_mfe_bar,oracle_lookahead,long_bias,short_bias,dmi_diff,belief_active_levels,belief_conviction,wave_maturity,decision_wave_maturity,entry_workers,entry_tp_ticks,entry_sl_ticks,entry_trail_ticks,entry_trail_act,exit_price,exit_time,hold_bars,exit_reason,actual_pnl,oracle_potential_pnl,capture_rate,result,exit_workers,exit_conviction,exit_wave_maturity,exit_signal_reason
0,LONG,21261.75,1748848500,4,2,MEGA_LONG,L|1h:2|30m:0|15m:0,893.4607843137248,113.5,6.25,14,16,1.0,0.0,-20.21,10,0.5053,0.0865,0.0042,"{""1h"": {""d"": 0.839, ""c"": 0.678, ""m"": 0.165, ""mfe"": 195.6}, ""30m"": {""d"": 0.4, ""c"": 0.2, ""m"": 0.043, ""mfe"": 195.6}, ""15m"": {""d"": 0.37, ""c"": 0.26, ""m"": 0.061, ""mfe"": 195.6}, ""5m"": {""d"": 0.492, ""c"": 0.016, ""m"": 0.004, ""mfe"": 195.6}, ""3m"": {""d"": 0.31, ""c"": 0.381, ""m"": 0.11, ""mfe"": 195.6}, ""1m"": {""d"": 0.589, ""c"": 0.177, ""m"": 0.057, ""mfe"": 195.6}, ""30s"": {""d"": 0.712, ""c"": 0.423, ""m"": 0.16, ""mfe"": 195.6}, ""15s"": {""d"": 0.747, ""c"": 0.494, ""m"": 0.216, ""mfe"": 3467.6}, ""5s"": {""d"": 0.489, ""c"": 0.022, ""m"": 0.009, ""mfe"": 5985.0}, ""1s"": {""d"": 0.568, ""c"": 0.135, ""m"": 0.055, ""mfe"": 195.6}}",783,630,1271,126,21467.75,1748883660,2344,profit_target,412.0,227.0,1.815,WIN,"{""1h"": {""d"": 0.077, ""c"": 0.847, ""m"": 0.249, ""mfe"": 195.6}, ""30m"": {""d"": 0.632, ""c"": 0.264, ""m"": 0.058, ""mfe"": 195.6}, ""15m"": {""d"": 0.813, ""c"": 0.626, ""m"": 0.168, ""mfe"": -942.7}, ""5m"": {""d"": 0.19, ""c"": 0.621, ""m"": 0.188, ""mfe"": -602.4}, ""3m"": {""d"": 0.674, ""c"": 0.349, ""m"": 0.1, ""mfe"": 195.6}, ""1m"": {""d"": 0.691, ""c"": 0.382, ""m"": 0.129, ""mfe"": 195.6}, ""30s"": {""d"": 0.258, ""c"": 0.483, ""m"": 0.187, ""mfe"": 195.6}, ""15s"": {""d"": 0.325, ""c"": 0.35, ""m"": 0.146, ""mfe"": -546.3}, ""5s"": {""d"": 0.402, ""c"": 0.196, ""m"": 0.079, ""mfe"": 195.6}, ""1s"": {""d"": 0.418, ""c"": 0.164, ""m"": 0.066, ""mfe"": -2609.5}}",0.46480483326041394,0.18791609098864406,aligned_fresh
0,SHORT,21555.0,1748901600,3,1,SCALP_LONG,L|1h:2|30m:0|15m:0,893.4607843137248,238.75,121.75,37,60,1.0,0.0,15.63,10,0.5476,0.1118,0.259,"{""1h"": {""d"": 0.331, ""c"": 0.337, ""m"": 0.07, ""mfe"": 195.6}, ""30m"": {""d"": 0.618, ""c"": 0.237, ""m"": 0.051, ""mfe"": 195.6}, ""15m"": {""d"": 0.385, ""c"": 0.229, ""m"": 0.053, ""mfe"": 195.6}, ""5m"": {""d"": 0.119, ""c"": 0.762, ""m"": 0.259, ""mfe"": 7402.5}, ""3m"": {""d"": 0.245, ""c"": 0.51, ""m"": 0.155, ""mfe"": 4797.2}, ""1m"": {""d"": 0.775, ""c"": 0.549, ""m"": 0.197, ""mfe"": 9888.8}, ""30s"": {""d"": 0.581, ""c"": 0.162, ""m"": 0.058, ""mfe"": 195.6}, ""15s"": {""d"": 0.368, ""c"": 0.264, ""m"": 0.108, ""mfe"": 169.4}, ""5s"": {""d"": 0.751, ""c"": 0.503, ""m"": 0.221, ""mfe"": 8682.7}, ""1s"": {""d"": 0.375, ""c"": 0.251, ""m"": 0.102, ""mfe"": -3149.3}}",29610,630,1271,126,22358.25,1750746495,122993,trail_stop,-1606.5,243.5,-6.5975,LOSS,"{""1h"": {""d"": 0.475, ""c"": 0.049, ""m"": 0.01, ""mfe"": 195.6}, ""30m"": {""d"": 0.338, ""c"": 0.324, ""m"": 0.072, ""mfe"": 195.6}, ""15m"": {""d"": 0.819, ""c"": 0.639, ""m"": 0.173, ""mfe"": 1173.6}, ""5m"": {""d"": 0.746, ""c"": 0.492, ""m"": 0.139, ""mfe"": 195.6}, ""3m"": {""d"": 0.42, ""c"": 0.159, ""m"": 0.044, ""mfe"": 195.6}, ""1m"": {""d"": 0.423, ""c"": 0.153, ""m"": 0.049, ""mfe"": 231.5}, ""30s"": {""d"": 0.317, ""c"": 0.367, ""m"": 0.137, ""mfe"": 195.6}, ""15s"": {""d"": 0.619, ""c"": 0.237, ""m"": 0.097, ""mfe"": 449.1}, ""5s"": {""d"": 0.662, ""c"": 0.324, ""m"": 0.134, ""mfe"": -882.6}, ""1s"": {""d"": 0.701, ""c"": 0.402, ""m"": 0.17, ""mfe"": 4280.9}}",0.5017773913842121,0.13927108903946486,aligned_fresh
50055,LONG,22358.25,1750746480,7,-1,SCALP_SHORT,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,-1166.5285714285712,52.25,103.5,14,60,0.0,1.0,41.24,10,0.5018,0.0848,0.1393,"{""1h"": {""d"": 0.475, ""c"": 0.049, ""m"": 0.01, ""mfe"": 195.6}, ""30m"": {""d"": 0.338, ""c"": 0.324, ""m"": 0.072, ""mfe"": 195.6}, ""15m"": {""d"": 0.819, ""c"": 0.639, ""m"": 0.173, ""mfe"": 1173.6}, ""5m"": {""d"": 0.746, ""c"": 0.492, ""m"": 0.139, ""mfe"": 195.6}, ""3m"": {""d"": 0.42, ""c"": 0.159, ""m"": 0.044, ""mfe"": 195.6}, ""1m"": {""d"": 0.423, ""c"": 0.153, ""m"": 0.049, ""mfe"": 231.5}, ""30s"": {""d"": 0.317, ""c"": 0.367, ""m"": 0.137, ""mfe"": 195.6}, ""15s"": {""d"": 0.619, ""c"": 0.237, ""m"": 0.097, ""mfe"": 449.1}, ""5s"": {""d"": 0.662, ""c"": 0.324, ""m"": 0.134, ""mfe"": -882.6}, ""1s"": {""d"": 0.701, ""c"": 0.402, ""m"": 0.17, ""mfe"": 4280.9}}",783,604,126,121,22449.25,1750864380,7860,trail_stop,182.0,104.5,1.7416,WIN,"{""1h"": {""d"": 0.497, ""c"": 0.007, ""m"": 0.001, ""mfe"": 195.6}, ""30m"": {""d"": 0.643, ""c"": 0.286, ""m"": 0.063, ""mfe"": 195.6}, ""15m"": {""d"": 0.582, ""c"": 0.164, ""m"": 0.038, ""mfe"": 195.6}, ""5m"": {""d"": 0.546, ""c"": 0.092, ""m"": 0.024, ""mfe"": 195.6}, ""3m"": {""d"": 0.638, ""c"": 0.276, ""m"": 0.078, ""mfe"": 195.6}, ""1m"": {""d"": 0.214, ""c"": 0.572, ""m"": 0.208, ""mfe"": 4017.3}, ""30s"": {""d"": 0.357, ""c"": 0.285, ""m"": 0.104, ""mfe"": -2714.7}, ""15s"": {""d"": 0.63, ""c"": 0.26, ""m"": 0.106, ""mfe"": -843.4}, ""5s"": {""d"": 0.622, ""c"": 0.245, ""m"": 0.1, ""mfe"": 195.6}, ""1s"": {""d"": 0.609, ""c"": 0.219, ""m"": 0.089, ""mfe"": 195.6}}",0.5165767228868425,0.02394269847776868,aligned_fresh
50010,LONG,22461.75,1750865100,8,2,MEGA_LONG,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0,-1166.5285714285724,111.0,36.75,51,60,0.0,1.0,1.26,10,0.5148,0.0478,0.0005,"{""1h"": {""d"": 0.497, ""c"": 0.007, ""m"": 0.001, ""mfe"": 195.6}, ""30m"": {""d"": 0.616, ""c"": 0.231, ""m"": 0.05, ""mfe"": 195.6}, ""15m"": {""d"": 0.624, ""c"": 0.247, ""m"": 0.058, ""mfe"": 195.6}, ""5m"": {""d"": 0.501, ""c"": 0.002, ""m"": 0.0, ""mfe"": 195.6}, ""3m"": {""d"": 0.372, ""c"": 0.256, ""m"": 0.072, ""mfe"": 195.6}, ""1m"": {""d"": 0.561, ""c"": 0.122, ""m"": 0.039, ""mfe"": 195.6}, ""30s"": {""d"": 0.286, ""c"": 0.427, ""m"": 0.162, ""mfe"": 1240.5}, ""15s"": {""d"": 0.753, ""c"": 0.506, ""m"": 0.223, ""mfe"": 2204.7}, ""5s"": {""d"": 0.35, ""c"": 0.299, ""m"": 0.123, ""mfe"": -1552.8}, ""1s"": {""d"": 0.664, ""c"": 0.328, ""m"": 0.136, ""mfe"": 195.6}}",783,504,728,101,22658.5,1750961115,6401,profit_target,393.5,222.0,1.7725,WIN,"{""1h"": {""d"": 0.736, ""c"": 0.471, ""m"": 0.102, ""mfe"": 195.6}, ""30m"": {""d"": 0.451, ""c"": 0.099, ""m"": 0.021, ""mfe"": 195.6}, ""15m"": {""d"": 0.183, ""c"": 0.634, ""m"": 0.171, ""mfe"": 195.6}, ""5m"": {""d"": 0.175, ""c"": 0.651, ""m"": 0.201, ""mfe"": 195.6}, ""3m"": {""d"": 0.228, ""c"": 0.544, ""m"": 0.168, ""mfe"": -202.1}, ""1m"": {""d"": 0.834, ""c"": 0.668, ""m"": 0.258, ""mfe"": 7220.4}, ""30s"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.122, ""mfe"": -3400.0}, ""15s"": {""d"": 0.681, ""c"": 0.363, ""m"": 0.152, ""mfe"": 560.7}, ""5s"": {""d"": 0.563, ""c"": 0.127, ""m"": 0.051, ""mfe"": 195.6}, ""1s"": {""d"": 0.668, ""c"": 0.336, ""m"": 0.14, ""mfe"": -864.9}}",0.4740337310168059,0.20076791511039513,aligned_fresh
0,SHORT,22684.5,1750984200,3,2,MEGA_LONG,L|1h:2|30m:0,893.4607843137248,233.75,67.75,56,60,1.0,0.0,8.72,10,0.6053,0.088,0.0345,"{""1h"": {""d"": 0.111, ""c"": 0.779, ""m"": 0.208, ""mfe"": -316.1}, ""30m"": {""d"": 0.359, ""c"": 0.282, ""m"": 0.062, ""mfe"": 195.6}, ""15m"": {""d"": 0.554, ""c"": 0.107, ""m"": 0.025, ""mfe"": 195.6}, ""5m"": {""d"": 0.434, ""c"": 0.132, ""m"": 0.034, ""mfe"": 195.6}, ""3m"": {""d"": 0.422, ""c"": 0.155, ""m"": 0.043, ""mfe"": -149.2}, ""1m"": {""d"": 0.376, ""c"": 0.247, ""m"": 0.081, ""mfe"": 195.6}, ""30s"": {""d"": 0.641, ""c"": 0.282, ""m"": 0.103, ""mfe"": 195.6}, ""15s"": {""d"": 0.334, ""c"": 0.331, ""m"": 0.138, ""mfe"": 1451.6}, ""5s"": {""d"": 0.563, ""c"": 0.127, ""m"": 0.051, ""mfe"": 195.6}, ""1s"": {""d"": 0.647, ""c"": 0.294, ""m"": 0.121, ""mfe"": -412.1}}",783,630,1271,126,22880.75,1751327940,22916,TIME_EXIT,-392.5,135.5,-2.8967,LOSS,"{""1h"": {""d"": 0.782, ""c"": 0.564, ""m"": 0.128, ""mfe"": 195.6}, ""30m"": {""d"": 0.721, ""c"": 0.442, ""m"": 0.101, ""mfe"": 195.6}, ""15m"": {""d"": 0.766, ""c"": 0.532, ""m"": 0.136, ""mfe"": 195.6}, ""5m"": {""d"": 0.332, ""c"": 0.337, ""m"": 0.091, ""mfe"": 195.6}, ""3m"": {""d"": 0.4, ""c"": 0.2, ""m"": 0.056, ""mfe"": 195.6}, ""1m"": {""d"": 0.545, ""c"": 0.091, ""m"": 0.029, ""mfe"": 3163.6}, ""30s"": {""d"": 0.559, ""c"": 0.119, ""m"": 0.042, ""mfe"": 195.6}, ""15s"": {""d"": 0.327, ""c"": 0.346, ""m"": 0.145, ""mfe"": 951.9}, ""5s"": {""d"": 0.563, ""c"": 0.127, ""m"": 0.051, ""mfe"": 195.6}, ""1s"": {""d"": 0.573, ""c"": 0.145, ""m"": 0.059, ""mfe"": 195.6}}",0.5872225883636957,0.09056768434640738,aligned_fresh
