ts,day,depth,pattern,micro_z,macro_z,gate,gate1_dist,gate3_conv,oracle_label,oracle_dir,oracle_pnl,template_id,tier,pattern_dna,trade_direction,trade_result,trade_pnl,exit_reason,exit_signal_reason,exit_conviction,exit_wave_maturity
1735805700,2025_01,4,STRUCTURAL_DRIVE,2.25,0.0,score_loser,3.419,0.0,MEGA,LONG,286.5,0,4,,,,0.0,,,0.0,0.0
1735805700,2025_01,4,ROCHE_SNAP,2.25,0.0,traded,7.919,0.498,MEGA,LONG,286.5,0,4,L|1h:2|30m:0|15m:0,LONG,WIN,393.0,profit_target,aligned_fresh,0.6692793678826113,0.014181101953245014
1736153220,2025_01,8,STRUCTURAL_DRIVE,2.48,2.13,gate0_r4_struct,0.0,0.0,MEGA,LONG,144.5,,,,,,0.0,,,0.0,0.0
1736153220,2025_01,9,ROCHE_SNAP,3.11,2.13,gate0_r4_nightmare,0.0,0.0,MEGA,LONG,87.5,,,,,,0.0,,,0.0,0.0
1736153220,2025_01,9,STRUCTURAL_DRIVE,3.11,2.13,gate0_r4_struct,0.0,0.0,MEGA,LONG,87.5,,,,,,0.0,,,0.0,0.0
1736153220,2025_01,10,ROCHE_SNAP,3.69,2.13,gate0_r4_nightmare,0.0,0.0,MEGA,LONG,86.0,,,,,,0.0,,,0.0,0.0
1736153220,2025_01,10,STRUCTURAL_DRIVE,3.69,2.13,gate0_r4_struct,0.0,0.0,MEGA,LONG,86.0,,,,,,0.0,,,0.0,0.0
1736153220,2025_01,11,ROCHE_SNAP,3.89,2.13,gate0_r4_nightmare,0.0,0.0,MEGA,LONG,78.0,,,,,,0.0,,,0.0,0.0
1736153220,2025_01,11,STRUCTURAL_DRIVE,3.89,2.13,gate0_r4_struct,0.0,0.0,MEGA,LONG,78.0,,,,,,0.0,,,0.0,0.0
1736153220,2025_01,12,ROCHE_SNAP,3.9,2.13,gate0_r4_nightmare,0.0,0.0,MEGA,LONG,241.0,,,,,,0.0,,,0.0,0.0
1736153220,2025_01,12,STRUCTURAL_DRIVE,3.9,2.13,gate0_r4_struct,0.0,0.0,MEGA,LONG,241.0,,,,,,0.0,,,0.0,0.0
1736153220,2025_01,12,ROCHE_SNAP,3.9,2.13,gate0_r4_nightmare,0.0,0.0,MEGA,LONG,241.0,,,,,,0.0,,,0.0,0.0
1736153220,2025_01,12,STRUCTURAL_DRIVE,3.9,2.13,gate0_r4_struct,0.0,0.0,MEGA,LONG,241.0,,,,,,0.0,,,0.0,0.0
1736153220,2025_01,9,STRUCTURAL_DRIVE,2.58,2.13,gate0_r4_struct,0.0,0.0,MEGA,LONG,76.0,,,,,,0.0,,,0.0,0.0
1736153220,2025_01,11,ROCHE_SNAP,2.33,2.13,score_loser,1.611,0.0,MEGA,LONG,81.0,50012,4,,,,0.0,,,0.0,0.0
1736153220,2025_01,10,ROCHE_SNAP,2.41,2.13,score_loser,1.791,0.0,MEGA,LONG,87.5,50012,4,,,,0.0,,,0.0,0.0
1736153220,2025_01,9,ROCHE_SNAP,2.58,2.13,score_loser,1.492,0.0,MEGA,LONG,76.0,50010,4,,,,0.0,,,0.0,0.0
1736153220,2025_01,8,ROCHE_SNAP,2.48,2.13,traded,9.601,0.669,MEGA,LONG,144.5,50008,3,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0,LONG,WIN,6.5,profit_target,aligned_fresh,0.6180910574372067,0.042576637947012705
1736153520,2025_01,10,STRUCTURAL_DRIVE,2.29,2.13,gate0_r4_struct,0.0,0.0,MEGA,LONG,75.5,,,,,,0.0,,,0.0,0.0
1736153520,2025_01,10,ROCHE_SNAP,2.29,2.13,traded,10.134,0.592,MEGA,LONG,75.5,32,1,L|1h:2|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,LONG,LOSS,-9.0,trail_stop,aligned_fresh,0.5828599605134472,0.042576637947012705
1736153520,2025_01,10,STRUCTURAL_DRIVE,2.29,2.13,gate0_r4_struct,0.0,0.0,MEGA,LONG,75.5,,,,,,0.0,,,0.0,0.0
1736153520,2025_01,10,ROCHE_SNAP,2.29,2.13,traded,10.134,0.583,MEGA,LONG,75.5,32,1,L|1h:2|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,LONG,LOSS,-7.5,trail_stop,aligned_fresh,0.6141409287215822,0.042576637947012705
1736153580,2025_01,10,STRUCTURAL_DRIVE,2.12,2.13,gate0_r4_struct,0.0,0.0,MEGA,LONG,83.0,,,,,,0.0,,,0.0,0.0
1736153580,2025_01,10,ROCHE_SNAP,2.12,2.13,traded,12.118,0.614,MEGA,LONG,83.0,41,3,L|1h:2|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,LONG,LOSS,-78.0,TIME_EXIT,aligned_fresh,0.5032050337861516,0.09041496779392814
