from,to,count,p_to_given_from
FLATLINE,STEEP_LINEAR_DOWN,455,0.156
FLATLINE,STEEP_LINEAR_UP,444,0.1522
FLATLINE,STEEP_CONCAVE_UP,317,0.1087
FLATLINE,STEEP_CONVEX_DOWN,283,0.097
FLATLINE,NOISE,227,0.0778
FLATLINE,GENTLE_CONCAVE_UP,213,0.073
FLATLINE,STEEP_CONVEX_UP,208,0.0713
FLATLINE,STEEP_CONCAVE_DOWN,192,0.0658
FLATLINE,GENTLE_CONVEX_DOWN,191,0.0655
FLATLINE,GENTLE_LINEAR_UP,127,0.0435
FLATLINE,GENTLE_LINEAR_DOWN,123,0.0422
FLATLINE,GENTLE_CONCAVE_DOWN,70,0.024
FLATLINE,GENTLE_CONVEX_UP,67,0.023
GENTLE_CONCAVE_DOWN,FLATLINE,60,0.2691
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,44,0.1973
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,37,0.1659
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,22,0.0987
GENTLE_CONCAVE_DOWN,NOISE,20,0.0897
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,11,0.0493
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_UP,8,0.0359
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,6,0.0269
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_UP,6,0.0269
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_UP,4,0.0179
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_UP,2,0.009
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,2,0.009
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_UP,1,0.0045
GENTLE_CONCAVE_UP,FLATLINE,268,0.2165
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,256,0.2068
GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,204,0.1648
GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,150,0.1212
GENTLE_CONCAVE_UP,GENTLE_LINEAR_DOWN,94,0.0759
GENTLE_CONCAVE_UP,NOISE,90,0.0727
GENTLE_CONCAVE_UP,GENTLE_CONVEX_UP,62,0.0501
GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,32,0.0258
GENTLE_CONCAVE_UP,STEEP_CONVEX_UP,29,0.0234
GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,23,0.0186
GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,14,0.0113
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_DOWN,11,0.0089
GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,5,0.004
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,262,0.2215
GENTLE_CONVEX_DOWN,FLATLINE,252,0.213
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_UP,203,0.1716
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,153,0.1293
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_UP,78,0.0659
GENTLE_CONVEX_DOWN,NOISE,74,0.0626
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,53,0.0448
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,32,0.027
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_DOWN,25,0.0211
GENTLE_CONVEX_DOWN,STEEP_CONVEX_UP,24,0.0203
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_UP,12,0.0101
GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,11,0.0093
GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,4,0.0034
GENTLE_CONVEX_UP,FLATLINE,67,0.2702
GENTLE_CONVEX_UP,STEEP_LINEAR_UP,54,0.2177
GENTLE_CONVEX_UP,GENTLE_CONCAVE_UP,42,0.1694
GENTLE_CONVEX_UP,GENTLE_LINEAR_UP,26,0.1048
GENTLE_CONVEX_UP,GENTLE_CONCAVE_DOWN,16,0.0645
GENTLE_CONVEX_UP,STEEP_CONCAVE_UP,14,0.0565
GENTLE_CONVEX_UP,NOISE,12,0.0484
GENTLE_CONVEX_UP,STEEP_CONVEX_UP,6,0.0242
GENTLE_CONVEX_UP,GENTLE_LINEAR_DOWN,3,0.0121
GENTLE_CONVEX_UP,STEEP_CONCAVE_DOWN,3,0.0121
