shape,n,min,p10,median,mean,p90,max
NOISE,64346,-2.0,0.312,0.624,0.579,0.822,0.953
STEEP_LINEAR_UP,24608,0.748,0.901,0.967,0.957,0.994,1.0
STEEP_LINEAR_DOWN,24383,0.734,0.899,0.967,0.956,0.994,1.0
STEEP_CONCAVE_UP,24295,0.751,0.872,0.934,0.93,0.981,0.999
STEEP_CONVEX_DOWN,22663,0.79,0.87,0.932,0.929,0.98,0.998
STEEP_CONCAVE_DOWN,14352,0.845,0.882,0.953,0.943,0.984,0.999
STEEP_CONVEX_UP,14286,0.836,0.882,0.953,0.943,0.984,0.999
FLATLINE,14107,0.0,0.0,0.0,0.068,0.236,0.999
GENTLE_LINEAR_UP,157,0.85,0.855,0.877,0.888,0.94,0.971
GENTLE_LINEAR_DOWN,139,0.851,0.855,0.884,0.892,0.94,0.979
GENTLE_CONCAVE_UP,136,0.85,0.853,0.878,0.886,0.929,0.985
GENTLE_CONVEX_DOWN,131,0.85,0.857,0.883,0.886,0.924,0.977
GENTLE_CONVEX_UP,101,0.85,0.853,0.885,0.891,0.944,0.972
GENTLE_CONCAVE_DOWN,97,0.85,0.86,0.887,0.894,0.939,0.972
