shape,n,min,p10,median,mean,p90,max
NOISE,64346,0.1,1.08,1.83,2.37,4.08,303.87
STEEP_LINEAR_UP,24608,0.18,0.37,1.58,2.09,4.17,66.5
STEEP_LINEAR_DOWN,24383,0.18,0.35,1.5,2.03,4.0,512.42
STEEP_CONCAVE_UP,24295,0.23,0.67,1.92,2.15,3.42,301.92
STEEP_CONVEX_DOWN,22663,0.2,0.67,1.92,2.06,3.25,64.5
STEEP_CONCAVE_DOWN,14352,0.18,0.33,0.75,1.02,1.92,65.0
STEEP_CONVEX_UP,14286,0.18,0.33,0.75,1.06,1.83,303.5
FLATLINE,14107,0.1,0.17,0.33,0.61,1.17,654.33
GENTLE_LINEAR_UP,157,0.2,0.42,2.42,2.41,4.83,6.83
GENTLE_LINEAR_DOWN,139,0.22,0.33,2.33,2.44,4.94,8.42
GENTLE_CONCAVE_UP,136,0.25,0.5,2.12,2.24,4.12,6.75
GENTLE_CONVEX_DOWN,131,0.25,0.5,2.33,2.37,4.0,7.25
GENTLE_CONVEX_UP,101,0.25,0.42,1.0,1.74,1.75,63.0
GENTLE_CONCAVE_DOWN,97,0.25,0.33,0.92,1.11,1.64,5.5
