shape,count,pct
STEEP_CONCAVE_UP,10858,15.34
NOISE,10471,14.79
STEEP_CONVEX_DOWN,10466,14.79
STEEP_LINEAR_UP,9859,13.93
STEEP_LINEAR_DOWN,9708,13.72
FLATLINE,9033,12.76
STEEP_CONVEX_UP,3305,4.67
STEEP_CONCAVE_DOWN,3276,4.63
GENTLE_CONVEX_DOWN,865,1.22
GENTLE_CONCAVE_UP,864,1.22
GENTLE_LINEAR_UP,603,0.85
GENTLE_LINEAR_DOWN,594,0.84
GENTLE_CONVEX_UP,481,0.68
GENTLE_CONCAVE_DOWN,399,0.56
