shape,n,min,p10,median,mean,p90,max
FLATLINE,3247,-2.0,0.0,0.0,0.111,0.641,0.972
STEEP_LINEAR_DOWN,2793,0.851,0.949,0.98,0.974,0.994,0.999
STEEP_LINEAR_UP,2723,0.85,0.948,0.981,0.975,0.994,1.0
STEEP_CONCAVE_UP,2445,0.851,0.92,0.964,0.957,0.984,0.998
STEEP_CONVEX_DOWN,2238,0.85,0.915,0.962,0.954,0.981,0.996
NOISE,1550,-2.0,-2.0,0.765,0.266,0.84,0.936
GENTLE_CONCAVE_UP,1404,0.85,0.871,0.929,0.925,0.972,0.996
GENTLE_CONVEX_DOWN,1347,0.85,0.869,0.928,0.924,0.972,0.993
GENTLE_LINEAR_DOWN,708,0.85,0.878,0.947,0.938,0.98,0.995
GENTLE_LINEAR_UP,689,0.852,0.883,0.953,0.942,0.982,0.998
STEEP_CONVEX_UP,650,0.852,0.881,0.901,0.919,0.977,0.997
STEEP_CONCAVE_DOWN,619,0.852,0.881,0.906,0.923,0.984,0.998
GENTLE_CONVEX_UP,331,0.85,0.866,0.912,0.913,0.965,0.992
GENTLE_CONCAVE_DOWN,304,0.853,0.871,0.915,0.917,0.967,0.99
