shape,count,pct
NOISE,64346,31.57
STEEP_LINEAR_UP,24608,12.07
STEEP_LINEAR_DOWN,24383,11.96
STEEP_CONCAVE_UP,24295,11.92
STEEP_CONVEX_DOWN,22663,11.12
STEEP_CONCAVE_DOWN,14352,7.04
STEEP_CONVEX_UP,14286,7.01
FLATLINE,14107,6.92
GENTLE_LINEAR_UP,157,0.08
GENTLE_LINEAR_DOWN,139,0.07
GENTLE_CONCAVE_UP,136,0.07
GENTLE_CONVEX_DOWN,131,0.06
GENTLE_CONVEX_UP,101,0.05
GENTLE_CONCAVE_DOWN,97,0.05
