shape,n,BACK_SKEWED,FRONT_SKEWED,SYMMETRIC,NONE,pct_BACK,pct_FRONT,pct_SYM
FLATLINE,3247,28,7,8,3204,0.9,0.2,0.2
STEEP_LINEAR_DOWN,2793,1,0,1,2791,0.0,0.0,0.0
STEEP_LINEAR_UP,2723,0,0,1,2722,0.0,0.0,0.0
STEEP_CONCAVE_UP,2445,611,1069,764,1,25.0,43.7,31.2
STEEP_CONVEX_DOWN,2238,648,896,692,2,29.0,40.0,30.9
NOISE,1550,1,1,0,1548,0.1,0.1,0.0
GENTLE_CONCAVE_UP,1404,480,562,360,2,34.2,40.0,25.6
GENTLE_CONVEX_DOWN,1347,479,542,324,2,35.6,40.2,24.1
GENTLE_LINEAR_DOWN,708,3,0,0,705,0.4,0.0,0.0
GENTLE_LINEAR_UP,689,0,0,0,689,0.0,0.0,0.0
STEEP_CONVEX_UP,650,596,15,34,5,91.7,2.3,5.2
STEEP_CONCAVE_DOWN,619,573,9,32,5,92.6,1.5,5.2
GENTLE_CONVEX_UP,331,297,17,16,1,89.7,5.1,4.8
GENTLE_CONCAVE_DOWN,304,262,15,25,2,86.2,4.9,8.2
