shape,IS_n,OOS_n,IS_pct,OOS_pct,IS_minus_OOS_pct
FLATLINE,10986,3121,6.85,7.2,-0.35
GENTLE_CONCAVE_DOWN,88,9,0.05,0.02,0.03
GENTLE_CONCAVE_UP,125,11,0.08,0.03,0.05
GENTLE_CONVEX_DOWN,119,12,0.07,0.03,0.05
GENTLE_CONVEX_UP,83,18,0.05,0.04,0.01
GENTLE_LINEAR_DOWN,119,20,0.07,0.05,0.03
GENTLE_LINEAR_UP,136,21,0.08,0.05,0.04
NOISE,50603,13743,31.54,31.7,-0.17
STEEP_CONCAVE_DOWN,11164,3188,6.96,7.35,-0.4
STEEP_CONCAVE_UP,19284,5011,12.02,11.56,0.46
STEEP_CONVEX_DOWN,17754,4909,11.06,11.32,-0.26
STEEP_CONVEX_UP,11172,3114,6.96,7.18,-0.22
STEEP_LINEAR_DOWN,19211,5172,11.97,11.93,0.04
STEEP_LINEAR_UP,19609,4999,12.22,11.53,0.69
